Design smell,Namespace,Class,File,Cause
Duplicate Abstraction,AllTypesExample,AllTypes,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\AllTypes.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: AllTypes[584' 613]' AllTypes[914' 943]' AllTypes[1049' 1078]
Unutilized Abstraction,AllTypesExample,AllIntTypes,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\AllTypes.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,AllTypesExample,FloatTypes,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\AllTypes.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,AllTypesExample,OtherTypes,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\AllTypes.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,AllTypesExample,ParsingData,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\AllTypes.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,AllTypesExample,DbLinq_EnumTest,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\DbLinq_EnumTest.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,nwind,Northwind,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Northwind[188' 207]' Northwind[2686' 2705]
Duplicate Abstraction,nwind,Northwind,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Northwind[232' 254]' Northwind[523' 545]
Duplicate Abstraction,nwind,Northwind,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Northwind[232' 364]' Northwind[2439' 2571]
Duplicate Abstraction,nwind,Northwind,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Northwind[523' 545]' Northwind[2439' 2461]
Duplicate Abstraction,nwind,Northwind,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Northwind[249' 276]' Northwind[562' 589]' Northwind[2456' 2483]
Duplicate Abstraction,nwind,Northwind,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Northwind[277' 298]' Northwind[2325' 2346]' Northwind[2484' 2505]
Duplicate Abstraction,nwind,Northwind,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Northwind[337' 364]' Northwind[584' 611]' Northwind[2544' 2571]
Duplicate Abstraction,nwind,Northwind,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Northwind[381' 474]' Northwind[2566' 2659]
Duplicate Abstraction,nwind,Northwind,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Northwind[403' 430]' Northwind[2341' 2368]' Northwind[2588' 2615]
Duplicate Abstraction,nwind,Northwind,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Northwind[425' 474]' Northwind[804' 853]' Northwind[2610' 2659]
Duplicate Abstraction,nwind,Northwind,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Northwind[479' 498]' Northwind[2395' 2414]' Northwind[1070' 1089]' Northwind[1234' 1253]
Duplicate Abstraction,nwind,Northwind,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Northwind[1084' 1104]' Northwind[2773' 2793]
Multifaceted Abstraction,nwind,Employee,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 0.97
Imperative Abstraction,DbLinq.MySql.Example,Program,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\Program.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: insertTest
Cyclically-dependent Modularization,nwind,Category,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Category' Product
Cyclically-dependent Modularization,nwind,Category,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Category' Product' OrderDetail' Product
Cyclically-dependent Modularization,nwind,Customer,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Customer' Order
Cyclically-dependent Modularization,nwind,Customer,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Customer' Order' OrderDetail' Order
Cyclically-dependent Modularization,nwind,Employee,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Employee' EmployeeTerritory
Cyclically-dependent Modularization,nwind,Employee,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Employee' EmployeeTerritory' Territory' EmployeeTerritory
Cyclically-dependent Modularization,nwind,EmployeeTerritory,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: EmployeeTerritory' Employee' Order' Employee
Cyclically-dependent Modularization,nwind,Order,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Order' OrderDetail
Cyclically-dependent Modularization,nwind,Order,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Order' OrderDetail' Product' OrderDetail
Cyclically-dependent Modularization,nwind,Product,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Product' OrderDetail
Cyclically-dependent Modularization,nwind,Region,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Region' Territory
Cyclically-dependent Modularization,nwind,Region,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Region' Territory' EmployeeTerritory' Territory
Cyclically-dependent Modularization,nwind,Shipper,C:\repos\lytico_dblinq2007\examples\DbLinq.MySql.Example\nwind\Northwind.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Shipper' Order
