Method,LOC,CC,PC
DigitalStudioClock:DigitalStudioClock,9,1,0
DigitalStudioClock:Dispose,6,2,1
DigitalStudioClock:InitializeComponent,17,1,0
DigitalStudioClock:DigitalGauge_Paint,13,1,2
DigitalStudioClock:DrawTime,12,5,1
DigitalStudioClock:DrawRadiusDot,11,4,1
DigitalStudioClock:timer1_Tick,3,1,2
FivebySevenHelper:FivebySevenHelper,13,1,1
FivebySevenHelper:GetStringSize,10,4,2
FivebySevenHelper:DrawDigits,39,4,6
FivebySevenHelper:DrawColon,14,1,4
FivebySevenHelper:FillPolygon,8,2,5
FivebySevenHelper:DrawDigit,22,5,6
