Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
JSON_Intellisense.Bower,BowerVersionCompletionEntry,0,2,0,0,2,11,2,0,0,-1,2,1,JSON_Intellisense.Bower.Constants' JSON_Intellisense.Helper,JSON_Intellisense.Bower.BowerVersionCompletionProvider
JSON_Intellisense.Bower,BowerVersionCompletionProvider,4,6,2,0,0,112,13,0,1,0.5,6,0,JSON_Intellisense.Bower.BowerVersionCompletionEntry' JSON_Intellisense.Bower.Constants' JSON_Intellisense.Bower.Resources.text' JSON_Intellisense.CompletionProviderBase' JSON_Intellisense.Logger' JSON_Intellisense.Helper,
JSON_Intellisense.Bower,Constants,4,0,0,4,0,7,0,0,0,-1,0,13,,JSON_Intellisense.Bower.UpdatePackageProvider' JSON_Intellisense.Bower.BowerNameCompletionProvider' JSON_Intellisense.Bower.BowerVersionCompletionProvider' JSON_Intellisense.Bower.NavigateToHomepageProvider' JSON_Intellisense.Bower.InstallPackageProvider' JSON_Intellisense.Bower.UninstallPackageProvider' JSON_Intellisense.Bower.BowerInfoBox' JSON_Intellisense.Bower.BowerVersionCompletionEntry' JSON_Intellisense.Bower.BowerPackage' JSON_Intellisense.ProjectOpen' JSON_Intellisense.Bower.BowerNameCompletionEntry' JSON_Intellisense.FileSaved' JSON_Intellisense.QuickInfoSourceProvider
JSON_Intellisense.Bower,BowerInfoBox,1,2,0,0,2,18,2,0,0,1,3,1,JSON_Intellisense.Bower.Constants' JSON_Intellisense.Bower.BowerPackage' JSON_Intellisense.Bower.Resources.text,JSON_Intellisense.Bower.BowerQuickInfo
JSON_Intellisense.Bower,BowerPackage,0,1,3,0,1,32,3,0,0,-1,4,3,JSON_Intellisense.Bower.Constants' JSON_Intellisense.JSON_IntellisensePackage' JSON_Intellisense.Options' JSON_Intellisense.Helper,JSON_Intellisense.Bower.BowerQuickInfo' JSON_Intellisense.Bower.BowerInfoBox' JSON_Intellisense.Bower.NavigateToHomePageAction
JSON_Intellisense.Bower,BowerQuickInfo,0,2,0,0,2,13,3,0,1,-1,3,1,JSON_Intellisense.Bower.BowerInfoBox' JSON_Intellisense.Bower.BowerPackage' JSON_Intellisense.QuickInfoSourceBase,JSON_Intellisense.QuickInfoSourceProvider
JSON_Intellisense.Bower,InstallPackageProvider,0,1,1,0,1,16,2,0,1,-1,4,0,JSON_Intellisense.Bower.Constants' JSON_Intellisense.Bower.InstallPackageAction' JSON_Intellisense.JSONSmartTagProviderBase' JSON_Intellisense.IJSONSmartTagProvider,
JSON_Intellisense.Bower,InstallPackageAction,2,3,1,0,2,30,4,0,1,0,4,1,JSON_Intellisense.Bower.Resources.text' JSON_Intellisense.Helper' JSON_Intellisense.Globals' JSON_Intellisense.JSONSmartTagActionBase,JSON_Intellisense.Bower.InstallPackageProvider
JSON_Intellisense.Bower,UninstallPackageProvider,0,1,1,0,1,16,2,0,1,-1,4,0,JSON_Intellisense.Bower.Constants' JSON_Intellisense.Bower.UninstallPackageAction' JSON_Intellisense.JSONSmartTagProviderBase' JSON_Intellisense.IJSONSmartTagProvider,
JSON_Intellisense.Bower,UninstallPackageAction,3,2,1,0,2,25,2,0,1,0,4,1,JSON_Intellisense.Bower.Resources.text' JSON_Intellisense.Helper' JSON_Intellisense.Globals' JSON_Intellisense.JSONSmartTagActionBase,JSON_Intellisense.Bower.UninstallPackageProvider
JSON_Intellisense.Bower,UpdatePackageProvider,0,1,1,0,1,15,2,0,1,-1,4,0,JSON_Intellisense.Bower.Constants' JSON_Intellisense.Bower.UpdatePackageAction' JSON_Intellisense.JSONSmartTagProviderBase' JSON_Intellisense.IJSONSmartTagProvider,
JSON_Intellisense.Bower,UpdatePackageAction,2,2,1,0,2,21,2,0,1,0,4,1,JSON_Intellisense.Bower.Resources.text' JSON_Intellisense.Helper' JSON_Intellisense.Globals' JSON_Intellisense.JSONSmartTagActionBase,JSON_Intellisense.Bower.UpdatePackageProvider
JSON_Intellisense.Bower,NavigateToHomepageProvider,0,1,1,0,1,14,1,0,1,-1,4,0,JSON_Intellisense.Bower.Constants' JSON_Intellisense.Bower.NavigateToHomePageAction' JSON_Intellisense.JSONSmartTagProviderBase' JSON_Intellisense.IJSONSmartTagProvider,
JSON_Intellisense.Bower,NavigateToHomePageAction,1,2,1,0,2,27,3,0,1,0,4,1,JSON_Intellisense.Bower.BowerPackage' JSON_Intellisense.Bower.Resources.text' JSON_Intellisense.Globals' JSON_Intellisense.JSONSmartTagActionBase,JSON_Intellisense.Bower.NavigateToHomepageProvider
JSON_Intellisense.Bower,BowerNameCompletionEntry,2,4,0,0,2,53,8,0,0,0,3,1,JSON_Intellisense.Bower.Constants' JSON_Intellisense.Bower.Resources.text' JSON_Intellisense.Helper,JSON_Intellisense.Bower.BowerNameCompletionProvider
