Namespace,Type,Method,LOC,CC,PC
MartinCostello.SqlLocalDb,ILoggerExtensions,CreatedInstance,0,1,3
MartinCostello.SqlLocalDb,ILoggerExtensions,CreatingInstance,0,1,3
MartinCostello.SqlLocalDb,ILoggerExtensions,DeletedInstance,0,1,2
MartinCostello.SqlLocalDb,ILoggerExtensions,DeletingInstance,0,1,2
MartinCostello.SqlLocalDb,ILoggerExtensions,DeletingInstanceFailed,0,1,3
MartinCostello.SqlLocalDb,ILoggerExtensions,DeletingInstanceFailedAsInUse,0,1,3
MartinCostello.SqlLocalDb,ILoggerExtensions,DeletingInstanceFailedAsNotFound,0,1,2
MartinCostello.SqlLocalDb,ILoggerExtensions,DeletedInstanceFiles,0,1,3
MartinCostello.SqlLocalDb,ILoggerExtensions,DeletingInstanceFiles,0,1,3
MartinCostello.SqlLocalDb,ILoggerExtensions,DeletingInstanceFilesFailed,0,1,3
MartinCostello.SqlLocalDb,ILoggerExtensions,GettingInstanceInfo,0,1,2
MartinCostello.SqlLocalDb,ILoggerExtensions,GotInstanceInfo,0,1,2
MartinCostello.SqlLocalDb,ILoggerExtensions,GettingInstanceNames,0,1,1
MartinCostello.SqlLocalDb,ILoggerExtensions,GotInstanceNames,0,1,2
MartinCostello.SqlLocalDb,ILoggerExtensions,GettingVersionInfo,0,1,2
MartinCostello.SqlLocalDb,ILoggerExtensions,GotVersionInfo,0,1,2
MartinCostello.SqlLocalDb,ILoggerExtensions,GettingVersions,0,1,1
MartinCostello.SqlLocalDb,ILoggerExtensions,GotVersions,0,1,2
MartinCostello.SqlLocalDb,ILoggerExtensions,InvalidLanguageId,0,1,2
MartinCostello.SqlLocalDb,ILoggerExtensions,InvalidRegistryKey,0,1,2
MartinCostello.SqlLocalDb,ILoggerExtensions,NativeApiFunctionNotFound,0,1,2
MartinCostello.SqlLocalDb,ILoggerExtensions,NativeApiLibraryNotFound,0,1,2
MartinCostello.SqlLocalDb,ILoggerExtensions,NativeApiLoaded,0,1,2
MartinCostello.SqlLocalDb,ILoggerExtensions,NativeApiLoadFailed,0,1,3
MartinCostello.SqlLocalDb,ILoggerExtensions,NativeApiNotFound,0,1,1
MartinCostello.SqlLocalDb,ILoggerExtensions,NativeApiNotLoaded,0,1,1
MartinCostello.SqlLocalDb,ILoggerExtensions,NativeApiUnloaded,0,1,2
MartinCostello.SqlLocalDb,ILoggerExtensions,NativeApiVersionOverriddenByUser,0,1,2
MartinCostello.SqlLocalDb,ILoggerExtensions,NativeApiVersionOverrideNotFound,0,1,2
MartinCostello.SqlLocalDb,ILoggerExtensions,NotInstalled,0,1,1
MartinCostello.SqlLocalDb,ILoggerExtensions,RegistryKeyNotFound,0,1,2
MartinCostello.SqlLocalDb,ILoggerExtensions,SharingInstance,0,1,4
MartinCostello.SqlLocalDb,ILoggerExtensions,SharedInstance,0,1,4
MartinCostello.SqlLocalDb,ILoggerExtensions,StartedInstance,0,1,3
MartinCostello.SqlLocalDb,ILoggerExtensions,StartingInstance,0,1,2
MartinCostello.SqlLocalDb,ILoggerExtensions,StartedTracing,0,1,1
MartinCostello.SqlLocalDb,ILoggerExtensions,StartingTracing,0,1,1
MartinCostello.SqlLocalDb,ILoggerExtensions,StoppedInstance,0,1,3
MartinCostello.SqlLocalDb,ILoggerExtensions,StoppingInstance,0,1,4
MartinCostello.SqlLocalDb,ILoggerExtensions,StoppingTemporaryInstanceFailed,0,1,3
MartinCostello.SqlLocalDb,ILoggerExtensions,StoppedTracing,0,1,1
MartinCostello.SqlLocalDb,ILoggerExtensions,StoppingTracing,0,1,1
MartinCostello.SqlLocalDb,ILoggerExtensions,UnsharingInstance,0,1,2
MartinCostello.SqlLocalDb,ILoggerExtensions,UnsharedInstance,0,1,2
MartinCostello.SqlLocalDb,ISqlLocalDbApi,CreateInstance,0,1,2
MartinCostello.SqlLocalDb,ISqlLocalDbApi,DeleteInstance,0,1,1
MartinCostello.SqlLocalDb,ISqlLocalDbApi,GetInstanceInfo,0,1,1
MartinCostello.SqlLocalDb,ISqlLocalDbApi,GetInstanceNames,0,1,0
MartinCostello.SqlLocalDb,ISqlLocalDbApi,GetVersionInfo,0,1,1
MartinCostello.SqlLocalDb,ISqlLocalDbApi,InstanceExists,0,1,1
MartinCostello.SqlLocalDb,ISqlLocalDbApi,IsLocalDBInstalled,0,1,0
MartinCostello.SqlLocalDb,ISqlLocalDbApi,ShareInstance,0,1,3
MartinCostello.SqlLocalDb,ISqlLocalDbApi,StartInstance,0,1,1
MartinCostello.SqlLocalDb,ISqlLocalDbApi,StartTracing,0,1,0
MartinCostello.SqlLocalDb,ISqlLocalDbApi,StopInstance,0,1,2
MartinCostello.SqlLocalDb,ISqlLocalDbApi,StopTracing,0,1,0
MartinCostello.SqlLocalDb,ISqlLocalDbApi,UnshareInstance,0,1,1
MartinCostello.SqlLocalDb,ISqlLocalDbApiExtensions,CreateTemporaryInstance,0,1,2
MartinCostello.SqlLocalDb,ISqlLocalDbApiExtensions,GetDefaultInstance,7,2,1
MartinCostello.SqlLocalDb,ISqlLocalDbApiExtensions,GetInstances,17,4,1
MartinCostello.SqlLocalDb,ISqlLocalDbApiExtensions,GetVersions,17,4,1
MartinCostello.SqlLocalDb,ISqlLocalDbApiExtensions,GetOrCreateInstance,35,7,2
MartinCostello.SqlLocalDb,ISqlLocalDbApiExtensions,ShareInstance,13,2,3
MartinCostello.SqlLocalDb,ISqlLocalDbInstanceInfoExtensions,CreateConnection,4,1,1
MartinCostello.SqlLocalDb,ISqlLocalDbInstanceInfoExtensions,CreateConnectionStringBuilder,15,3,1
MartinCostello.SqlLocalDb,ISqlLocalDbInstanceInfoExtensions,GetConnectionString,0,1,1
MartinCostello.SqlLocalDb,ISqlLocalDbInstanceInfoExtensions,Manage,15,3,1
MartinCostello.SqlLocalDb,ISqlLocalDbInstanceManager,GetInstanceInfo,0,1,0
MartinCostello.SqlLocalDb,ISqlLocalDbInstanceManager,Share,0,1,1
MartinCostello.SqlLocalDb,ISqlLocalDbInstanceManager,Start,0,1,0
MartinCostello.SqlLocalDb,ISqlLocalDbInstanceManager,Stop,0,1,0
MartinCostello.SqlLocalDb,ISqlLocalDbInstanceManager,Unshare,0,1,0
MartinCostello.SqlLocalDb,ISqlLocalDbInstanceManagerExtensions,CreateConnection,7,2,1
MartinCostello.SqlLocalDb,ISqlLocalDbInstanceManagerExtensions,Restart,8,2,1
MartinCostello.SqlLocalDb,SqlLocalDbApi,SqlLocalDbApi,2,1,0
MartinCostello.SqlLocalDb,SqlLocalDbApi,SqlLocalDbApi,2,1,1
MartinCostello.SqlLocalDb,SqlLocalDbApi,SqlLocalDbApi,2,1,2
MartinCostello.SqlLocalDb,SqlLocalDbApi,SqlLocalDbApi,18,3,3
MartinCostello.SqlLocalDb,SqlLocalDbApi,GetInstancesFolderPath,7,1,0
MartinCostello.SqlLocalDb,SqlLocalDbApi,Dispose,4,1,0
MartinCostello.SqlLocalDb,SqlLocalDbApi,CreateInstance,0,1,1
MartinCostello.SqlLocalDb,SqlLocalDbApi,CreateInstance,17,3,2
MartinCostello.SqlLocalDb,SqlLocalDbApi,DeleteInstance,0,1,1
MartinCostello.SqlLocalDb,SqlLocalDbApi,DeleteInstance,3,1,2
MartinCostello.SqlLocalDb,SqlLocalDbApi,DeleteUserInstances,0,1,0
MartinCostello.SqlLocalDb,SqlLocalDbApi,DeleteUserInstances,38,4,1
MartinCostello.SqlLocalDb,SqlLocalDbApi,GetInstanceInfo,26,2,1
MartinCostello.SqlLocalDb,SqlLocalDbApi,GetInstanceNames,30,2,0
MartinCostello.SqlLocalDb,SqlLocalDbApi,GetVersionInfo,25,2,1
MartinCostello.SqlLocalDb,SqlLocalDbApi,InstanceExists,10,1,1
MartinCostello.SqlLocalDb,SqlLocalDbApi,IsLocalDBInstalled,13,2,0
MartinCostello.SqlLocalDb,SqlLocalDbApi,ShareInstance,41,5,3
MartinCostello.SqlLocalDb,SqlLocalDbApi,StartInstance,16,2,1
MartinCostello.SqlLocalDb,SqlLocalDbApi,StartTracing,5,1,0
MartinCostello.SqlLocalDb,SqlLocalDbApi,StopInstance,3,1,1
MartinCostello.SqlLocalDb,SqlLocalDbApi,StopInstance,3,1,2
MartinCostello.SqlLocalDb,SqlLocalDbApi,StopInstance,20,3,3
MartinCostello.SqlLocalDb,SqlLocalDbApi,StopTracing,5,1,0
MartinCostello.SqlLocalDb,SqlLocalDbApi,UnshareInstance,12,2,1
MartinCostello.SqlLocalDb,SqlLocalDbApi,EnsurePlatformSupported,6,2,0
MartinCostello.SqlLocalDb,SqlLocalDbApi,IsDefaultInstanceName,5,1,1
MartinCostello.SqlLocalDb,SqlLocalDbApi,DeleteInstanceInternal,24,5,3
MartinCostello.SqlLocalDb,SqlLocalDbApi,DeleteInstanceFiles,20,2,1
MartinCostello.SqlLocalDb,SqlLocalDbApi,GetLocalDbError,47,4,3
MartinCostello.SqlLocalDb,SqlLocalDbApi,GetOwnerSidAsByteArray,7,1,1
MartinCostello.SqlLocalDb,SqlLocalDbApi,MarshalStringArray,13,2,3
MartinCostello.SqlLocalDb,SqlLocalDbApi,MarshalStruct,3,1,1
MartinCostello.SqlLocalDb,SqlLocalDbApi,GetLocalDbVersions,43,3,0
MartinCostello.SqlLocalDb,SqlLocalDbApi,InvokeThrowOnError,8,2,3
MartinCostello.SqlLocalDb,SqlLocalDbApi,Dispose,10,3,1
MartinCostello.SqlLocalDb,SqlLocalDbException,SqlLocalDbException,2,1,0
MartinCostello.SqlLocalDb,SqlLocalDbException,SqlLocalDbException,2,1,1
MartinCostello.SqlLocalDb,SqlLocalDbException,SqlLocalDbException,2,1,2
MartinCostello.SqlLocalDb,SqlLocalDbException,SqlLocalDbException,2,1,2
MartinCostello.SqlLocalDb,SqlLocalDbException,SqlLocalDbException,3,1,3
MartinCostello.SqlLocalDb,SqlLocalDbException,SqlLocalDbException,5,1,4
MartinCostello.SqlLocalDb,SqlLocalDbException,SqlLocalDbException,4,1,2
MartinCostello.SqlLocalDb,SqlLocalDbException,GetObjectData,9,2,2
MartinCostello.SqlLocalDb,SqlLocalDbInstanceInfo,SqlLocalDbInstanceInfo,3,1,1
MartinCostello.SqlLocalDb,SqlLocalDbInstanceInfo,ToString,0,1,0
MartinCostello.SqlLocalDb,SqlLocalDbInstanceInfo,Update,17,2,1
MartinCostello.SqlLocalDb,SqlLocalDbInstanceManager,SqlLocalDbInstanceManager,4,1,2
