Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,Microsoft.Samples.EntityDataReader,EntityDataReader<T>,D:\research\architectureSmells\repos\matthewschrager_Repository\Repository.EntityFramework\EntityDataReader.cs,GetBytes,The method has 5 parameters. Parameters: i' fieldOffset' buffer' bufferoffset' length
Long Parameter List,Microsoft.Samples.EntityDataReader,EntityDataReader<T>,D:\research\architectureSmells\repos\matthewschrager_Repository\Repository.EntityFramework\EntityDataReader.cs,GetChars,The method has 5 parameters. Parameters: i' fieldoffset' buffer' bufferoffset' length
Long Parameter List,Microsoft.Samples.EntityDataReader,Attribute,D:\research\architectureSmells\repos\matthewschrager_Repository\Repository.EntityFramework\EntityDataReader.cs,Attribute,The method has 5 parameters. Parameters: fullName' name' type' getValue' isRelatedAttribute
Long Identifier,Microsoft.Samples.EntityDataReader,EntityDataReader<T>,D:\research\architectureSmells\repos\matthewschrager_Repository\Repository.EntityFramework\EntityDataReader.cs,,The length of the parameter scalarAttributesPlusRelatedObjectScalarAttributes is 49.
Long Identifier,Microsoft.Samples.EntityDataReader,EntityDataReader<T>,D:\research\architectureSmells\repos\matthewschrager_Repository\Repository.EntityFramework\EntityDataReader.cs,,The length of the parameter scalarAttributesPlusRelatedObjectKeyAttributes is 46.
Long Identifier,Microsoft.Samples.EntityDataReader,EntityDataReaderOptions,D:\research\architectureSmells\repos\matthewschrager_Repository\Repository.EntityFramework\EntityDataReader.cs,EntityDataReaderOptions,The length of the parameter recreateForeignKeysForEntityFrameworkEntities is 45.
Long Statement,Repository.EntityFramework,EFRepository<TContext;TValue>,D:\research\architectureSmells\repos\matthewschrager_Repository\Repository.EntityFramework\EFRepository.cs,CheckForParameterlessConstructor,The length of the statement  "            // Find a parameterless constructor. If none exists' throw an exception that lets the user know he must provide a context to this constructor " is 141.
Long Statement,Repository.EntityFramework,EFRepository<TContext;TValue>,D:\research\architectureSmells\repos\matthewschrager_Repository\Repository.EntityFramework\EFRepository.cs,CheckForParameterlessConstructor,The length of the statement  "                throw new ArgumentException("A default context can only be created if the context type (TContext) has a parameterless constructor."); " is 133.
Long Statement,Microsoft.Samples.EntityDataReader,EntityDataReaderExtensions,D:\research\architectureSmells\repos\matthewschrager_Repository\Repository.EntityFramework\EntityDataReader.cs,AsDataReader,The length of the statement  "            EntityDataReaderOptions options = new EntityDataReaderOptions(exposeNullableColumns' flattenRelatedObjects' true' false); " is 121.
Magic Number,Repository.EntityFramework,EFRepository<TContext;TValue>,D:\research\architectureSmells\repos\matthewschrager_Repository\Repository.EntityFramework\EFRepository.cs,EFRepository,The following statement contains a magic number: InsertBatchSize = 100;
