Method,LOC,CC,PC
MappedNode:MappedNode,3,1,3
MappedNode:MappedNode,3,1,2
MappedNode:MappedNode,3,1,3
MappedNode:MappedNode,10,1,4
MappedNode:ResolveImpl,2,1,1
MappedNode:Resolve,5,2,1
MappedNode:Record,5,1,2
MappedToken:MappedToken,3,1,1
MappedToken:MappedToken,4,1,2
MappedToken:CompareTo,3,1,1
MappedToken:GetDataTiptext,11,3,1
MappedToken:GetDeclarations,6,1,2
MappedToken:Goto,9,2,1
MappedAttribute:MappedAttribute,2,1,2
MappedAttribute:ResolveImpl,14,2,1
MappedImport:MappedImport,2,1,2
MappedMacroReference:MappedMacroReference,4,1,2
MappedReferenceExpression:MappedReferenceExpression,2,1,2
MappedReferenceExpression:MappedReferenceExpression,2,1,2
MappedReferenceExpression:ResolveImpl,99,43,1
MappedReferenceExpression:Record,14,8,2
MappedTypeDefinition:MappedTypeDefinition,3,1,2
MappedTypeMemberDefinition:MappedTypeMemberDefinition,2,1,2
MappedTypeMemberDefinition:MappedTypeMemberDefinition,2,1,2
MappedTypeReference:MappedTypeReference,2,1,2
MappedTypeReference:ResolveImpl,21,6,1
MappedVariableDefinition:MappedVariableDefinition,2,1,2
MappedVariableDefinition:MappedVariableDefinition,2,1,2
ParsingError:ParsingError,2,1,3
CompletedModuleWalker:CompletedModuleWalker,3,1,1
CompletedModuleWalker:OnLocal,5,2,1
CompletedModuleWalker:OnMemberReferenceExpression,5,2,1
ParsedModuleWalker:ParsedModuleWalker,3,1,1
ParsedModuleWalker:OnParameterDeclaration,5,2,1
ParsedModuleWalker:OnField,5,2,1
ParsedModuleWalker:OnProperty,5,2,1
ParsedModuleWalker:OnMethod,5,2,1
ParsedModuleWalker:OnEvent,5,2,1
ParsedModuleWalker:OnClassDefinition,5,2,1
ParsedModuleWalker:OnModule,5,2,1
ParsedModuleWalker:OnSimpleTypeReference,5,2,1
ParsedModuleWalker:OnGenericTypeReference,5,2,1
ParsedModuleWalker:OnReferenceExpression,5,2,1
ParsedModuleWalker:OnSelfLiteralExpression,5,2,1
ParsedModuleWalker:OnMemberReferenceExpression,5,2,1
ParsedModuleWalker:OnMacroStatement,5,2,1
ParsedModuleWalker:OnError,3,1,2
ParsedModuleWalker:OnAttribute,5,2,1
ParsedModuleWalker:OnImport,5,2,1
BooDeclarations:BooDeclarations,2,1,0
BooDeclarations:BooDeclarations,26,16,3
BooDeclarations:IsContextPrivate,9,1,2
BooDeclarations:IsContextProtected,9,1,2
BooDeclarations:FormatField,13,2,3
BooDeclarations:FormatEvent,14,2,3
BooDeclarations:FormatProperty,15,3,3
BooDeclarations:FormatMethod,24,4,3
BooDeclarations:GetCount,3,1,0
BooDeclarations:GetDescription,5,1,1
BooDeclarations:GetDisplayText,3,1,1
BooDeclarations:GetGlyph,3,1,1
BooDeclarations:GetName,3,1,1
BooDeclarations:GetIconForNode,3,1,1
BooDeclarations:GetIconForNode,47,36,5
CompilerManager:Compile,29,4,3
CompilerManager:MapParsedNodes,8,7,2
CompilerManager:MapCompleted,9,8,2
CompilerMessage:CompilerMessage,6,1,4
CompilerMessage:Show,18,1,2
CompilerMessage:Hide,5,2,1
DropdownBarsManager:DropdownBarsManager,3,1,1
DropdownBarsManager:ProcessMembers,16,10,2
DropdownBarsManager:GetTypesDropdown,3,1,0
DropdownBarsManager:GetMembersDropdown,6,3,0
DropdownBarsManager:SelectCurrent,34,4,5
IFileNode:GetMappedToken,1,1,2
IFileNode:GetAdjacentMappedToken,1,1,2
IFileNode:MapPosition,1,1,2
IFileNode:GetTags,1,1,1
IFileNode:GetClassificationSpans,1,1,1
IFileNode:HideMessages,1,1,0
IFileNode:ShowMessages,1,1,0
IFileNode:Bind,1,1,1
IFileNode:SubmitForCompile,1,1,0
CompileResults:CompileResults,5,1,3
CompileResults:NextToken,9,4,1
CompileResults:ExpandTabs,27,4,2
CompileResults:Initialize,9,2,0
CompileResults:MapTokens,37,17,2
CompileResults:CalculateEndpoint,28,4,4
CompileResults:LocationToPoint,10,3,2
CompileResults:LocationToPoint,3,1,1
CompileResults:Lookup,6,1,1
CompileResults:IndexOfBufferPoint,3,1,2
CompileResults:TokensForNode,6,3,2
CompileResults:MapParsedNodes,3,1,1
CompileResults:MapParsedNode,5,2,1
CompileResults:MapNode,3,1,2
CompileResults:MapParsingMessage,3,1,1
CompileResults:MapParsingMessage,3,1,1
CompileResults:MapParsingMessage,5,2,1
CompileResults:MapCompletedNodes,10,3,1
CompileResults:MapMessage,7,1,1
CompileResults:MapMessage,6,2,1
CompileResults:GetAdjacentMappedToken,5,1,2
CompileResults:GetMappedToken,9,1,2
CompileResults:GetMappedToken,6,1,1
CompileResults:GetMappedNode,6,1,1
CompileResults:ShowMessages,3,1,2
CompileResults:HideMessages,3,1,1
CompileResults:GetSnapshotSpan,12,1,3
CompileResults:GetClassificationSpans,9,3,3
CompileResults:GetTags,7,3,2
CompileResults:SetupForCompilation,8,2,1
TextSpanExtensions:Union,10,1,2
TextSpanExtensions:GetSpan,5,1,2
TextSpanExtensions:Contains,11,1,3
TextSpanExtensions:GetTextSpan,10,1,2
Scanner:Scanner,3,1,1
Scanner:ScanTokenAndProvideInfoAboutIt,66,33,2
Scanner:SetSource,5,1,2
Scanner:GetTokenType,69,58,1
ScanningLexer:ScanningLexer,20,3,2
ScanningLexer:NextToken,3,1,0
