Namespace,Type,Method,LOC,CC,PC
MonoDevelop.AddinMaker,AddAddinReferenceDialog,AddAddinReferenceDialog,34,3,1
MonoDevelop.AddinMaker,AddAddinReferenceDialog,HandleToggled,8,1,2
MonoDevelop.AddinMaker,AddAddinReferenceDialog,ToggleCellDataFunc,5,1,4
MonoDevelop.AddinMaker,AddAddinReferenceDialog,TextCellDataFunc,10,1,4
MonoDevelop.AddinMaker,AddAddinReferenceDialog,GetSelectedAddins,11,1,0
MonoDevelop.AddinMaker,AddAddinReferenceDialog,Check,4,2,1
MonoDevelop.AddinMaker,AddinHelpers,GetUnversionedId,5,2,1
MonoDevelop.AddinMaker,AddinMSBuildGlobalPropertyProvider,GetGlobalProperties,7,1,0
MonoDevelop.AddinMaker,AddinProjectConfiguration,AddinProjectConfiguration,2,1,1
MonoDevelop.AddinMaker,AddinProjectConfiguration,GetDefineSymbols,9,2,0
MonoDevelop.AddinMaker,AddinProjectFlavor,Initialize,7,1,0
MonoDevelop.AddinMaker,AddinProjectFlavor,OnGetDotNetProjectFlags,3,1,0
MonoDevelop.AddinMaker,AddinProjectFlavor,OnGetSupportsFramework,3,1,1
MonoDevelop.AddinMaker,AddinProjectFlavor,OnGetTypeTags,4,1,1
MonoDevelop.AddinMaker,AddinProjectFlavor,OnCreateConfiguration,5,1,2
MonoDevelop.AddinMaker,AddinProjectFlavor,GetReferencedAddins,7,2,0
MonoDevelop.AddinMaker,AddinProjectFlavor,OnCreateExecutionCommand,8,1,3
MonoDevelop.AddinMaker,AddinProjectFlavor,GetLaunchAssembly,10,3,0
MonoDevelop.AddinMaker,AddinProjectFlavor,OnGetCanExecute,3,1,3
MonoDevelop.AddinMaker,AddinProjectFlavor,OnGetSupportedFeatures,7,2,0
MonoDevelop.AddinMaker,AddinProjectFlavor,OnGetCommonBuildActions,6,1,0
MonoDevelop.AddinMaker,AddinReferenceEventArgs,AddInfo,3,1,2
MonoDevelop.AddinMaker,AddinReferenceEventInfo,AddinReferenceEventInfo,4,1,2
MonoDevelop.AddinMaker,AddinProjectNeedsMigrationFlavor,AddinProjectNeedsMigrationFlavor,6,1,0
MonoDevelop.AddinMaker,AddinReference,AddinReference,3,1,1
MonoDevelop.AddinMaker,AddinReference,AddinReference,2,1,0
MonoDevelop.AddinMaker,AddinReferenceCollection,AddinReferenceCollection,3,1,1
MonoDevelop.AddinMaker,AddinReferencePropertyProvider,CreateProvider,3,1,1
MonoDevelop.AddinMaker,AddinReferencePropertyProvider,SupportsObject,3,1,1
MonoDevelop.AddinMaker,AddinReferenceDescriptor,AddinReferenceDescriptor,3,1,1
MonoDevelop.AddinMaker,AddinProjectNodeBuilder,CanBuildNode,4,1,1
MonoDevelop.AddinMaker,AddinProjectNodeBuilder,HasChildNodes,9,2,2
MonoDevelop.AddinMaker,AddinProjectNodeBuilder,GetProject,6,1,1
MonoDevelop.AddinMaker,AddinProjectNodeBuilder,BuildChildNodes,11,3,2
MonoDevelop.AddinMaker,AddinReferenceNodeBuilder,GetNodeName,3,1,2
MonoDevelop.AddinMaker,AddinReferenceNodeBuilder,BuildNode,9,1,3
MonoDevelop.AddinMaker,AddinReferenceNodeBuilder,HasChildNodes,3,1,2
MonoDevelop.AddinMaker,AddinReferenceNodeBuilder,BuildChildNodes,12,3,2
MonoDevelop.AddinMaker,AddinReferenceCommandHandler,CanDeleteItem,3,1,0
MonoDevelop.AddinMaker,AddinReferenceCommandHandler,UpdateDelete,4,1,1
MonoDevelop.AddinMaker,AddinReferenceCommandHandler,DeleteItem,6,1,0
MonoDevelop.AddinMaker,AddinReferenceCommandHandler,ActivateItem,8,2,0
MonoDevelop.AddinMaker,AddinReferencesNodeBuilder,GetNodeName,3,1,2
MonoDevelop.AddinMaker,AddinReferencesNodeBuilder,BuildNode,12,2,3
MonoDevelop.AddinMaker,AddinReferencesNodeBuilder,HasChildNodes,3,1,2
MonoDevelop.AddinMaker,AddinReferencesNodeBuilder,BuildChildNodes,4,2,2
MonoDevelop.AddinMaker,AddinReferencesNodeBuilder,OnNodeAdded,6,1,1
MonoDevelop.AddinMaker,AddinReferencesNodeBuilder,OnNodeRemoved,6,1,1
MonoDevelop.AddinMaker,AddinReferencesNodeBuilder,OnReferencesChanged,13,5,2
MonoDevelop.AddinMaker,AddinReferencesNodeBuilder,CompareObjects,3,1,2
MonoDevelop.AddinMaker,AddinReferencesNodeBuilder,GetSortIndex,3,1,1
MonoDevelop.AddinMaker,AddinReferenceFolderCommandHandler,AddAddinReference,29,3,0
MonoDevelop.AddinMaker,AddinReferenceFolderCommandHandler,ActivateItem,3,1,0
MonoDevelop.AddinMaker.AddinBrowser,AddinAssembliesFolder,AddinAssembliesFolder,3,1,1
MonoDevelop.AddinMaker.AddinBrowser,AddinAssembly,AddinAssembly,4,1,2
MonoDevelop.AddinMaker.AddinBrowser,AddinAssemblyNodeBuilder,GetNodeName,4,1,2
MonoDevelop.AddinMaker.AddinBrowser,AddinAssemblyNodeBuilder,BuildNode,4,1,3
MonoDevelop.AddinMaker.AddinBrowser,AddinAssemblyNodeCommandHandler,ActivateItem,5,1,0
MonoDevelop.AddinMaker.AddinBrowser,AddinBrowserViewContent,AddinBrowserViewContent,5,1,1
MonoDevelop.AddinMaker.AddinBrowser,AddinBrowserViewContent,OnGetViewControl,3,1,1
MonoDevelop.AddinMaker.AddinBrowser,AddinBrowserViewContent,Open,17,5,2
MonoDevelop.AddinMaker.AddinBrowser,AddinBrowserViewContent,BuildNavigationPoint,4,1,0
MonoDevelop.AddinMaker.AddinBrowser,AddinBrowserWidget,AddinBrowserWidget,11,1,1
MonoDevelop.AddinMaker.AddinBrowser,AddinBrowserWidget,SetDetailWidget,10,2,1
MonoDevelop.AddinMaker.AddinBrowser,AddinBrowserWidget,FillDetailPanel,20,4,0
MonoDevelop.AddinMaker.AddinBrowser,ITreeDetailBuilder,GetDetailWidget,0,1,1
