Namespace,Type,Method,LOC,CC,PC
PreMailer.Net,CssAttribute,CssAttribute,1,1,0
PreMailer.Net,CssAttribute,FromRule,20,3,1
PreMailer.Net,CssAttribute,ToString,3,1,0
PreMailer.Net,CssElementStyleResolver,GetAllStyles,8,2,2
PreMailer.Net,CssElementStyleResolver,AddSpecialPremailerAttributes,16,3,2
PreMailer.Net,CssParser,CssParser,4,1,0
PreMailer.Net,CssParser,AddStyleSheet,4,1,1
PreMailer.Net,CssParser,GetStyleSheet,3,1,1
PreMailer.Net,CssParser,ParseStyleClass,5,1,2
PreMailer.Net,CssParser,ProcessStyleSheet,11,3,1
PreMailer.Net,CssParser,FillStyleClassFromBlock,21,3,1
PreMailer.Net,CssParser,FillStyleClass,11,3,3
PreMailer.Net,CssParser,CleanUp,8,1,1
PreMailer.Net,CssParser,CleanupMediaQueries,5,1,1
PreMailer.Net,CssSelector,CssSelector,3,1,1
PreMailer.Net,CssSelector,StripNotPseudoClassContent,4,1,0
PreMailer.Net,CssSelector,ToString,3,1,0
PreMailer.Net,CssSelectorParser,SelectorSpecificity,4,1,1
PreMailer.Net,CssSelectorParser,GetSelectorSpecificity,3,1,1
PreMailer.Net,CssSelectorParser,CalculateSpecificity,19,3,1
PreMailer.Net,CssSelectorParser,IsPseudoClass,3,1,1
PreMailer.Net,CssSelectorParser,IsPseudoElement,3,1,1
PreMailer.Net,CssSelectorParser,IsSupportedSelector,3,1,1
PreMailer.Net,CssSelectorParser,MatchCountAndStrip,5,1,3
PreMailer.Net,CssSelectorParser,BuildOrRegex,18,4,3
PreMailer.Net,CssSpecificity,CssSpecificity,5,1,3
PreMailer.Net,CssSpecificity,ToInt,6,1,0
PreMailer.Net,CssSpecificity,ToString,3,1,0
PreMailer.Net,CssStyleEquivalence,FindEquivalent,8,1,2
PreMailer.Net,ICssSelectorParser,GetSelectorSpecificity,0,1,1
PreMailer.Net,ICssSelectorParser,IsPseudoElement,0,1,1
PreMailer.Net,ICssSelectorParser,IsPseudoClass,0,1,1
PreMailer.Net,InlineResult,InlineResult,4,1,2
PreMailer.Net,PreMailer,PreMailer,2,1,2
PreMailer.Net,PreMailer,PreMailer,7,1,2
PreMailer.Net,PreMailer,PreMailer,7,1,2
PreMailer.Net,PreMailer,MoveCssInline,3,1,6
PreMailer.Net,PreMailer,MoveCssInline,3,1,6
PreMailer.Net,PreMailer,MoveCssInline,3,1,7
PreMailer.Net,PreMailer,MoveCssInline,3,1,7
PreMailer.Net,PreMailer,MoveCssInline,39,5,5
PreMailer.Net,PreMailer,AddAnalyticsTags,12,3,5
PreMailer.Net,PreMailer,DomainMatch,8,2,2
PreMailer.Net,PreMailer,GetCssBlocks,8,2,1
PreMailer.Net,PreMailer,ConvertToStyleSources,21,4,1
PreMailer.Net,PreMailer,CssSourceNodes,13,2,0
PreMailer.Net,PreMailer,CssLinkNodes,12,2,0
PreMailer.Net,PreMailer,RemoveStyleElements,6,2,1
PreMailer.Net,PreMailer,Join,8,2,1
PreMailer.Net,PreMailer,CleanUnsupportedSelectors,20,5,1
PreMailer.Net,PreMailer,FindElementsWithStyles,21,3,1
PreMailer.Net,PreMailer,SortBySpecificity,22,4,1
PreMailer.Net,PreMailer,MergeStyleClasses,15,3,1
PreMailer.Net,PreMailer,StripElementAttributes,15,4,1
PreMailer.Net,PreMailer,GetMarkupFormatterForDocType,7,2,0
PreMailer.Net,PreMailer,GetSelectorSpecificity,10,2,2
PreMailer.Net,PreMailer,Dispose,3,1,0
PreMailer.Net,StyleClass,StyleClass,3,1,0
PreMailer.Net,StyleClass,Merge,10,3,2
PreMailer.Net,StyleClass,ToString,3,1,0
PreMailer.Net,StyleClassApplier,ApplyAllStyles,7,2,1
PreMailer.Net,StyleClassApplier,ApplyStyles,14,3,2
PreMailer.Net,StyleClassApplier,PrepareAttribute,13,2,2
PreMailer.Net.Downloaders,IWebDownloader,DownloadString,0,1,1
PreMailer.Net.Downloaders,WebDownloader,DownloadString,29,3,1
PreMailer.Net.Sources,DocumentStyleTagCssSource,DocumentStyleTagCssSource,3,1,1
PreMailer.Net.Sources,DocumentStyleTagCssSource,GetCss,3,1,0
PreMailer.Net.Sources,ICssSource,GetCss,0,1,0
PreMailer.Net.Sources,LinkTagCssSource,LinkTagCssSource,13,2,2
PreMailer.Net.Sources,LinkTagCssSource,GetCss,13,2,0
PreMailer.Net.Sources,LinkTagCssSource,IsSupported,7,1,1
PreMailer.Net.Sources,StringCssSource,StringCssSource,3,1,1
PreMailer.Net.Sources,StringCssSource,GetCss,3,1,0
