Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
DateConverter,0,2,0,0,2,20,3,0,0,0,0,0
ErrorConverter,0,2,0,0,2,14,2,0,0,0,0,0
StringToNullableNumberConverter,0,2,0,0,2,29,5,0,0,0,0,0
OrderModule,2,2,0,0,2,18,2,0,1,0.5,5,1
OrdersCommands,1,0,0,1,0,9,0,0,0,0,1,0
OrdersCommandProxy,0,0,1,0,0,11,0,0,0,0,0,1
OrdersToolBar,0,1,0,0,1,10,1,0,0,0,0,1
OrderViewModel,2,8,8,0,1,171,14,0,0,0.94,4,1
OrdersEditorViewModel,2,6,4,0,1,81,10,0,0,0.75,6,1
Resources,2,1,4,0,0,61,1,0,0,0,0,1
IOrdersRepository,0,1,0,0,0,4,1,1,0,0,0,2
Order,0,1,5,0,1,28,1,0,0,0,0,3
OrdersRepository,1,1,0,0,1,16,2,0,1,0,1,1
OrdersEditorView,0,1,0,0,1,12,1,0,0,0,1,1
