Method,LOC,CC,PC
DateConverter:Convert,4,1,4
DateConverter:ConvertBack,8,2,4
ErrorConverter:Convert,6,1,4
ErrorConverter:ConvertBack,3,1,4
StringToNullableNumberConverter:Convert,3,1,4
StringToNullableNumberConverter:ConvertBack,18,4,4
OrderModule:OrderModule,4,1,2
OrderModule:Initialize,7,1,0
OrdersToolBar:OrdersToolBar,3,1,0
OrderViewModel:OrderViewModel,8,1,1
OrderViewModel:OnPropertyChanged,12,2,2
OrderViewModel:CanSave,6,1,1
OrderViewModel:Save,6,1,1
OrderViewModel:OnSaved,6,2,1
OrderViewModel:Validate,14,3,0
OrderViewModel:ClearError,5,2,1
OrderViewModel:NotifyPropertyChanged,5,2,1
OrdersEditorViewModel:OrdersEditorViewModel,12,1,2
OrdersEditorViewModel:ProcessOrder,3,1,1
OrdersEditorViewModel:SelectedOrderChanged,4,1,2
OrdersEditorViewModel:PopulateOrders,12,2,0
OrdersEditorViewModel:OrderSaved,12,3,2
OrdersEditorViewModel:NotifyPropertyChanged,5,2,1
Resources:Resources,2,1,0
IOrdersRepository:GetOrdersToEdit,1,1,0
Order:Order,3,1,0
OrdersRepository:GetOrdersToEdit,11,2,0
OrdersEditorView:OrdersEditorView,5,1,1
