Method,LOC,CC,PC
AssemblyMetadataAttribute:AssemblyMetadataAttribute,4,1,2
TaskAsyncHelper:MakeTask,3,1,1
TaskAsyncHelper:OrEmpty,3,1,1
TaskAsyncHelper:OrEmpty,3,1,1
TaskAsyncHelper:FromAsync,8,2,3
TaskAsyncHelper:FromAsync,8,2,3
TaskAsyncHelper:Series,9,2,2
TaskAsyncHelper:Catch,4,1,2
TaskAsyncHelper:Catch,11,3,3
TaskAsyncHelper:AttachFaultedContinuation,5,1,4
TaskAsyncHelper:ExecuteOnFaulted,7,1,3
TaskAsyncHelper:Catch,3,1,4
TaskAsyncHelper:ContinueWithNotComplete,37,8,3
TaskAsyncHelper:ContinueWithNotComplete,10,1,3
TaskAsyncHelper:ContinueWith,13,1,3
TaskAsyncHelper:ContinueWith,13,1,3
TaskAsyncHelper:Return,4,1,1
TaskAsyncHelper:Then,11,4,2
TaskAsyncHelper:Then,12,4,2
TaskAsyncHelper:Then,21,2,5
TaskAsyncHelper:Then,11,4,3
TaskAsyncHelper:Then,11,4,4
TaskAsyncHelper:Then,11,4,3
TaskAsyncHelper:Then,11,4,4
TaskAsyncHelper:Then,12,4,3
TaskAsyncHelper:Then,12,4,3
TaskAsyncHelper:Then,12,4,3
TaskAsyncHelper:Then,11,4,2
TaskAsyncHelper:Then,12,4,2
TaskAsyncHelper:Then,11,4,2
TaskAsyncHelper:Then,11,4,3
TaskAsyncHelper:Then,11,4,3
TaskAsyncHelper:Finally,17,6,3
TaskAsyncHelper:RunSynchronously,11,4,3
TaskAsyncHelper:FastUnwrap,4,1,1
TaskAsyncHelper:FastUnwrap,4,1,1
TaskAsyncHelper:Delay,11,1,2
TaskAsyncHelper:FromMethod,9,2,1
TaskAsyncHelper:FromMethod,9,2,2
TaskAsyncHelper:FromMethod,9,2,3
TaskAsyncHelper:FromMethod,8,2,1
TaskAsyncHelper:FromMethod,8,2,1
TaskAsyncHelper:FromMethod,8,2,1
TaskAsyncHelper:FromMethod,8,2,2
TaskAsyncHelper:FromMethod,8,2,3
TaskAsyncHelper:FromMethod,8,2,2
TaskAsyncHelper:FromMethod,8,2,2
TaskAsyncHelper:FromMethod,8,2,3
TaskAsyncHelper:FromMethod,8,2,3
TaskAsyncHelper:FromResult,5,1,1
TaskAsyncHelper:FromError,3,1,1
TaskAsyncHelper:FromError,5,1,1
TaskAsyncHelper:SetUnwrappedException,9,2,2
TaskAsyncHelper:TrySetUnwrappedException,9,2,2
TaskAsyncHelper:Canceled,5,1,0
TaskAsyncHelper:Canceled,5,1,0
TaskAsyncHelper:RunTask,21,1,3
TaskAsyncHelper:RunTaskSynchronously,27,1,5
AssemblyExtensions:StringResource,8,3,2
DependencyResolverExtensions:UseSqlServer,4,1,2
DependencyResolverExtensions:UseSqlServer,8,2,2
SqlScaleoutConfiguration:SqlScaleoutConfiguration,6,2,1
DbProviderFactoryAdapter:DbProviderFactoryAdapter,3,1,1
DbProviderFactoryAdapter:CreateConnection,3,1,0
DbProviderFactoryAdapter:CreateParameter,3,1,0
DbProviderFactoryExtensions:AsIDbProviderFactory,3,1,1
IDataParameterExtensions:Clone,8,1,2
IDataRecordExtensions:GetBinary,7,2,2
IDbBehavior:StartSqlDependencyListener,1,1,0
IDbBehavior:AddSqlDependency,1,1,2
IDbCommandExtensions:AddSqlDependency,8,2,4
IDbCommandExtensions:ExecuteNonQueryAsync,9,2,4
IDbProviderFactory:CreateConnection,1,1,0
IDbProviderFactory:CreateParameter,1,1,0
ObservableDbOperation:ObservableDbOperation,4,1,5
ObservableDbOperation:ObservableDbOperation,4,1,4
ObservableDbOperation:InitEvents,8,1,1
ObservableDbOperation:ExecuteReaderWithUpdates,86,12,3
ObservableDbOperation:Dispose,16,4,0
ObservableDbOperation:AddSqlDependency,3,1,3
ObservableDbOperation:SqlDependency_OnChange,44,8,2
ObservableDbOperation:StartSqlDependencyListener,29,5,0
ObservableDbOperation:Stop,17,4,1
ObservableDbOperation:StartSqlDependencyListener,3,1,0
ObservableDbOperation:AddSqlDependency,3,1,2
Resources:Resources,2,1,0
SqlInstaller:SqlInstaller,6,1,4
SqlInstaller:Install,15,2,0
SqlInstaller:IsSqlEditionSupported,5,1,1
SqlMessageBus:SqlMessageBus,2,1,2
SqlMessageBus:SqlMessageBus,11,2,3
SqlMessageBus:Send,3,1,2
SqlMessageBus:Dispose,6,2,1
SqlMessageBus:Initialize,29,4,4
SqlMessageBus:StartReceiving,11,1,2
DbOperation:DbOperation,2,1,3
DbOperation:DbOperation,6,1,4
DbOperation:DbOperation,5,2,4
DbOperation:ExecuteScalar,3,1,1
DbOperation:ExecuteNonQuery,3,1,1
DbOperation:ExecuteNonQueryAsync,5,1,1
DbOperation:ExecuteReader,3,1,1
DbOperation:ExecuteReader,14,1,3
DbOperation:CreateCommand,10,3,1
DbOperation:Execute,17,1,1
DbOperation:Execute,21,2,5
SqlPayload:ToBytes,7,2,1
SqlPayload:FromBytes,4,1,1
SqlReceiver:SqlReceiver,15,1,8
SqlReceiver:StartReceiving,5,1,0
SqlReceiver:Dispose,8,1,0
SqlReceiver:Receive,38,3,2
SqlReceiver:ProcessRecord,15,3,2
SqlSender:SqlSender,6,1,4
SqlSender:BuildInsertString,4,1,1
SqlSender:Send,11,2,1
SqlMessageBusException:SqlMessageBusException,2,1,1
SqlStream:SqlStream,16,1,11
SqlStream:StartReceiving,3,1,0
SqlStream:Send,4,1,1
SqlStream:Dispose,3,1,0
