Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,MongoDB.Driver.GridFS,GridFSDownloadByNameOptions,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSDownloadByNameOptions.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Revision' _revision
Unnecessary Abstraction,MongoDB.Driver.GridFS,GridFSDownloadOptions,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSDownloadOptions.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: CheckMD5' Seekable' _checkMD5' _seekable
Unutilized Abstraction,MongoDB.Driver.GridFS,GridFSDownloadStream<TFileId>,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSDownloadStream.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,MongoDB.Driver.GridFS,GridFSFindOptions<TFileId>,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSFindOptions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,MongoDB.Driver.GridFS,GridFSFindOptions,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSFindOptionsCompat.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Sort' _sort
Unutilized Abstraction,MongoDB.Driver.GridFS,GridFSForwardOnlyDownloadStream<TFileId>,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSForwardOnlyDownloadStream.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,MongoDB.Driver.GridFS,GridFSForwardOnlyDownloadStream<TFileId>,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSForwardOnlyDownloadStream.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  GridFSForwardOnlyDownloadStream<TFileId> (C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSForwardOnlyDownloadStream.cs' [107' 156])' GridFSSeekableDownloadStream<TFileId> (C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSSeekableDownloadStream.cs' [73' 122])
Unutilized Abstraction,MongoDB.Driver.GridFS,GridFSSeekableDownloadStream<TFileId>,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSSeekableDownloadStream.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,MongoDB.Driver.GridFS,GridFSUploadStream<TFileId>,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSUploadStream.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,MongoDB.Driver.GridFS,GridFSUploadStream<TFileId>,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSUploadStream.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  GridFSUploadStream<TFileId> (C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSUploadStream.cs' [1' 24])' IGridFSBucket (C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\IGridFSBucket.cs' [1' 24])
Unutilized Abstraction,MongoDB.Driver.GridFS,IGridFSBucketExtensions,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\IGridFSBucketExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,MongoDB.Driver.GridFS,IGridFSFileInfoSerializer,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\IGridFSFileInfoSerializer.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,MongoDB.Driver.GridFS,StreamExtensions,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\StreamExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Insufficient Modularization,MongoDB.Driver.GridFS,GridFSBucket<TFileId>,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSBucket.cs,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods
Insufficient Modularization,MongoDB.Driver.GridFS,GridFSBucket<TFileId>,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSBucket.cs,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 70 methods
Cyclically-dependent Modularization,MongoDB.Driver.GridFS,GridFSBucketOptions,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSBucketOptions.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MongoDB.Driver.GridFS.GridFSBucketOptions' MongoDB.Driver.GridFS.ImmutableGridFSBucketOptions
Cyclically-dependent Modularization,MongoDB.Driver.GridFS,ImmutableGridFSBucketOptions,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSBucketOptions.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MongoDB.Driver.GridFS.ImmutableGridFSBucketOptions' MongoDB.Driver.GridFS.GridFSBucketOptions
