Implementation smell,Namespace,Class,File,Method,Description
Long Method,CocosSharp,CCEventDispatcher,C:\research\architectureSmells\repos\mono_CocosSharp\src\Events\CCEventDispatcher.cs,DispatchTouchEvent,The method has 176 lines of code.
Long Method,CocosSharp,CCLabel,C:\research\architectureSmells\repos\mono_CocosSharp\src\Nodes\Labels\CCLabel-Windows.cs,CreateTextSprite,The method has 172 lines of code.
Long Method,CocosSharp,CCLabel,C:\research\architectureSmells\repos\mono_CocosSharp\src\Nodes\Labels\CCLabel-Windows.cs,LayoutLabel,The method has 168 lines of code.
Long Method,CocosSharp,CCDirector,C:\research\architectureSmells\repos\mono_CocosSharp\src\Nodes\Scenes\CCDirector.cs,DeserializeState,The method has 111 lines of code.
Long Method,CocosSharp,CCScheduler,C:\research\architectureSmells\repos\mono_CocosSharp\src\Events\CCScheduler.cs,Update,The method has 116 lines of code.
Long Method,CocosSharp,CCScheduler,C:\research\architectureSmells\repos\mono_CocosSharp\src\Events\CCScheduler.cs,Update,The method has 116 lines of code.
Long Method,CocosSharp,CCProgressTimer,C:\research\architectureSmells\repos\mono_CocosSharp\src\Nodes\Other\CCProgressTimer.cs,UpdateRadial,The method has 114 lines of code.
Long Method,CocosSharp,CCSpriteFrameCache,C:\research\architectureSmells\repos\mono_CocosSharp\src\Nodes\Sprites\CCSpriteFrameCache.cs,AddSpriteFrames,The method has 141 lines of code.
Long Method,CocosSharp,CCSpriteSheet,C:\research\architectureSmells\repos\mono_CocosSharp\src\Nodes\Sprites\CCSpriteSheet.cs,LoadCocos2DDictionary,The method has 115 lines of code.
Long Method,CocosSharp,CCTexture2D,C:\research\architectureSmells\repos\mono_CocosSharp\src\Textures\CCTexture2D.cs,InitWithString,The method has 129 lines of code.
Complex Method,CocosSharp,CCEventDispatcher,C:\research\architectureSmells\repos\mono_CocosSharp\src\Events\CCEventDispatcher.cs,RemoveEventListener,Cyclomatic complexity of the method is 10
Complex Method,CocosSharp,CCEventDispatcher,C:\research\architectureSmells\repos\mono_CocosSharp\src\Events\CCEventDispatcher.cs,DispatchTouchEvent,Cyclomatic complexity of the method is 8
Complex Method,CocosSharp,CCEventDispatcher,C:\research\architectureSmells\repos\mono_CocosSharp\src\Events\CCEventDispatcher.cs,VisitTarget,Cyclomatic complexity of the method is 12
Complex Method,CocosSharp,CCEventDispatcher,C:\research\architectureSmells\repos\mono_CocosSharp\src\Events\CCEventDispatcher.cs,UpdateListeners,Cyclomatic complexity of the method is 10
Complex Method,CocosSharp,CCEventDispatcher,C:\research\architectureSmells\repos\mono_CocosSharp\src\Events\CCEventDispatcher.cs,UpdateListeners,Cyclomatic complexity of the method is 8
Complex Method,CocosSharp,CCEventDispatcher,C:\research\architectureSmells\repos\mono_CocosSharp\src\Events\CCEventDispatcher.cs,DispatchEventToListeners,Cyclomatic complexity of the method is 13
Complex Method,CocosSharp,CCLabel,C:\research\architectureSmells\repos\mono_CocosSharp\src\Nodes\Labels\CCLabel-Windows.cs,CreateTextSprite,Cyclomatic complexity of the method is 11
Complex Method,CocosSharp,CCLabel,C:\research\architectureSmells\repos\mono_CocosSharp\src\Nodes\Labels\CCLabel-Windows.cs,LayoutLabel,Cyclomatic complexity of the method is 24
Complex Method,CocosSharp,CCTLTextLayout,C:\research\architectureSmells\repos\mono_CocosSharp\src\Nodes\Labels\CCTextLayout.cs,SuggestLineBreak,Cyclomatic complexity of the method is 10
Complex Method,CocosSharp,CCTLTextLayout,C:\research\architectureSmells\repos\mono_CocosSharp\src\Nodes\Labels\CCTextLayout.cs,SuggestLineBreak,Cyclomatic complexity of the method is 10
Complex Method,CocosSharp,CCTLTextLayout,C:\research\architectureSmells\repos\mono_CocosSharp\src\Nodes\Labels\CCTextLayout.cs,SuggestLineBreak,Cyclomatic complexity of the method is 10
Complex Method,CocosSharp,CCNodeGrid,C:\research\architectureSmells\repos\mono_CocosSharp\src\Nodes\Other\CCNodeGrid.cs,Visit,Cyclomatic complexity of the method is 8
Complex Method,CocosSharp,IMEKeyboardImpl,C:\research\architectureSmells\repos\mono_CocosSharp\src\Platform\Keyboard\Windows\IMEKeyboardImpl.cs,ConvertKey,Cyclomatic complexity of the method is 76
Complex Method,CocosSharp,CCMaskedSprite,C:\research\architectureSmells\repos\mono_CocosSharp\src\Nodes\Sprites\CCMaskedSprite.cs,CollidesWith,Cyclomatic complexity of the method is 10
