Design smell,Namespace,Class,File,Cause
Duplicate Abstraction,Microsoft.Internal.Web.Utils,CommonResources,C:\repos\mono_aspnetwebstack\src\CommonResources.Designer.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  CommonResources (C:\repos\mono_aspnetwebstack\src\CommonResources.Designer.cs' [51' 71])' RazorResources (C:\repos\mono_aspnetwebstack\src\System.Web.Razor\Resources\RazorResources.Designer.cs' [43' 63])
Unnecessary Abstraction,System.Web.Razor,DocumentParseCompleteEventArgs,C:\repos\mono_aspnetwebstack\src\System.Web.Razor\DocumentParseCompleteEventArgs.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: TreeStructureChanged' GeneratorResults' SourceChange
Unutilized Abstraction,System.Web.Razor,RazorEditorParser,C:\repos\mono_aspnetwebstack\src\System.Web.Razor\RazorEditorParser.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,System.Web.Razor,StateMachine<TReturn>,C:\repos\mono_aspnetwebstack\src\System.Web.Razor\StateMachine.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,System.Web.Razor.Parser.SyntaxTree,EquivalenceComparer,C:\repos\mono_aspnetwebstack\src\System.Web.Razor\Parser\SyntaxTree\EquivalenceComparer.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,System.Web.Razor.Parser.SyntaxTree,Block,C:\repos\mono_aspnetwebstack\src\System.Web.Razor\Parser\SyntaxTree\Block.cs,The tool detected the smell in this class because two or more abstractions have identical names. The abstractions with identical names are: System.Web.Razor.Parser.SyntaxTree.Block' System.Web.Razor.Parser.Block
Imperative Abstraction,System.Web.Razor.Editor,BackgroundThread,C:\repos\mono_aspnetwebstack\src\System.Web.Razor\Editor\BackgroundParser.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: Start
Unutilized Abstraction,System.Web.Razor.Generator,CodeWriterExtensions,C:\repos\mono_aspnetwebstack\src\System.Web.Razor\Generator\CodeWriterExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,System.Web.Razor.Generator,WriterMode,C:\repos\mono_aspnetwebstack\src\System.Web.Razor\Generator\CodeWriter.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,System.Web.Razor.Generator,CodeGenerationCompleteEventArgs,C:\repos\mono_aspnetwebstack\src\System.Web.Razor\Generator\CodeGenerationCompleteEventArgs.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Imperative Abstraction,System.Web.Razor.Parser,CSharpCodeParser,C:\repos\mono_aspnetwebstack\src\System.Web.Razor\Parser\CSharpCodeParser.Directives.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: ParseBlock
Duplicate Abstraction,System.Web.Razor.Parser,CSharpCodeParser,C:\repos\mono_aspnetwebstack\src\System.Web.Razor\Parser\CSharpCodeParser.Directives.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  CSharpCodeParser (C:\repos\mono_aspnetwebstack\src\System.Web.Razor\Parser\CSharpCodeParser.Directives.cs' [63' 82])' CSharpCodeParser (C:\repos\mono_aspnetwebstack\src\System.Web.Razor\Parser\CSharpCodeParser.Directives.cs' [460' 479])
Unutilized Abstraction,System.Web.Razor.Parser,HtmlLanguageCharacteristics,C:\repos\mono_aspnetwebstack\src\System.Web.Razor\Parser\HtmlLanguageCharacteristics.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,System.Web.Razor.Parser,LanguageCharacteristics<TTokenizer;TSymbol;TSymbolType>,C:\repos\mono_aspnetwebstack\src\System.Web.Razor\Parser\LanguageCharacteristics.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,System.Web.Razor.Parser,ParserVisitorExtensions,C:\repos\mono_aspnetwebstack\src\System.Web.Razor\Parser\ParserVisitorExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,System.Web.Razor.Parser,SyntaxConstants,C:\repos\mono_aspnetwebstack\src\System.Web.Razor\Parser\SyntaxConstants.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' TextTagName' TransitionCharacter' TransitionString' StartCommentSequence' EndCommentSequence
Unutilized Abstraction,System.Web.Razor.Parser,TextReaderExtensions,C:\repos\mono_aspnetwebstack\src\System.Web.Razor\Parser\TextReaderExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Imperative Abstraction,System.Web.Razor.Parser,TokenizerBackedParser<TTokenizer;TSymbol;TSymbolType>,C:\repos\mono_aspnetwebstack\src\System.Web.Razor\Parser\TokenizerBackedParser.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: BuildSpan
