Design smell,Namespace,Class,File,Cause
Duplicate Abstraction,Hyena.Data.Sqlite,ArrayDataReader,C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\ArrayDataReader.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  ArrayDataReader (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\ArrayDataReader.cs' [3' 39])' Connection (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\Sqlite.cs' [3' 39])
Duplicate Abstraction,Hyena.Data.Sqlite,ArrayDataReader,C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\ArrayDataReader.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  ArrayDataReader (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\ArrayDataReader.cs' [8' 29])' AbstractDatabaseColumn (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\DatabaseColumn.cs' [8' 29])' DatabaseColumnConstraints (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\DatabaseColumnAttribute.cs' [8' 29])' SqliteModelProvider<T> (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\SqliteModelProvider.cs' [8' 29])' CommandExecutedArgs (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\HyenaSqliteCommand.cs' [9' 30])' HyenaDataReader (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\HyenaSqliteConnection.cs' [9' 30])' SqliteModelCache<T> (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\SqliteModelCache.cs' [9' 30])' SqliteUtils (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\SqliteUtils.cs' [8' 29])' Connection (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\Sqlite.cs' [8' 29])
Duplicate Abstraction,Hyena.Data.Sqlite,ArrayDataReader,C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\ArrayDataReader.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  ArrayDataReader (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\ArrayDataReader.cs' [8' 28])' FunctionType (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\SqliteFunction.cs' [16' 36])' SqliteFunctionAttribute (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\SqliteFunctionAttribute.cs' [14' 34])' ICacheableDatabaseModel (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\ICacheableDatabaseModel.cs' [8' 28])' AbstractDatabaseColumn (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\DatabaseColumn.cs' [8' 28])' DatabaseColumnConstraints (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\DatabaseColumnAttribute.cs' [8' 28])' Connection (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\Sqlite.cs' [8' 28])' SqliteModelProvider<T> (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\SqliteModelProvider.cs' [8' 28])' CommandExecutedArgs (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\HyenaSqliteCommand.cs' [9' 29])' HyenaDataReader (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\HyenaSqliteConnection.cs' [9' 29])' SqliteModelCache<T> (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\SqliteModelCache.cs' [9' 29])' SqliteUtils (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\SqliteUtils.cs' [8' 28])
Duplicate Abstraction,Hyena.Data.Sqlite,AbstractDatabaseColumn,C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\DatabaseColumn.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  AbstractDatabaseColumn (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\DatabaseColumn.cs' [8' 31])' SqliteUtils (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\SqliteUtils.cs' [8' 31])
Duplicate Abstraction,Hyena.Data.Sqlite,AbstractDatabaseColumn,C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\DatabaseColumn.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  AbstractDatabaseColumn (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\DatabaseColumn.cs' [3' 26])' DatabaseColumnConstraints (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\DatabaseColumnAttribute.cs' [3' 26])' SqliteModelProvider<T> (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\SqliteModelProvider.cs' [3' 26])' SqliteUtils (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\SqliteUtils.cs' [3' 26])
Duplicate Abstraction,Hyena.Data.Sqlite,AbstractDatabaseColumn,C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\DatabaseColumn.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  AbstractDatabaseColumn (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\DatabaseColumn.cs' [6' 25])' DatabaseColumnConstraints (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\DatabaseColumnAttribute.cs' [6' 25])' SqliteModelProvider<T> (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\SqliteModelProvider.cs' [6' 25])' ICacheableDatabaseModel (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\ICacheableDatabaseModel.cs' [6' 25])' SqliteUtils (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\SqliteUtils.cs' [6' 25])
Duplicate Abstraction,Hyena.Data.Sqlite,AbstractDatabaseColumn,C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\DatabaseColumn.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  AbstractDatabaseColumn (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\DatabaseColumn.cs' [6' 26])' ICacheableDatabaseModel (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\ICacheableDatabaseModel.cs' [6' 26])' DatabaseColumnConstraints (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\DatabaseColumnAttribute.cs' [6' 26])' SqliteModelProvider<T> (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\SqliteModelProvider.cs' [6' 26])' SqliteUtils (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\SqliteUtils.cs' [6' 26])
Duplicate Abstraction,Hyena.Data.Sqlite,DatabaseColumnConstraints,C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\DatabaseColumnAttribute.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  DatabaseColumnConstraints (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\DatabaseColumnAttribute.cs' [8' 35])' SqliteModelProvider<T> (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\SqliteModelProvider.cs' [8' 35])
Duplicate Abstraction,Hyena.Data.Sqlite,DatabaseColumnConstraints,C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\DatabaseColumnAttribute.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  DatabaseColumnConstraints (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\DatabaseColumnAttribute.cs' [8' 30])' SqliteModelCache<T> (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\SqliteModelCache.cs' [9' 31])' SqliteModelProvider<T> (C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\SqliteModelProvider.cs' [8' 30])
Unutilized Abstraction,Hyena.Data.Sqlite,SqliteException,C:\repos\mono_f-spot\lib\Hyena\Hyena.Data.Sqlite\Hyena.Data.Sqlite\Sqlite.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
