Namespace,Type,Method,LOC,CC,PC
MonoDevelop.AspNetCore.Templating,AspNetCoreFileTemplateCondition,Load,4,2,1
MonoDevelop.AspNetCore.Templating,AspNetCoreFileTemplateCondition,ShouldEnableFor,14,4,2
MonoDevelop.AspNetCore.Templating,AspNetCoreFileTemplateCondition,ShouldEnableFor,3,1,3
MonoDevelop.AspNetCore,AspNetCoreProjectExtension,OnCreateRunConfiguration,29,4,1
MonoDevelop.AspNetCore,AspNetCoreProjectExtension,Aspnetconf_Save,4,2,2
MonoDevelop.AspNetCore,AspNetCoreProjectExtension,InitLaunchSettingsProvider,5,2,0
MonoDevelop.AspNetCore,AspNetCoreProjectExtension,SupportsObject,3,1,1
MonoDevelop.AspNetCore,AspNetCoreProjectExtension,IsSupportedFramework,3,1,1
MonoDevelop.AspNetCore,AspNetCoreProjectExtension,OnCreateExecutionCommand,7,2,4
MonoDevelop.AspNetCore,AspNetCoreProjectExtension,CreateAspNetCoreExecutionCommand,26,3,3
MonoDevelop.AspNetCore,AspNetCoreProjectExtension,OnExecute,16,5,4
MonoDevelop.AspNetCore,AspNetCoreProjectExtension,OnExecute,6,2,5
MonoDevelop.AspNetCore,AspNetCoreProjectExtension,OnGetExecutionTargets,22,5,3
MonoDevelop.AspNetCore,AspNetCoreProjectExtension,GetMultipleTargetFrameworkExecutionTargets,8,2,1
MonoDevelop.AspNetCore,AspNetCoreProjectExtension,CheckCertificateThenExecute,6,2,5
MonoDevelop.AspNetCore,AspNetCoreProjectExtension,OnGetDefaultBuildAction,7,2,1
MonoDevelop.AspNetCore,AspNetCoreProjectExtension,OnItemReady,12,1,0
MonoDevelop.AspNetCore,AspNetCoreProjectExtension,Dispose,9,2,0
MonoDevelop.AspNetCore,AspNetCoreProjectExtension,FileService_FileChanged,15,2,2
MonoDevelop.AspNetCore,AspNetCoreProjectExtension,OnRemoveRunConfiguration,8,3,1
MonoDevelop.AspNetCore,AspNetCoreProjectExtension,OnGetSupportedFeatures,3,1,0
MonoDevelop.AspNetCore,AspNetCoreRunConfiguration,AspNetCoreRunConfiguration,5,1,2
MonoDevelop.AspNetCore,AspNetCoreRunConfiguration,AspNetCoreRunConfiguration,2,1,1
MonoDevelop.AspNetCore,AspNetCoreRunConfiguration,AspNetCoreRunConfiguration,2,1,2
MonoDevelop.AspNetCore,AspNetCoreRunConfiguration,InitializeLaunchSettings,9,3,0
MonoDevelop.AspNetCore,AspNetCoreRunConfiguration,GetApplicationUrl,7,2,0
MonoDevelop.AspNetCore,AspNetCoreRunConfiguration,Read,21,6,1
MonoDevelop.AspNetCore,AspNetCoreRunConfiguration,LoadEnvVariables,6,2,0
MonoDevelop.AspNetCore,AspNetCoreRunConfiguration,Write,29,5,1
MonoDevelop.AspNetCore,AspNetCoreRunConfiguration,OnCopyFrom,21,4,2
MonoDevelop.AspNetCore,AspNetCoreRunConfiguration,UsingHttps,17,4,0
MonoDevelop.AspNetCore,AspNetCoreRunConfiguration,OnSaveRequested,0,1,0
MonoDevelop.AspNetCore,AspNetCoreRunConfiguration,UpdateProfile,6,2,1
MonoDevelop.AspNetCore,AspNetCoreExecutionCommand,AspNetCoreExecutionCommand,2,1,3
MonoDevelop.AspNetCore,AspNetCoreRunConfigurationEditor,AspNetCoreRunConfigurationEditor,3,1,0
MonoDevelop.AspNetCore,AspNetCoreRunConfigurationEditor,CreateControl,3,1,0
MonoDevelop.AspNetCore,AspNetCoreRunConfigurationEditor,Load,4,1,2
MonoDevelop.AspNetCore,AspNetCoreRunConfigurationEditor,Save,3,1,0
MonoDevelop.AspNetCore,AspNetCoreRunConfigurationEditor,Validate,3,1,0
MonoDevelop.AspNetCore,AspNetCoreRunConfigurationEditorWidget,AspNetCoreRunConfigurationEditorWidget,3,1,0
MonoDevelop.AspNetCore,AspNetCoreRunConfigurationEditorWidget,LoadCore,49,1,2
MonoDevelop.AspNetCore,AspNetCoreRunConfigurationEditorWidget,UpdateUI,4,1,0
MonoDevelop.AspNetCore,AspNetCoreRunConfigurationEditorWidget,IsValidUrl,12,4,1
MonoDevelop.AspNetCore,AspNetCoreRunConfigurationEditorWidget,SaveCore,9,2,0
MonoDevelop.AspNetCore,AspNetCoreRunConfigurationEditorWidget,ValidateCore,5,2,0
MonoDevelop.AspNetCore,AspNetCoreExecutionHandler,CanExecute,0,1,1
MonoDevelop.AspNetCore,AspNetCoreExecutionHandler,Execute,21,3,2
MonoDevelop.AspNetCore,AspNetCoreExecutionHandler,LaunchBrowserAsync,43,7,4
MonoDevelop.AspNetCore,AspNetCoreCertificateManager,CheckDevelopmentCertificateIsTrusted,7,2,2
MonoDevelop.AspNetCore,AspNetCoreCertificateManager,IsProjectSupported,10,2,2
MonoDevelop.AspNetCore,AspNetCoreCertificateManager,UsingHttps,4,1,1
MonoDevelop.AspNetCore,AspNetCoreCertificateManager,IsNetCoreSdk21OrHigherInstalled,0,1,0
MonoDevelop.AspNetCore,AspNetCoreCertificateManager,IsNetCoreSdk21OrHigher,0,1,1
MonoDevelop.AspNetCore,AspNetCoreCertificateManager,TrustDevelopmentCertificate,22,4,1
MonoDevelop.AspNetCore,AspNetCoreCertificateManager,ConfirmTrustCertificate,9,1,1
MonoDevelop.AspNetCore,AspNetCoreCertificateManager,CreateConfirmMessage,13,2,1
MonoDevelop.AspNetCore,DotNetCoreDevCertsTool,CreateProgressMonitor,8,1,0
MonoDevelop.AspNetCore,DotNetCoreDevCertsTool,CheckCertificate,16,2,1
MonoDevelop.AspNetCore,DotNetCoreDevCertsTool,RunDotNetCommand,15,1,2
MonoDevelop.AspNetCore,DotNetCoreDevCertsTool,TrustCertificate,28,1,1
MonoDevelop.AspNetCore,DotNetCoreDevCertsTool,GetInstallerPath,9,2,0
MonoDevelop.AspNetCore,ProjectExtensions,GetPublishProfiles,8,3,1
MonoDevelop.AspNetCore,ProjectExtensions,GetActiveConfiguration,3,1,1
MonoDevelop.AspNetCore,ProjectExtensions,GetActivePlatform,6,2,1
MonoDevelop.AspNetCore,ProjectExtensions,CreatePublishProfileFile,9,1,2
MonoDevelop.AspNetCore,ProjectExtensions,GetNextPubXmlFileName,11,2,1
MonoDevelop.AspNetCore,ProjectExtensions,GetPublishProfilesDirectory,0,1,1
MonoDevelop.AspNetCore,LaunchProfileData,IsKnownProfileProperty,3,1,1
MonoDevelop.AspNetCore,LaunchProfileData,DeserializeProfiles,65,11,1
MonoDevelop.AspNetCore,LaunchProfileData,ToSerializableForm,40,10,1
MonoDevelop.AspNetCore,LaunchProfileData,FromILaunchProfile,14,1,1
MonoDevelop.AspNetCore,LaunchProfile,LaunchProfile,2,1,0
MonoDevelop.AspNetCore,LaunchProfile,LaunchProfile,12,1,1
MonoDevelop.AspNetCore,LaunchProfile,LaunchProfile,12,1,1
MonoDevelop.AspNetCore,LaunchProfile,IsSameProfileName,3,1,2
MonoDevelop.AspNetCore,LaunchProfileDataExtensions,TryGetOtherSettings,6,2,2
MonoDevelop.AspNetCore,LaunchProfileDataExtensions,TryGetApplicationUrl,3,1,1
MonoDevelop.AspNetCore,LaunchProfileDataExtensions,GetFirstApplicationUrl,6,2,1
MonoDevelop.AspNetCore,LaunchProfileDataExtensions,ToSerializableForm,9,2,1
MonoDevelop.AspNetCore,LaunchProfileProvider,LaunchProfileProvider,7,1,1
