Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Microsoft.VisualStudio.SymReaderInterop,AsyncStepInfo,3,4,0,3,4,26,4,0,0,0.5,1,0,Roslyn.Utilities.Hash,
Microsoft.VisualStudio.SymReaderInterop,SymUnmanagedReaderExtensions,6,49,0,0,31,485,73,0,0,0.04,2,1,Microsoft.VisualStudio.SymReaderInterop.ISymENCUnmanagedMethod' Microsoft.VisualStudio.SymReaderInterop.ISymUnmanagedAsyncMethod,Microsoft.CodeAnalysis.ExpressionEvaluator.MetadataUtilities
Microsoft.VisualStudio.SymReaderInterop,CustomDebugInfoReader,0,25,0,0,15,723,76,0,0,-1,8,2,Microsoft.Cci.CustomDebugInfoConstants' Microsoft.VisualStudio.SymReaderInterop.CustomDebugInfoKind' Microsoft.VisualStudio.SymReaderInterop.CustomDebugInfoRecord' Microsoft.CodeAnalysis.Collections.PooledStringBuilder' Microsoft.VisualStudio.SymReaderInterop.DynamicLocalBucket' Microsoft.VisualStudio.SymReaderInterop.StateMachineHoistedLocalScope' Microsoft.VisualStudio.SymReaderInterop.ImportTargetKind' Microsoft.VisualStudio.SymReaderInterop.ImportScope,Microsoft.CodeAnalysis.CSharp.ExpressionEvaluator.CompilationContext' Microsoft.CodeAnalysis.CSharp.ExpressionEvaluator.EvaluationContext
Microsoft.VisualStudio.SymReaderInterop,CustomDebugInfoRecord,3,1,0,3,1,12,1,0,0,0,1,1,Microsoft.VisualStudio.SymReaderInterop.CustomDebugInfoKind,Microsoft.VisualStudio.SymReaderInterop.CustomDebugInfoReader
Microsoft.VisualStudio.SymReaderInterop,ImportTargetKind,0,0,0,0,0,39,0,0,0,-1,0,2,,Microsoft.VisualStudio.SymReaderInterop.CustomDebugInfoReader' Microsoft.CodeAnalysis.CSharp.ExpressionEvaluator.CompilationContext
Microsoft.VisualStudio.SymReaderInterop,ImportScope,0,0,0,0,0,6,0,0,0,-1,0,1,,Microsoft.VisualStudio.SymReaderInterop.CustomDebugInfoReader
Microsoft.VisualStudio.SymReaderInterop,StateMachineHoistedLocalScope,2,1,0,2,1,10,1,0,0,0,0,1,,Microsoft.VisualStudio.SymReaderInterop.CustomDebugInfoReader
Microsoft.VisualStudio.SymReaderInterop,DynamicLocalBucket,4,1,0,4,1,14,1,0,0,0,0,1,,Microsoft.VisualStudio.SymReaderInterop.CustomDebugInfoReader
Microsoft.VisualStudio.SymReaderInterop,CustomDebugInfoKind,0,0,0,0,0,11,0,0,0,-1,0,2,,Microsoft.VisualStudio.SymReaderInterop.CustomDebugInfoReader' Microsoft.VisualStudio.SymReaderInterop.CustomDebugInfoRecord
Microsoft.VisualStudio.SymReaderInterop,ISymUnmanagedAsyncMethod,0,6,0,0,0,22,6,0,0,-1,0,1,,Microsoft.VisualStudio.SymReaderInterop.SymUnmanagedReaderExtensions
Microsoft.VisualStudio.SymReaderInterop,ISymENCUnmanagedMethod,0,5,0,0,0,34,5,0,0,-1,0,1,,Microsoft.VisualStudio.SymReaderInterop.SymUnmanagedReaderExtensions
Microsoft.CodeAnalysis.ExpressionEvaluator,AssemblyReaders,2,1,0,2,1,10,1,0,0,0,0,0,,
