Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Roslyn.Diagnostics.Analyzers.ApiDesign,CancellationTokenMustBeLastAnalyzer,3,2,1,0,1,88,5,0,1,0,11,0,Microsoft.CodeAnalysis.LocalizableString' Microsoft.CodeAnalysis.DiagnosticDescriptor' Microsoft.CodeAnalysis.INamedTypeSymbol' Microsoft.CodeAnalysis.IMethodSymbol' Microsoft.CodeAnalysis.Diagnostics.AnalysisContext' Microsoft.CodeAnalysis.Compilation' Microsoft.CodeAnalysis.Diagnostics.CompilationStartAnalysisContext' Microsoft.CodeAnalysis.Diagnostics.SymbolAnalysisContext' Microsoft.CodeAnalysis.Diagnostic' Microsoft.CodeAnalysis.RefKind' Microsoft.CodeAnalysis.SymbolKind,
Roslyn.Diagnostics.Analyzers.ApiDesign,DeclarePublicAPIAnalyzer,6,7,1,0,1,214,18,0,1,0.43,23,2,Microsoft.CodeAnalysis.DiagnosticDescriptor' Microsoft.CodeAnalysis.SymbolDisplayFormat' Microsoft.CodeAnalysis.AdditionalText' Microsoft.CodeAnalysis.Text.SourceText' Microsoft.CodeAnalysis.ISymbol' Microsoft.CodeAnalysis.IMethodSymbol' Microsoft.CodeAnalysis.Location' Microsoft.CodeAnalysis.Text.LinePositionSpan' Microsoft.CodeAnalysis.Diagnostics.AnalysisContext' Microsoft.CodeAnalysis.Diagnostics.AnalyzerOptions' Microsoft.CodeAnalysis.Diagnostics.CompilationStartAnalysisContext' Microsoft.CodeAnalysis.Diagnostics.SymbolAnalysisContext' Microsoft.CodeAnalysis.Diagnostic' Microsoft.CodeAnalysis.SymbolKind' Microsoft.CodeAnalysis.Text.TextLineCollection' Microsoft.CodeAnalysis.Diagnostics.CompilationEndAnalysisContext' Microsoft.CodeAnalysis.ITypeSymbol' Microsoft.CodeAnalysis.IPropertySymbol' Microsoft.CodeAnalysis.IEventSymbol' Microsoft.CodeAnalysis.IFieldSymbol' Microsoft.CodeAnalysis.Text.TextLine' Microsoft.CodeAnalysis.Text.TextSpan' Microsoft.CodeAnalysis.Accessibility,Roslyn.Diagnostics.Analyzers.ApiDesign.DeclarePublicAPIFix' Roslyn.Diagnostics.Analyzers.ApiDesign.FixAllAdditionalDocumentChangeAction
Roslyn.Diagnostics.Analyzers.ApiDesign,DeclarePublicAPIFix,0,7,1,0,2,206,15,0,1,-1,13,0,Roslyn.Diagnostics.Analyzers.ApiDesign.PublicSurfaceAreaFixAllProvider' Microsoft.CodeAnalysis.Project' Microsoft.CodeAnalysis.TextDocument' Microsoft.CodeAnalysis.SyntaxNode' Microsoft.CodeAnalysis.SemanticModel' Microsoft.CodeAnalysis.ISymbol' Microsoft.CodeAnalysis.Document' Microsoft.CodeAnalysis.CodeFixes.CodeFixContext' Roslyn.Diagnostics.Analyzers.ApiDesign.DeclarePublicAPIAnalyzer' Microsoft.CodeAnalysis.Text.SourceText' Microsoft.CodeAnalysis.Solution' Microsoft.CodeAnalysis.Text.TextLine' Microsoft.CodeAnalysis.Location,
Roslyn.Diagnostics.Analyzers.ApiDesign,AdditionalDocumentChangeAction,1,2,1,0,1,14,2,0,1,0,0,0,,
Roslyn.Diagnostics.Analyzers.ApiDesign,FixAllAdditionalDocumentChangeAction,2,2,1,0,1,63,10,0,1,0,9,1,Microsoft.CodeAnalysis.Solution' Microsoft.CodeAnalysis.Project' Microsoft.CodeAnalysis.TextDocument' Microsoft.CodeAnalysis.Text.SourceText' Microsoft.CodeAnalysis.Document' Microsoft.CodeAnalysis.SyntaxNode' Microsoft.CodeAnalysis.SemanticModel' Microsoft.CodeAnalysis.ISymbol' Roslyn.Diagnostics.Analyzers.ApiDesign.DeclarePublicAPIAnalyzer,Roslyn.Diagnostics.Analyzers.ApiDesign.PublicSurfaceAreaFixAllProvider
Roslyn.Diagnostics.Analyzers.ApiDesign,PublicSurfaceAreaFixAllProvider,0,1,0,0,1,42,2,0,1,-1,6,1,Microsoft.CodeAnalysis.Project' Microsoft.CodeAnalysis.CodeFixes.FixAllContext' Microsoft.CodeAnalysis.CodeFixes.FixAllScope' Microsoft.CodeAnalysis.Document' Microsoft.CodeAnalysis.Solution' Roslyn.Diagnostics.Analyzers.ApiDesign.FixAllAdditionalDocumentChangeAction,Roslyn.Diagnostics.Analyzers.ApiDesign.DeclarePublicAPIFix
Microsoft.CodeAnalysis,CodeFixProviderBase,0,3,0,0,1,31,5,1,1,-1,4,0,Microsoft.CodeAnalysis.Document' Microsoft.CodeAnalysis.SemanticModel' Microsoft.CodeAnalysis.SyntaxNode' Microsoft.CodeAnalysis.CodeFixes.CodeFixContext,
Microsoft.CodeAnalysis,MyCodeAction,0,1,0,0,1,7,1,0,1,-1,1,0,Microsoft.CodeAnalysis.Document,
Microsoft.CodeAnalysis,DocumentChangeAction,3,2,2,0,1,24,2,3,1,0,0,0,,
Roslyn.Diagnostics.Analyzers.Documentation,DoNotUseVerbatimCrefsAnalyzer,4,1,1,0,0,35,3,1,1,0,8,0,Microsoft.CodeAnalysis.LocalizableString' Microsoft.CodeAnalysis.DiagnosticDescriptor' Microsoft.CodeAnalysis.SyntaxToken' Microsoft.CodeAnalysis.Location' Microsoft.CodeAnalysis.SyntaxTokenList' Microsoft.CodeAnalysis.Text.TextSpan' Microsoft.CodeAnalysis.Diagnostics.SyntaxNodeAnalysisContext' Microsoft.CodeAnalysis.Diagnostic,
Roslyn.Diagnostics.Analyzers,ISymbolExtensions,0,2,0,0,2,24,4,0,0,-1,5,0,Microsoft.CodeAnalysis.ISymbol' Microsoft.CodeAnalysis.SymbolKind' Microsoft.CodeAnalysis.IMethodSymbol' Microsoft.CodeAnalysis.IPropertySymbol' Microsoft.CodeAnalysis.ITypeSymbol,
Roslyn.Diagnostics.Analyzers,CodeActionCreateAnalyzer<TLanguageKindEnum>,5,3,1,0,1,74,5,0,1,1,8,0,Microsoft.CodeAnalysis.LocalizableString' Microsoft.CodeAnalysis.DiagnosticDescriptor' Microsoft.CodeAnalysis.Diagnostics.AnalysisContext' Microsoft.CodeAnalysis.INamedTypeSymbol' Microsoft.CodeAnalysis.Diagnostics.CompilationStartAnalysisContext' Microsoft.CodeAnalysis.Compilation' Roslyn.Diagnostics.Analyzers.AbstractCodeBlockStartedAnalyzer' Microsoft.CodeAnalysis.IMethodSymbol,
Roslyn.Diagnostics.Analyzers,AbstractCodeBlockStartedAnalyzer,1,3,0,0,2,13,3,1,0,0,0,1,,Roslyn.Diagnostics.Analyzers.CodeActionCreateAnalyzer<TLanguageKindEnum>
Roslyn.Diagnostics.Analyzers,AbstractSyntaxAnalyzer,3,7,1,0,2,63,10,1,0,0.43,9,0,Microsoft.CodeAnalysis.INamedTypeSymbol' Microsoft.CodeAnalysis.IMethodSymbol' Microsoft.CodeAnalysis.SymbolInfo' Microsoft.CodeAnalysis.SemanticModel' Microsoft.CodeAnalysis.SyntaxNode' Microsoft.CodeAnalysis.Diagnostic' Microsoft.CodeAnalysis.TypeInfo' Microsoft.CodeAnalysis.IArrayTypeSymbol' Microsoft.CodeAnalysis.ITypeSymbol,
Roslyn.Diagnostics.Analyzers,UnusedDeclarationsAnalyzer<TLanguageKindEnum>,5,2,3,0,1,156,2,0,1,1,7,0,Microsoft.CodeAnalysis.LocalizableString' Microsoft.CodeAnalysis.DiagnosticDescriptor' Microsoft.CodeAnalysis.SyntaxNode' Roslyn.Diagnostics.Analyzers.UnusedDeclarationsTracker' Microsoft.CodeAnalysis.Diagnostics.AnalysisContext' Microsoft.CodeAnalysis.Diagnostics.CompilationStartAnalysisContext' Microsoft.CodeAnalysis.SymbolKind,
Roslyn.Diagnostics.Analyzers,UnusedDeclarationsTracker,2,8,0,0,5,124,26,0,0,0,14,1,Microsoft.CodeAnalysis.SymbolInfo' Microsoft.CodeAnalysis.Diagnostics.SyntaxNodeAnalysisContext' Microsoft.CodeAnalysis.SemanticModel' Microsoft.CodeAnalysis.ISymbol' Microsoft.CodeAnalysis.INamedTypeSymbol' Microsoft.CodeAnalysis.IMethodSymbol' Microsoft.CodeAnalysis.IPropertySymbol' Microsoft.CodeAnalysis.Diagnostics.SymbolAnalysisContext' Microsoft.CodeAnalysis.Accessibility' Microsoft.CodeAnalysis.Diagnostics.CompilationEndAnalysisContext' Microsoft.CodeAnalysis.Diagnostic' Microsoft.CodeAnalysis.Location' Microsoft.CodeAnalysis.ILocalSymbol' Microsoft.CodeAnalysis.SymbolKind,Roslyn.Diagnostics.Analyzers.UnusedDeclarationsAnalyzer<TLanguageKindEnum>
Roslyn.Diagnostics.Analyzers,UnusedDeclarationsCodeFixProvider,1,2,1,0,2,31,2,0,1,1,7,0,Microsoft.CodeAnalysis.CodeFixes.WellKnownFixAllProviders' Microsoft.CodeAnalysis.CodeFixes.FixAllProvider' Microsoft.CodeAnalysis.Document' Microsoft.CodeAnalysis.Text.SourceText' Microsoft.CodeAnalysis.CodeFixes.CodeFixContext' Roslyn.Diagnostics.Analyzers.RoslynDiagnosticsResources' Roslyn.Diagnostics.Analyzers.RoslynDiagnosticIds,
Roslyn.Diagnostics.Analyzers,MyCodeAction,0,1,0,0,1,7,1,0,2,-1,0,0,,
