Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,Microsoft.CodeAnalysis.UnitTests,Extension,C:\research\architectureSmells\repos\mono_roslyn\src\Workspaces\CoreTest\ExtensionOrdererTests.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,Microsoft.CodeAnalysis.UnitTests,AsyncLazyTests,C:\research\architectureSmells\repos\mono_roslyn\src\Workspaces\CoreTest\UtilityTest\AsyncLazyTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,Microsoft.CodeAnalysis.UnitTests,AsyncLazyTests,C:\research\architectureSmells\repos\mono_roslyn\src\Workspaces\CoreTest\UtilityTest\AsyncLazyTests.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  AsyncLazyTests (C:\research\architectureSmells\repos\mono_roslyn\src\Workspaces\CoreTest\UtilityTest\AsyncLazyTests.cs' [131' 150])' AsyncLazyTests (C:\research\architectureSmells\repos\mono_roslyn\src\Workspaces\CoreTest\UtilityTest\AsyncLazyTests.cs' [165' 184])
Unutilized Abstraction,Microsoft.CodeAnalysis.UnitTests,DocumentationCommentTests,C:\research\architectureSmells\repos\mono_roslyn\src\Workspaces\CoreTest\UtilityTest\DocumentationCommentTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Microsoft.CodeAnalysis.UnitTests,EditDistanceTests,C:\research\architectureSmells\repos\mono_roslyn\src\Workspaces\CoreTest\UtilityTest\EditDistanceTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,Microsoft.CodeAnalysis.UnitTests,FindAllDeclarationsTests,C:\research\architectureSmells\repos\mono_roslyn\src\Workspaces\CoreTest\FindAllDeclarationsTests.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  FindAllDeclarationsTests (C:\research\architectureSmells\repos\mono_roslyn\src\Workspaces\CoreTest\FindAllDeclarationsTests.cs' [19' 84])' FindAllDeclarationsTests (C:\research\architectureSmells\repos\mono_roslyn\src\Workspaces\CoreTest\FindAllDeclarationsTests.cs' [155' 220])
Duplicate Abstraction,Microsoft.CodeAnalysis.UnitTests,FindAllDeclarationsTests,C:\research\architectureSmells\repos\mono_roslyn\src\Workspaces\CoreTest\FindAllDeclarationsTests.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  FindAllDeclarationsTests (C:\research\architectureSmells\repos\mono_roslyn\src\Workspaces\CoreTest\FindAllDeclarationsTests.cs' [19' 50])' FindAllDeclarationsTests (C:\research\architectureSmells\repos\mono_roslyn\src\Workspaces\CoreTest\FindAllDeclarationsTests.cs' [270' 301])' FindAllDeclarationsTests (C:\research\architectureSmells\repos\mono_roslyn\src\Workspaces\CoreTest\FindAllDeclarationsTests.cs' [155' 186])
Unutilized Abstraction,Microsoft.CodeAnalysis.UnitTests,GeneratedCodeRecognitionTests,C:\research\architectureSmells\repos\mono_roslyn\src\Workspaces\CoreTest\GeneratedCodeRecognitionTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,Microsoft.CodeAnalysis.UnitTests,MSBuildWorkspaceTests,C:\research\architectureSmells\repos\mono_roslyn\src\Workspaces\CoreTest\WorkspaceTests\MSBuildWorkspaceTests.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  MSBuildWorkspaceTests (C:\research\architectureSmells\repos\mono_roslyn\src\Workspaces\CoreTest\WorkspaceTests\MSBuildWorkspaceTests.cs' [1682' 1701])' MSBuildWorkspaceTests (C:\research\architectureSmells\repos\mono_roslyn\src\Workspaces\CoreTest\WorkspaceTests\MSBuildWorkspaceTests.cs' [1714' 1733])
Unutilized Abstraction,Microsoft.CodeAnalysis.UnitTests,ProjectInfoTests,C:\research\architectureSmells\repos\mono_roslyn\src\Workspaces\CoreTest\SolutionTests\ProjectInfoTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
