Namespace,Type,Method,LOC,CC,PC
NuGet.PowerShell.Commands,AddBindingRedirectCommand,AddBindingRedirectCommand,2,1,0
NuGet.PowerShell.Commands,AddBindingRedirectCommand,AddBindingRedirectCommand,3,1,2
NuGet.PowerShell.Commands,AddBindingRedirectCommand,ProcessRecordCore,45,5,0
NuGet.PowerShell.Commands,FindPackageCommand,FindPackageCommand,2,1,0
NuGet.PowerShell.Commands,FindPackageCommand,FindPackageCommand,3,1,6
NuGet.PowerShell.Commands,FindPackageCommand,ProcessRecordCore,6,1,0
NuGet.PowerShell.Commands,FindPackageCommand,GetPackages,18,3,1
NuGet.PowerShell.Commands,FindPackageCommand,GetPackagesForUpdate,14,2,1
NuGet.PowerShell.Commands,FindPackageCommand,Log,3,1,2
NuGet.PowerShell.Commands,GetPackageCommand,GetPackageCommand,2,1,0
NuGet.PowerShell.Commands,GetPackageCommand,GetPackageCommand,20,4,7
NuGet.PowerShell.Commands,GetPackageCommand,GetProjectManager,11,2,1
NuGet.PowerShell.Commands,GetPackageCommand,ProcessRecordCore,36,5,0
NuGet.PowerShell.Commands,GetPackageCommand,FilterPackages,49,7,2
NuGet.PowerShell.Commands,GetPackageCommand,GetRemoteRepository,29,5,0
NuGet.PowerShell.Commands,GetPackageCommand,GetPackages,20,3,1
NuGet.PowerShell.Commands,GetPackageCommand,GetPackagesForUpdate,11,2,1
NuGet.PowerShell.Commands,GetPackageCommand,WritePackages,36,8,1
NuGet.PowerShell.Commands,GetPackageCommand,EndProcessing,5,1,0
NuGet.PowerShell.Commands,GetPackageCommand,CheckForNuGetUpdate,6,2,0
NuGet.PowerShell.Commands,GetProjectCommand,GetProjectCommand,2,1,0
NuGet.PowerShell.Commands,GetProjectCommand,GetProjectCommand,3,1,2
NuGet.PowerShell.Commands,GetProjectCommand,ProcessRecordCore,28,5,0
NuGet.PowerShell.Commands,IErrorHandler,HandleError,0,1,2
NuGet.PowerShell.Commands,IErrorHandler,HandleException,0,1,5
NuGet.PowerShell.Commands,IErrorHandler,WriteProjectNotFoundError,0,1,2
NuGet.PowerShell.Commands,IErrorHandler,ThrowSolutionNotOpenTerminatingError,0,1,0
NuGet.PowerShell.Commands,IErrorHandler,ThrowNoCompatibleProjectsTerminatingError,0,1,0
NuGet.PowerShell.Commands,InstallPackageCommand,InstallPackageCommand,2,1,0
NuGet.PowerShell.Commands,InstallPackageCommand,InstallPackageCommand,5,1,7
NuGet.PowerShell.Commands,InstallPackageCommand,CreatePackageManager,14,3,0
NuGet.PowerShell.Commands,InstallPackageCommand,ProcessRecordCore,21,3,0
NuGet.PowerShell.Commands,InstallPackageCommand,EndProcessing,5,1,0
NuGet.PowerShell.Commands,InstallPackageCommand,CheckForNuGetUpdate,6,2,0
NuGet.PowerShell.Commands,NewPackageCommand,NewPackageCommand,2,1,0
NuGet.PowerShell.Commands,NewPackageCommand,NewPackageCommand,2,1,3
NuGet.PowerShell.Commands,NewPackageCommand,ProcessRecordCore,42,5,0
NuGet.PowerShell.Commands,NewPackageCommand,GetSpecFilePath,36,2,1
NuGet.PowerShell.Commands,NewPackageCommand,GetTargetFilePath,21,2,2
NuGet.PowerShell.Commands,NewPackageCommand,GetPackageFilePath,15,3,4
NuGet.PowerShell.Commands,NewPackageCommand,RemoveExludedFiles,4,1,1
NuGet.PowerShell.Commands,NewPackageCommand,FindSpecFile,29,5,2
NuGet.PowerShell.Commands,NuGetBaseCommand,NuGetBaseCommand,5,1,3
NuGet.PowerShell.Commands,NuGetBaseCommand,ProcessRecord,11,1,0
NuGet.PowerShell.Commands,NuGetBaseCommand,ProcessRecordCore,0,1,0
NuGet.PowerShell.Commands,NuGetBaseCommand,Log,4,1,3
NuGet.PowerShell.Commands,NuGetBaseCommand,Execute,5,1,0
NuGet.PowerShell.Commands,NuGetBaseCommand,BeginProcessing,6,2,0
NuGet.PowerShell.Commands,NuGetBaseCommand,EndProcessing,6,2,0
NuGet.PowerShell.Commands,NuGetBaseCommand,SubscribeToProgressEvents,6,2,0
NuGet.PowerShell.Commands,NuGetBaseCommand,UnsubscribeFromProgressEvents,6,2,0
NuGet.PowerShell.Commands,NuGetBaseCommand,Log,20,4,2
NuGet.PowerShell.Commands,NuGetBaseCommand,CreatePackageManager,8,2,0
NuGet.PowerShell.Commands,NuGetBaseCommand,GetProjectsByName,34,5,1
NuGet.PowerShell.Commands,NuGetBaseCommand,GetAllValidProjectNames,5,1,0
NuGet.PowerShell.Commands,NuGetBaseCommand,TryTranslatePSPath,3,1,4
NuGet.PowerShell.Commands,NuGetBaseCommand,CreateRepositoryFromSource,51,6,3
NuGet.PowerShell.Commands,NuGetBaseCommand,WriteError,6,2,1
NuGet.PowerShell.Commands,NuGetBaseCommand,WriteError,3,1,1
NuGet.PowerShell.Commands,NuGetBaseCommand,WriteProjectNotFoundError,15,1,2
NuGet.PowerShell.Commands,NuGetBaseCommand,ThrowSolutionNotOpenTerminatingError,7,1,0
NuGet.PowerShell.Commands,NuGetBaseCommand,ThrowNoCompatibleProjectsTerminatingError,7,1,0
NuGet.PowerShell.Commands,NuGetBaseCommand,HandleError,10,2,2
NuGet.PowerShell.Commands,NuGetBaseCommand,HandleException,8,1,5
NuGet.PowerShell.Commands,NuGetBaseCommand,WriteLine,16,3,1
NuGet.PowerShell.Commands,NuGetBaseCommand,WriteProgress,25,3,3
NuGet.PowerShell.Commands,NuGetBaseCommand,OnProgressAvailable,3,1,2
NuGet.PowerShell.Commands,NuGetBaseCommand,OnSendingRequest,3,1,2
NuGet.PowerShell.Commands,ProgressRecordCollection,GetKeyForItem,3,1,1
NuGet.PowerShell.Commands,OpenPackagePageCommand,OpenPackagePageCommand,2,1,0
