Namespace,Type,Method,LOC,CC,PC
Mosa.Platform.x64,Architecture,Architecture,3,1,1
Mosa.Platform.x64,Architecture,CreateArchitecture,3,1,1
Mosa.Platform.x64,Architecture,ExtendCompilerPipeline,11,2,2
Mosa.Platform.x64,Architecture,ExtendMethodCompilerPipeline,29,1,2
Mosa.Platform.x64,Architecture,InsertMoveInstruction,12,3,3
Mosa.Platform.x64,Architecture,InsertStoreInstruction,12,3,4
Mosa.Platform.x64,Architecture,InsertLoadInstruction,12,3,4
Mosa.Platform.x64,Architecture,InsertExchangeInstruction,16,3,3
Mosa.Platform.x64,Architecture,InsertJumpInstruction,3,1,2
Mosa.Platform.x64,Architecture,IsInstructionMove,3,1,1
Mosa.Platform.x64,X64Instruction,X64Instruction,2,1,2
Mosa.Platform.x64,X64Instruction,GetConditionCode,26,21,1
Mosa.Platform.x64.CompilerStages,MultibootV1Stage,CreateMultibootMethod,30,1,0
Mosa.Platform.x64.Instructions,Adc32,Adc32,2,1,0
Mosa.Platform.x64.Instructions,Adc32,Emit,37,3,2
Mosa.Platform.x64.Instructions,Adc64,Adc64,2,1,0
Mosa.Platform.x64.Instructions,Adc64,Emit,37,3,2
Mosa.Platform.x64.Instructions,Add32,Add32,2,1,0
Mosa.Platform.x64.Instructions,Add32,Emit,37,3,2
Mosa.Platform.x64.Instructions,Add64,Add64,2,1,0
Mosa.Platform.x64.Instructions,Add64,Emit,37,3,2
Mosa.Platform.x64.Instructions,Addsd,Addsd,2,1,0
Mosa.Platform.x64.Instructions,Addsd,Emit,19,1,2
Mosa.Platform.x64.Instructions,Addss,Addss,2,1,0
Mosa.Platform.x64.Instructions,Addss,Emit,19,1,2
Mosa.Platform.x64.Instructions,And32,And32,2,1,0
Mosa.Platform.x64.Instructions,And32,Emit,37,3,2
Mosa.Platform.x64.Instructions,And64,And64,2,1,0
Mosa.Platform.x64.Instructions,And64,Emit,37,3,2
Mosa.Platform.x64.Instructions,BochsDebug,BochsDebug,2,1,0
Mosa.Platform.x64.Instructions,BochsDebug,Emit,7,1,2
Mosa.Platform.x64.Instructions,Branch,Branch,2,1,0
Mosa.Platform.x64.Instructions,Branch,Emit,8,1,2
Mosa.Platform.x64.Instructions,Break,Break,2,1,0
Mosa.Platform.x64.Instructions,Break,Emit,5,1,2
Mosa.Platform.x64.Instructions,Bt32,Bt32,2,1,0
Mosa.Platform.x64.Instructions,Bt32,Emit,36,3,2
Mosa.Platform.x64.Instructions,Bt64,Bt64,2,1,0
Mosa.Platform.x64.Instructions,Bt64,Emit,36,3,2
Mosa.Platform.x64.Instructions,Btr32,Btr32,2,1,0
Mosa.Platform.x64.Instructions,Btr32,Emit,39,3,2
Mosa.Platform.x64.Instructions,Btr64,Btr64,2,1,0
Mosa.Platform.x64.Instructions,Btr64,Emit,39,3,2
Mosa.Platform.x64.Instructions,Bts32,Bts32,2,1,0
Mosa.Platform.x64.Instructions,Bts32,Emit,39,3,2
Mosa.Platform.x64.Instructions,Bts64,Bts64,2,1,0
Mosa.Platform.x64.Instructions,Bts64,Emit,39,3,2
Mosa.Platform.x64.Instructions,Call,Call,2,1,0
Mosa.Platform.x64.Instructions,Call,Emit,25,3,2
Mosa.Platform.x64.Instructions,Cdq32,Cdq32,2,1,0
Mosa.Platform.x64.Instructions,Cdq32,Emit,5,1,2
Mosa.Platform.x64.Instructions,Cdq64,Cdq64,2,1,0
Mosa.Platform.x64.Instructions,Cdq64,Emit,11,1,2
Mosa.Platform.x64.Instructions,Cli,Cli,2,1,0
Mosa.Platform.x64.Instructions,Cli,Emit,5,1,2
Mosa.Platform.x64.Instructions,CMov32,CMov32,2,1,0
Mosa.Platform.x64.Instructions,CMov32,Emit,16,1,2
Mosa.Platform.x64.Instructions,CMov64,CMov64,2,1,0
Mosa.Platform.x64.Instructions,CMov64,Emit,16,1,2
Mosa.Platform.x64.Instructions,Cmp32,Cmp32,2,1,0
Mosa.Platform.x64.Instructions,Cmp32,Emit,34,3,2
Mosa.Platform.x64.Instructions,Cmp64,Cmp64,2,1,0
Mosa.Platform.x64.Instructions,Cmp64,Emit,34,3,2
Mosa.Platform.x64.Instructions,CmpXChgLoad32,CmpXChgLoad32,2,1,0
Mosa.Platform.x64.Instructions,CmpXChgLoad32,Emit,20,2,2
Mosa.Platform.x64.Instructions,CmpXChgLoad64,CmpXChgLoad64,2,1,0
Mosa.Platform.x64.Instructions,CmpXChgLoad64,Emit,20,2,2
Mosa.Platform.x64.Instructions,Comisd,Comisd,2,1,0
Mosa.Platform.x64.Instructions,Comisd,Emit,19,1,2
