Implementation smell,Namespace,Class,File,Method,Description
Long Method,Mosa.Utility.BootImage,Generator,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Generator.cs,Create,The method has 148 lines of code.
Complex Method,Mosa.Utility.BootImage,Generator,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Generator.cs,Create,Cyclomatic complexity of the method is 23
Complex Method,Mosa.Utility.BootImage,Syslinux,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Syslinux.cs,PatchSyslinux_6_03,Cyclomatic complexity of the method is 9
Complex Method,Mosa.Utility.BootImage,Syslinux,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Syslinux.cs,PatchSyslinux_3_72,Cyclomatic complexity of the method is 8
Long Statement,Mosa.Utility.BootImage,Generator,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Generator.cs,Create,The length of the statement  "				string newname = (Path.GetFileNameWithoutExtension(includeFile.Filename).PadRight(8).Substring(0' 8) + Path.GetExtension(includeFile.Filename).PadRight(4).Substring(1' 3)).ToUpper(); " is 182.
Long Statement,Mosa.Utility.BootImage,Syslinux,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Syslinux.cs,PatchSyslinux_6_03,The length of the statement  "			string name = (Path.GetFileNameWithoutExtension(filename) + Path.GetExtension(filename).PadRight(4).Substring(0' 4)).ToUpper(); " is 127.
Long Statement,Mosa.Utility.BootImage,Syslinux,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Syslinux.cs,PatchSyslinux_6_03,The length of the statement  "			fatBootSector.SetUInt(sect1Ptr1' 0);   // since only 32-bit offsets are support' the high portion of 64-bit value is zero " is 121.
Long Statement,Mosa.Utility.BootImage,Syslinux,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Syslinux.cs,PatchSyslinux_3_72,The length of the statement  "			string name = (Path.GetFileNameWithoutExtension(filename) + Path.GetExtension(filename).PadRight(4).Substring(0' 4)).ToUpper(); " is 127.
Long Statement,Mosa.Utility.BootImage,Syslinux,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Syslinux.cs,PatchSyslinux_3_72,The length of the statement  "				for (patchArea = 0; (firstCluster.GetUInt(patchArea) != 0x3EB202FE) && (patchArea < fat.ClusterSizeInBytes); patchArea += 4) ; " is 126.
Long Statement,Mosa.Utility.BootImage,Syslinux,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Syslinux.cs,PatchSyslinux_3_72,The length of the statement  "						uint value = (uint)file.ReadByte() | ((uint)file.ReadByte() << 8) | ((uint)file.ReadByte() << 16) | ((uint)file.ReadByte() << 24); " is 130.
Magic Number,Mosa.Utility.BootImage,BlockFileStreamDriver,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\BlockFileStreamDriver.cs,ReadBlock,The following statement contains a magic number: var data = new byte[count * 512];
Magic Number,Mosa.Utility.BootImage,BlockFileStreamDriver,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\BlockFileStreamDriver.cs,ReadBlock,The following statement contains a magic number: diskFile.Seek((block + BlockOffset) * 512' SeekOrigin.Begin);
Magic Number,Mosa.Utility.BootImage,BlockFileStreamDriver,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\BlockFileStreamDriver.cs,ReadBlock,The following statement contains a magic number: diskFile.Read(data' 0' (int)(count * 512));
Magic Number,Mosa.Utility.BootImage,BlockFileStreamDriver,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\BlockFileStreamDriver.cs,WriteBlock,The following statement contains a magic number: diskFile.Seek((block + BlockOffset) * 512' SeekOrigin.Begin);
Magic Number,Mosa.Utility.BootImage,BlockFileStreamDriver,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\BlockFileStreamDriver.cs,WriteBlock,The following statement contains a magic number: diskFile.Write(data' 0' (int)(count * 512));
Magic Number,Mosa.Utility.BootImage,Generator,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Generator.cs,Create,The following statement contains a magic number: blockCount = 8400 + 1;
Magic Number,Mosa.Utility.BootImage,Generator,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Generator.cs,Create,The following statement contains a magic number: diskDeviceDriver.BlockOffset = 1 + (uint)(map.Length / 512);
Magic Number,Mosa.Utility.BootImage,Generator,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Generator.cs,Create,The following statement contains a magic number: fatSettings.SerialID = new byte[4] { 0x01' 0x02' 0x03' 0x04 };
Magic Number,Mosa.Utility.BootImage,Generator,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Generator.cs,Create,The following statement contains a magic number: string newname = (Path.GetFileNameWithoutExtension(includeFile.Filename).PadRight(8).Substring(0' 8) + Path.GetExtension(includeFile.Filename).PadRight(4).Substring(1' 3)).ToUpper();
Magic Number,Mosa.Utility.BootImage,Generator,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Generator.cs,Create,The following statement contains a magic number: string newname = (Path.GetFileNameWithoutExtension(includeFile.Filename).PadRight(8).Substring(0' 8) + Path.GetExtension(includeFile.Filename).PadRight(4).Substring(1' 3)).ToUpper();
Magic Number,Mosa.Utility.BootImage,Generator,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Generator.cs,Create,The following statement contains a magic number: string newname = (Path.GetFileNameWithoutExtension(includeFile.Filename).PadRight(8).Substring(0' 8) + Path.GetExtension(includeFile.Filename).PadRight(4).Substring(1' 3)).ToUpper();
Magic Number,Mosa.Utility.BootImage,Generator,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Generator.cs,Create,The following statement contains a magic number: string newname = (Path.GetFileNameWithoutExtension(includeFile.Filename).PadRight(8).Substring(0' 8) + Path.GetExtension(includeFile.Filename).PadRight(4).Substring(1' 3)).ToUpper();
Magic Number,Mosa.Utility.BootImage,Generator,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Generator.cs,Create,The following statement contains a magic number: var footer = VHD.CreateFooter(  					blockCount'  					(uint)(DateTime.Now - (new DateTime(2000' 1' 1' 0' 0' 0))).Seconds'  					options.MediaGuid.ToByteArray()'  					diskGeometry  				);
Magic Number,Mosa.Utility.BootImage,Syslinux,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Syslinux.cs,PatchSyslinux_6_03,The following statement contains a magic number: string name = (Path.GetFileNameWithoutExtension(filename) + Path.GetExtension(filename).PadRight(4).Substring(0' 4)).ToUpper();
Magic Number,Mosa.Utility.BootImage,Syslinux,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Syslinux.cs,PatchSyslinux_6_03,The following statement contains a magic number: string name = (Path.GetFileNameWithoutExtension(filename) + Path.GetExtension(filename).PadRight(4).Substring(0' 4)).ToUpper();
Magic Number,Mosa.Utility.BootImage,Syslinux,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Syslinux.cs,PatchSyslinux_6_03,The following statement contains a magic number: uint patchArea = (uint)ldlinux.Position - 4;
Magic Number,Mosa.Utility.BootImage,Syslinux,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Syslinux.cs,PatchSyslinux_6_03,The following statement contains a magic number: ldlinuxWriter.Write((ushort)2);
Magic Number,Mosa.Utility.BootImage,Syslinux,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Syslinux.cs,PatchSyslinux_6_03,The following statement contains a magic number: ldlinuxWriter.Write(fileSize >> 2);
Magic Number,Mosa.Utility.BootImage,Syslinux,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Syslinux.cs,PatchSyslinux_6_03,The following statement contains a magic number: ldlinuxWriter.Write((ulong)sectors[sectors.Count - 2]);
Magic Number,Mosa.Utility.BootImage,Syslinux,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Syslinux.cs,PatchSyslinux_6_03,The following statement contains a magic number: index < (ldlinux.Length >> 2)
Magic Number,Mosa.Utility.BootImage,Syslinux,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Syslinux.cs,PatchSyslinux_3_72,The following statement contains a magic number: string name = (Path.GetFileNameWithoutExtension(filename) + Path.GetExtension(filename).PadRight(4).Substring(0' 4)).ToUpper();
Magic Number,Mosa.Utility.BootImage,Syslinux,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Syslinux.cs,PatchSyslinux_3_72,The following statement contains a magic number: string name = (Path.GetFileNameWithoutExtension(filename) + Path.GetExtension(filename).PadRight(4).Substring(0' 4)).ToUpper();
Magic Number,Mosa.Utility.BootImage,Syslinux,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Syslinux.cs,PatchSyslinux_3_72,The following statement contains a magic number: uint sectorCount = (fileSize + 511) >> 9;
Magic Number,Mosa.Utility.BootImage,Syslinux,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Syslinux.cs,PatchSyslinux_3_72,The following statement contains a magic number: uint sectorCount = (fileSize + 511) >> 9;
Magic Number,Mosa.Utility.BootImage,Syslinux,C:\research\architectureSmells\repos\mosa_MOSA-Project\Source\Mosa.Utility.BootImage\Syslinux.cs,PatchSyslinux_3_72,The following statement contains a magic number: uint[] sectors = new uint[65];
