Method,LOC,CC,PC
AttributeEntry:AttributeEntry,4,1,2
AttributeEntry:AttributeEntry,5,1,3
DoctypeToken:DoctypeToken,5,1,0
DoctypeToken:NewDoctype,9,1,0
Element:Element,6,1,3
Element:Element,6,1,3
Element:ToString,3,1,0
ElementStack:ElementStack,3,1,1
ElementStack:Push,13,2,1
ElementStack:AddAfter,22,4,2
ElementStack:AddBefore,22,4,2
ElementStack:Replace,30,4,2
ElementStack:Pop,15,2,0
ElementStack:GetLastTable,6,3,0
ElementStack:Remove,25,4,1
ElementStack:RemoveTo,22,4,2
ElementStack:ClearToTableContext,2,1,0
ElementStack:ClearToTableBodyContext,2,1,0
ElementStack:ClearToElement,18,4,2
ElementStack:ClearToTag,18,4,1
ElementStack:ClearToHeading,26,10,0
ElementStack:GenerateImpliedEndTags,24,17,1
ElementStack:ToString,8,3,0
ElementToken:ElementToken,7,1,4
ElementToken:ElementToken,7,1,1
FormatingList:Mark,12,2,0
FormatingList:Add,13,2,1
FormatingList:AddAfter,17,3,2
FormatingList:AddBefore,23,4,2
FormatingList:Remove,28,5,1
FormatingList:Replace,11,2,2
FormatingList:ClearToMark,23,4,0
Entry:Entry,3,1,0
Entry:Entry,4,1,1
NamedCharRef:matchDecDigits,34,16,5
NamedCharRef:matchHexDigits,46,28,5
NamedCharRef:matchReference,92,74,5
NamedCharRef:codePointToChar,124,32,1
NamedCharRef:mapReference,9155,2231,1
Tokenizer:Tokenizer,12,1,1
Tokenizer:EmitTagToken,31,5,0
Tokenizer:EmitCommentToken,9,3,0
Tokenizer:EmitDoctypeToken,9,3,0
Tokenizer:EmitEofToken,7,2,0
Tokenizer:EmitTmpBuffer,8,3,0
Tokenizer:FlushCharTokens,14,2,0
Tokenizer:NewAttribute,29,7,1
Tokenizer:CheckAttribute,31,10,0
Tokenizer:DataBufferDoubleSize,6,1,0
Tokenizer:CommentBufferDoubleSize,6,1,0
Tokenizer:AttrValueBufferDoubleSize,6,1,0
Tokenizer:charcterReference,34,13,5
Tokenizer:Parse,2082,313,2
Tokenizer:ParseEof,225,142,0
TreeBuilder:TreeBuilder,6,1,0
TreeBuilder:TreeBuilder,49,27,1
TreeBuilder:CreateElement,1,1,3
TreeBuilder:AppendText,1,1,2
TreeBuilder:AppendChild,1,1,2
TreeBuilder:AppendChild,1,1,2
TreeBuilder:AppendComment,1,1,2
TreeBuilder:AppendElementToDocument,1,1,1
TreeBuilder:AppendCommentToDocument,1,1,1
TreeBuilder:AppendDoctypeToDocument,1,1,3
TreeBuilder:AddAttributes,1,1,2
TreeBuilder:SetAttribute,1,1,3
TreeBuilder:InsertBefore,1,1,2
TreeBuilder:InsertBefore,1,1,2
TreeBuilder:RemoveFromParent,1,1,1
TreeBuilder:GetElementParent,1,1,1
TreeBuilder:MoveChilds,1,1,2
TreeBuilder:GetElementName,1,1,1
TreeBuilder:GetElementNamespace,1,1,1
TreeBuilder:GetFormAncestor,1,1,1
TreeBuilder:GetOwnerDocumentQuirkFlag,1,1,1
TreeBuilder:SetScriptFlag,1,1,3
TreeBuilder:GetScriptFlag,1,1,2
TreeBuilder:DocumentParsed,1,1,0
TreeBuilder:DocumentFragmentParsed,1,1,0
TreeBuilder:PrepareScript,1,1,1
TreeBuilder:SetFormOwner,1,1,2
TreeBuilder:Feed,3,1,2
TreeBuilder:Eof,3,1,0
TreeBuilder:SaveInsertionPoint,8,1,0
TreeBuilder:RestoreInsertionPoint,8,1,0
TreeBuilder:SetEncoding,3,1,1
TreeBuilder:ScriptingEnabled,3,1,1
TreeBuilder:DoublePendingTokenList,6,1,0
TreeBuilder:ContainsNonWhiteSpace,17,2,3
TreeBuilder:ResetInsertionMode,55,31,0
TreeBuilder:GenericRawTextAlgorithm,6,1,1
TreeBuilder:GenericRCDataAlgorithm,6,1,1
TreeBuilder:HeadingInScope,42,32,0
TreeBuilder:ElementInScope,35,24,1
TreeBuilder:ElementInListItemScope,37,26,1
TreeBuilder:ElementInButtonScope,36,25,1
TreeBuilder:ElementInTableScope,9,2,1
TreeBuilder:ElementInSelectScope,7,1,1
TreeBuilder:IsSpecialElement,98,89,1
TreeBuilder:IsFormattingElement,21,15,1
TreeBuilder:IsFormAssociatedElement,18,12,1
TreeBuilder:PushFormattingElement,29,11,1
TreeBuilder:ReconstructFormattingElements,19,4,0
TreeBuilder:MathMLIntergartionPoint,15,6,0
TreeBuilder:HTMLIntegrationPoint,25,12,0
TreeBuilder:InsertHtmlElement,41,19,1
TreeBuilder:InsertForeignElement,31,14,2
TreeBuilder:InsertCharacters,28,14,1
TreeBuilder:AdjustMathMLAttributes,9,3,1
TreeBuilder:AdjustSVGAttributes,193,187,1
TreeBuilder:AdjustForeignAttributes,25,19,1
TreeBuilder:AdjustSVGTagName,77,36,1
TreeBuilder:ClearStackBackToTableContext,16,10,0
TreeBuilder:ClearStackBackToTableBodyContext,18,12,0
TreeBuilder:ClearStackBackToTableRowContext,16,10,0
TreeBuilder:CloseTheCell,6,2,1
TreeBuilder:PopInForeign,12,3,0
TreeBuilder:StopParsing,9,2,0
TreeBuilder:StartTagToken,1031,53,2
TreeBuilder:EndTagToken,635,57,2
TreeBuilder:DoctypeToken,78,30,5
TreeBuilder:CommentToken,35,16,2
TreeBuilder:CharToken,440,91,4
TreeBuilder:EofToken,141,77,1
