Architecture smell,Project,Namespace,Cause,Responsible Classes
Cyclic Dependency,nunit.framework-portable,NUnit.Framework,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework' NUnit.Framework.Constraints,NUnit.Framework.Assert' NUnit.Framework.CategoryAttribute' NUnit.Framework.CombiningStrategyAttribute' NUnit.Framework.MaxTimeAttribute' NUnit.Framework.TestCaseSourceAttribute' NUnit.Framework.Constraints.AttributeConstraint' NUnit.Framework.Constraints.Constraint' NUnit.Framework.Constraints.ThrowsExceptionConstraint
Cyclic Dependency,nunit.framework-portable,NUnit.Framework,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework' NUnit.Framework.Internal' NUnit.Framework.Constraints,NUnit.Framework.Assert' NUnit.Framework.CategoryAttribute' NUnit.Framework.CombiningStrategyAttribute' NUnit.Framework.MaxTimeAttribute' NUnit.Framework.TestCaseSourceAttribute' NUnit.Framework.Internal.ActionsHelper' NUnit.Framework.Internal.AsyncTaskInvocationRegion' NUnit.Framework.Internal.ExceptionHelper' NUnit.Framework.Internal.TextMessageWriter' NUnit.Framework.Internal.TestFilter' NUnit.Framework.Internal.TestSuite' NUnit.Framework.Constraints.AttributeConstraint' NUnit.Framework.Constraints.Constraint' NUnit.Framework.Constraints.ThrowsExceptionConstraint
Cyclic Dependency,nunit.framework-portable,NUnit.Framework,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework' NUnit.Framework.Interfaces' NUnit.Framework.Internal' NUnit.Framework.Constraints,NUnit.Framework.Assert' NUnit.Framework.CategoryAttribute' NUnit.Framework.CombiningStrategyAttribute' NUnit.Framework.MaxTimeAttribute' NUnit.Framework.TestCaseSourceAttribute' NUnit.Framework.Interfaces.IApplyToContext' NUnit.Framework.Interfaces.ICommandWrapper' NUnit.Framework.Interfaces.ITypeInfo' NUnit.Framework.Interfaces.TNode' NUnit.Framework.Internal.ActionsHelper' NUnit.Framework.Internal.AsyncTaskInvocationRegion' NUnit.Framework.Internal.ExceptionHelper' NUnit.Framework.Internal.TextMessageWriter' NUnit.Framework.Internal.TestFilter' NUnit.Framework.Internal.TestSuite' NUnit.Framework.Constraints.AttributeConstraint' NUnit.Framework.Constraints.Constraint' NUnit.Framework.Constraints.ThrowsExceptionConstraint
Cyclic Dependency,nunit.framework-portable,NUnit.Framework,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework' NUnit.Framework.Internal' NUnit.Framework.Interfaces' NUnit.Framework.Internal' NUnit.Framework.Constraints,NUnit.Framework.Assert' NUnit.Framework.CategoryAttribute' NUnit.Framework.CombiningStrategyAttribute' NUnit.Framework.MaxTimeAttribute' NUnit.Framework.TestCaseSourceAttribute' NUnit.Framework.Internal.ActionsHelper' NUnit.Framework.Internal.AsyncTaskInvocationRegion' NUnit.Framework.Internal.ExceptionHelper' NUnit.Framework.Internal.TextMessageWriter' NUnit.Framework.Internal.TestFilter' NUnit.Framework.Internal.TestSuite' NUnit.Framework.Interfaces.IApplyToContext' NUnit.Framework.Interfaces.ICommandWrapper' NUnit.Framework.Interfaces.ITypeInfo' NUnit.Framework.Interfaces.TNode' NUnit.Framework.Constraints.AttributeConstraint' NUnit.Framework.Constraints.Constraint' NUnit.Framework.Constraints.ThrowsExceptionConstraint
Cyclic Dependency,nunit.framework-portable,NUnit.Framework.Interfaces,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework.Interfaces' NUnit.Framework.Internal,NUnit.Framework.Interfaces.IApplyToContext' NUnit.Framework.Interfaces.ICommandWrapper' NUnit.Framework.Interfaces.ITypeInfo' NUnit.Framework.Interfaces.TNode' NUnit.Framework.Internal.ActionsHelper' NUnit.Framework.Internal.AsyncTaskInvocationRegion' NUnit.Framework.Internal.ExceptionHelper' NUnit.Framework.Internal.TextMessageWriter' NUnit.Framework.Internal.TestFilter' NUnit.Framework.Internal.TestSuite
Cyclic Dependency,nunit.framework-portable,NUnit.Framework.Interfaces,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework.Interfaces' NUnit.Framework' NUnit.Framework.Internal,NUnit.Framework.Interfaces.IApplyToContext' NUnit.Framework.Interfaces.ICommandWrapper' NUnit.Framework.Interfaces.ITypeInfo' NUnit.Framework.Interfaces.TNode' NUnit.Framework.Assert' NUnit.Framework.CategoryAttribute' NUnit.Framework.CombiningStrategyAttribute' NUnit.Framework.MaxTimeAttribute' NUnit.Framework.TestCaseSourceAttribute' NUnit.Framework.Internal.ActionsHelper' NUnit.Framework.Internal.AsyncTaskInvocationRegion' NUnit.Framework.Internal.ExceptionHelper' NUnit.Framework.Internal.TextMessageWriter' NUnit.Framework.Internal.TestFilter' NUnit.Framework.Internal.TestSuite
Cyclic Dependency,nunit.framework-portable,NUnit.Framework.Internal,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework.Internal' NUnit.Framework.Internal.Commands' NUnit.Framework.Interfaces,NUnit.Framework.Internal.ActionsHelper' NUnit.Framework.Internal.AsyncTaskInvocationRegion' NUnit.Framework.Internal.ExceptionHelper' NUnit.Framework.Internal.TextMessageWriter' NUnit.Framework.Internal.TestFilter' NUnit.Framework.Internal.TestSuite' NUnit.Framework.Internal.Commands.ApplyChangesToContextCommand' NUnit.Framework.Internal.Commands.SetUpTearDownCommand' NUnit.Framework.Interfaces.IApplyToContext' NUnit.Framework.Interfaces.ICommandWrapper' NUnit.Framework.Interfaces.ITypeInfo' NUnit.Framework.Interfaces.TNode
Cyclic Dependency,nunit.framework-portable,NUnit.Framework.Internal,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework.Internal' NUnit.Framework.Interfaces' NUnit.Framework.Internal.Commands' NUnit.Framework.Interfaces,NUnit.Framework.Internal.ActionsHelper' NUnit.Framework.Internal.AsyncTaskInvocationRegion' NUnit.Framework.Internal.ExceptionHelper' NUnit.Framework.Internal.TextMessageWriter' NUnit.Framework.Internal.TestFilter' NUnit.Framework.Internal.TestSuite' NUnit.Framework.Interfaces.IApplyToContext' NUnit.Framework.Interfaces.ICommandWrapper' NUnit.Framework.Interfaces.ITypeInfo' NUnit.Framework.Interfaces.TNode' NUnit.Framework.Internal.Commands.ApplyChangesToContextCommand' NUnit.Framework.Internal.Commands.SetUpTearDownCommand
Cyclic Dependency,nunit.framework-portable,NUnit.Framework.Internal,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework.Internal' NUnit.Framework.Internal.Commands' NUnit.Framework.Interfaces' NUnit.Framework.Internal.Commands' NUnit.Framework.Interfaces,NUnit.Framework.Internal.ActionsHelper' NUnit.Framework.Internal.AsyncTaskInvocationRegion' NUnit.Framework.Internal.ExceptionHelper' NUnit.Framework.Internal.TextMessageWriter' NUnit.Framework.Internal.TestFilter' NUnit.Framework.Internal.TestSuite' NUnit.Framework.Internal.Commands.ApplyChangesToContextCommand' NUnit.Framework.Internal.Commands.SetUpTearDownCommand' NUnit.Framework.Interfaces.IApplyToContext' NUnit.Framework.Interfaces.ICommandWrapper' NUnit.Framework.Interfaces.ITypeInfo' NUnit.Framework.Interfaces.TNode
Cyclic Dependency,nunit.framework-portable,NUnit.Framework.Internal.Builders,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework.Internal.Builders' NUnit.Framework,NUnit.Framework.Internal.Builders.CombinatorialStrategy' NUnit.Framework.Internal.Builders.DatapointProvider' NUnit.Framework.Internal.Builders.DefaultSuiteBuilder' NUnit.Framework.Internal.Builders.NUnitTestCaseBuilder' NUnit.Framework.Assert' NUnit.Framework.CategoryAttribute' NUnit.Framework.CombiningStrategyAttribute' NUnit.Framework.MaxTimeAttribute' NUnit.Framework.TestCaseSourceAttribute
