Design smell,Namespace,Class,File,Cause
Duplicate Abstraction,System,AggregateException,C:\repos\mtysgithub_LAN_Communication_Framework\MonoLib\System\AggregateException.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: AggregateException[2' 25]' ConcurrentQueue[2' 25]' ConcurrentStack[2' 25]' IProducerConsumerCollection[2' 25]' Parallel[2' 25]' ParallelLoopState[2' 25]' TaskCanceledException[2' 25]' TaskContinuationOptions[2' 25]' TaskSchedulerException[2' 25]' SpinWait[2' 25]' Watch[2' 25]
Duplicate Abstraction,System,AggregateException,C:\repos\mtysgithub_LAN_Communication_Framework\MonoLib\System\AggregateException.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: AggregateException[2' 26]' IProducerConsumerCollection[2' 26]' Parallel[2' 26]' ParallelLoopState[2' 26]' TaskCanceledException[2' 26]' TaskContinuationOptions[2' 26]' TaskSchedulerException[2' 26]' SpinWait[2' 26]' Watch[2' 26]
Duplicate Abstraction,System,AggregateException,C:\repos\mtysgithub_LAN_Communication_Framework\MonoLib\System\AggregateException.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: AggregateException[2' 24]' AtomicBooleanValue[2' 24]' ConcurrentQueue[2' 24]' ConcurrentStack[2' 24]' IProducerConsumerCollection[2' 24]' Parallel[2' 24]' ParallelLoopState[2' 24]' TaskCanceledException[2' 24]' TaskContinuationOptions[2' 24]' TaskSchedulerException[2' 24]' SpinWait[2' 24]' Watch[2' 24]
Duplicate Abstraction,System,AggregateException,C:\repos\mtysgithub_LAN_Communication_Framework\MonoLib\System\AggregateException.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: AggregateException[4' 23]' ConcurrentDictionary[4' 23]' ConcurrentOrderedList[4' 23]' ConcurrentQueue[4' 23]' ConcurrentStack[4' 23]' IProducerConsumerCollection[4' 23]' SplitOrderedList[4' 23]' ConcurrentExclusiveSchedulerPair[10' 29]' IDecoupledTask[8' 27]' Parallel[4' 23]' ParallelLoopState[4' 23]' Task[10' 29]' TaskActionInvoker[8' 27]' TaskCanceledException[4' 23]' TaskCompletionQueue[8' 27]' TaskConstants[8' 27]' IContinuation[9' 28]' TaskContinuationOptions[4' 23]' TaskCreationOptions[9' 28]' TaskExceptionSlot[10' 29]' TaskSchedulerException[4' 23]' TpScheduler[11' 30]' AtomicBooleanValue[4' 23]' CountdownEvent[8' 27]' ManualResetEventSlim[8' 27]' SpinWait[4' 23]' Watch[4' 23]
Duplicate Abstraction,System,AggregateException,C:\repos\mtysgithub_LAN_Communication_Framework\MonoLib\System\AggregateException.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: AggregateException[4' 25]' ConcurrentDictionary[4' 25]' ConcurrentOrderedList[4' 25]' Task[10' 31]' TaskActionInvoker[8' 29]' TaskCompletionQueue[8' 29]' TaskConstants[8' 29]' IContinuation[9' 30]' TaskCreationOptions[9' 30]' TaskExceptionSlot[10' 31]' TpScheduler[11' 32]' CountdownEvent[8' 29]' ManualResetEventSlim[8' 29]' IProducerConsumerCollection[4' 25]' Parallel[4' 25]' ParallelLoopState[4' 25]' TaskCanceledException[4' 25]' TaskContinuationOptions[4' 25]' TaskSchedulerException[4' 25]' SpinWait[4' 25]' Watch[4' 25]
Duplicate Abstraction,System,AggregateException,C:\repos\mtysgithub_LAN_Communication_Framework\MonoLib\System\AggregateException.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: AggregateException[4' 24]' SplitOrderedList[4' 24]' ConcurrentExclusiveSchedulerPair[10' 30]' IDecoupledTask[8' 28]' ConcurrentDictionary[4' 24]' AtomicBooleanValue[4' 24]' ConcurrentOrderedList[4' 24]' ConcurrentQueue[4' 24]' ConcurrentStack[4' 24]' IProducerConsumerCollection[4' 24]' Parallel[4' 24]' ParallelLoopState[4' 24]' Task[10' 30]' TaskActionInvoker[8' 28]' TaskCanceledException[4' 24]' TaskCompletionQueue[8' 28]' TaskConstants[8' 28]' IContinuation[9' 29]' TaskContinuationOptions[4' 24]' TaskCreationOptions[9' 29]' TaskExceptionSlot[10' 30]' TaskSchedulerException[4' 24]' TpScheduler[11' 31]' CountdownEvent[8' 28]' ManualResetEventSlim[8' 28]' SpinWait[4' 24]' Watch[4' 24]
Duplicate Abstraction,System,Tuple,C:\repos\mtysgithub_LAN_Communication_Framework\MonoLib\Tuple.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Tuple[3' 32]' IStructuralComparable[3' 32]' IStructuralEquatable[3' 32]
Duplicate Abstraction,System,Tuple,C:\repos\mtysgithub_LAN_Communication_Framework\MonoLib\Tuple.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Tuple[8' 27]' EnumerablePartitionerOptions[9' 28]' HashSet[8' 27]' HashPrimeNumbers[8' 27]' Hashtable[10' 29]' IStructuralComparable[8' 27]' IStructuralEquatable[8' 27]' BinaryExpression[15' 34]' ConditionalExpression[8' 27]' ConstantExpression[13' 32]' ElementInit[8' 27]' CompilationContext[9' 28]' Expression[9' 28]' ExpressionPrinter[8' 27]' ExpressionTransformer[9' 28]' ExpressionType[8' 27]' ExpressionVisitor[8' 27]' Extensions[8' 27]' InvocationExpression[8' 27]' LambdaExpression[9' 28]' ListInitExpression[8' 27]' MemberAssignment[8' 27]' MemberBinding[8' 27]' MemberBindingType[8' 27]' MemberExpression[8' 27]' MemberInitExpression[8' 27]' MemberListBinding[8' 27]' MemberMemberBinding[8' 27]' MethodCallExpression[8' 27]' NewArrayExpression[8' 27]' NewExpression[8' 27]' ParameterExpression[9' 28]' TypeBinaryExpression[8' 27]' UnaryExpression[8' 27]' Check[8' 27]' Enumerable[11' 30]' IGrouping[9' 28]' ILookup[8' 27]' IOrderedEnumerable[8' 27]' Lookup[11' 30]' OrderedEnumerable[9' 28]' OrderedSequence[10' 29]' QuickSort[10' 29]' SortContext[8' 27]' SortDirection[8' 27]' SortSequenceContext[8' 27]' AsyncStateMachineAttribute[8' 27]' AsyncTaskMethodBuilder[9' 28]' AsyncVoidMethodBuilder[9' 28]' ConfiguredTaskAwaitable[8' 27]' ExecutionScope[9' 28]' ExtensionAttribute[8' 27]' IAsyncStateMachine[8' 27]' ICriticalNotifyCompletion[8' 27]' INotifyCompletion[8' 27]' IStrongBox[8' 27]' StateMachineAttribute[8' 27]' StrongBox[8' 27]' TaskAwaiter[9' 28]' FirstChanceExceptionEventArgs[8' 27]' HandleProcessCorruptedStateExceptionsAttribute[8' 27]' TaskDebuggerView[8' 27]' TaskExtensionsImpl[10' 29]' Extensions[6' 25]' LoadOptions[6' 25]' ReaderOptions[4' 23]' SaveOptions[6' 25]' XAttribute[6' 25]' XCData[6' 25]' XComment[6' 25]' XContainer[6' 25]' XDeclaration[6' 25]' XDocument[6' 25]' XDocumentType[6' 25]' XElement[6' 25]' XChildrenIterator[6' 25]' XName[6' 25]' XNamespace[6' 25]' XNode[6' 25]' XNodeDocumentOrderComparer[6' 25]' XNodeEqualityComparer[6' 25]' XNodeNavigator[6' 25]' XNodeReader[7' 26]' XNodeWriter[6' 25]' XObject[6' 25]' XObjectChange[6' 25]' XObjectChangeEventArgs[6' 25]' XProcessingInstruction[6' 25]' XStreamingElement[6' 25]' XText[6' 25]' XUtil[6' 25]
Duplicate Abstraction,System,Tuple,C:\repos\mtysgithub_LAN_Communication_Framework\MonoLib\Tuple.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Tuple[8' 27]' EnumerablePartitionerOptions[9' 28]' ReaderOptions[4' 23]' HashSet[8' 27]' HashPrimeNumbers[8' 27]' Hashtable[10' 29]' IStructuralComparable[8' 27]' IStructuralEquatable[8' 27]' BinaryExpression[15' 34]' ConditionalExpression[8' 27]' ConstantExpression[13' 32]' ElementInit[8' 27]' CompilationContext[9' 28]' Expression[9' 28]' ExpressionPrinter[8' 27]' ExpressionTransformer[9' 28]' ExpressionType[8' 27]' ExpressionVisitor[8' 27]' Extensions[8' 27]' InvocationExpression[8' 27]' LambdaExpression[9' 28]' ListInitExpression[8' 27]' MemberAssignment[8' 27]' MemberBinding[8' 27]' MemberBindingType[8' 27]' MemberExpression[8' 27]' MemberInitExpression[8' 27]' MemberListBinding[8' 27]' MemberMemberBinding[8' 27]' MethodCallExpression[8' 27]' NewArrayExpression[8' 27]' NewExpression[8' 27]' ParameterExpression[9' 28]' TypeBinaryExpression[8' 27]' UnaryExpression[8' 27]' Check[8' 27]' Enumerable[11' 30]' IGrouping[9' 28]' ILookup[8' 27]' IOrderedEnumerable[8' 27]' Lookup[11' 30]' OrderedEnumerable[9' 28]' OrderedSequence[10' 29]' QuickSort[10' 29]' SortContext[8' 27]' SortDirection[8' 27]' SortSequenceContext[8' 27]' AsyncStateMachineAttribute[8' 27]' AsyncTaskMethodBuilder[9' 28]' AsyncVoidMethodBuilder[9' 28]' ConfiguredTaskAwaitable[8' 27]' ExecutionScope[9' 28]' ExtensionAttribute[8' 27]' IAsyncStateMachine[8' 27]' ICriticalNotifyCompletion[8' 27]' INotifyCompletion[8' 27]' IStrongBox[8' 27]' StateMachineAttribute[8' 27]' StrongBox[8' 27]' TaskAwaiter[9' 28]' FirstChanceExceptionEventArgs[8' 27]' HandleProcessCorruptedStateExceptionsAttribute[8' 27]' TaskDebuggerView[8' 27]' TaskExtensionsImpl[10' 29]' Extensions[6' 25]' LoadOptions[6' 25]' SaveOptions[6' 25]' XAttribute[6' 25]' XCData[6' 25]' XComment[6' 25]' XContainer[6' 25]' XDeclaration[6' 25]' XDocument[6' 25]' XDocumentType[6' 25]' XElement[6' 25]' XChildrenIterator[6' 25]' XName[6' 25]' XNamespace[6' 25]' XNode[6' 25]' XNodeDocumentOrderComparer[6' 25]' XNodeEqualityComparer[6' 25]' XNodeNavigator[6' 25]' XNodeReader[7' 26]' XNodeWriter[6' 25]' XObject[6' 25]' XObjectChange[6' 25]' XObjectChangeEventArgs[6' 25]' XProcessingInstruction[6' 25]' XStreamingElement[6' 25]' XText[6' 25]' XUtil[6' 25]
Duplicate Abstraction,System,Tuple,C:\repos\mtysgithub_LAN_Communication_Framework\MonoLib\Tuple.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Tuple[8' 28]' HashSet[8' 28]' HashPrimeNumbers[8' 28]' Hashtable[10' 30]' BinaryExpression[15' 35]' ConditionalExpression[8' 28]' ConstantExpression[13' 33]' ElementInit[8' 28]' CompilationContext[9' 29]' Expression[9' 29]' ExpressionPrinter[8' 28]' ExpressionTransformer[9' 29]' ExpressionType[8' 28]' ExpressionVisitor[8' 28]' Extensions[8' 28]' InvocationExpression[8' 28]' LambdaExpression[9' 29]' ListInitExpression[8' 28]' MemberAssignment[8' 28]' MemberBinding[8' 28]' MemberBindingType[8' 28]' MemberExpression[8' 28]' MemberInitExpression[8' 28]' MemberListBinding[8' 28]' MemberMemberBinding[8' 28]' MethodCallExpression[8' 28]' NewArrayExpression[8' 28]' NewExpression[8' 28]' ParameterExpression[9' 29]' TypeBinaryExpression[8' 28]' UnaryExpression[8' 28]' Check[8' 28]' Enumerable[11' 31]' IGrouping[9' 29]' ILookup[8' 28]' IOrderedEnumerable[8' 28]' Lookup[11' 31]' OrderedEnumerable[9' 29]' OrderedSequence[10' 30]' QuickSort[10' 30]' SortContext[8' 28]' SortDirection[8' 28]' SortSequenceContext[8' 28]' AsyncStateMachineAttribute[8' 28]' AsyncTaskMethodBuilder[9' 29]' AsyncVoidMethodBuilder[9' 29]' ConfiguredTaskAwaitable[8' 28]' ExecutionScope[9' 29]' ExtensionAttribute[8' 28]' IAsyncStateMachine[8' 28]' ICriticalNotifyCompletion[8' 28]' INotifyCompletion[8' 28]' IStrongBox[8' 28]' StateMachineAttribute[8' 28]' StrongBox[8' 28]' TaskAwaiter[9' 29]' Extensions[6' 26]' LoadOptions[6' 26]' SaveOptions[6' 26]' XAttribute[6' 26]' XCData[6' 26]' XComment[6' 26]' XContainer[6' 26]' XDeclaration[6' 26]' XDocument[6' 26]' XDocumentType[6' 26]' XElement[6' 26]' XChildrenIterator[6' 26]' XName[6' 26]' XNamespace[6' 26]' XNode[6' 26]' XNodeDocumentOrderComparer[6' 26]' XNodeEqualityComparer[6' 26]' XNodeNavigator[6' 26]' XNodeReader[7' 27]' XNodeWriter[6' 26]' XObject[6' 26]' XObjectChange[6' 26]' XObjectChangeEventArgs[6' 26]' XProcessingInstruction[6' 26]' XStreamingElement[6' 26]' XText[6' 26]' XUtil[6' 26]' IStructuralComparable[8' 28]' IStructuralEquatable[8' 28]' FirstChanceExceptionEventArgs[8' 28]' HandleProcessCorruptedStateExceptionsAttribute[8' 28]' TaskDebuggerView[8' 28]' TaskExtensionsImpl[10' 30]
