Method,LOC,CC,PC
AuthResult:AuthResult,36,3,1
AuthResult:ParseExpires,7,2,1
LiveAuthWindow:LiveAuthWindow,7,2,3
LiveAuthWindow:browser_Navigated,16,3,2
LiveAuthWindow:Login,3,1,0
LiveAuthWindow:LogOut,3,1,1
LiveAuthWindow:InitializeComponent,13,2,0
LiveAuthWindow:Connect,15,2,2
LiveAuthException:LiveAuthException,2,1,0
LiveAuthException:LiveAuthException,3,1,2
LiveAuthException:LiveAuthException,3,1,3
LiveAuthException:LiveAuthException,4,1,3
LiveAuthException:ToString,3,1,0
LiveOperationResult:LiveOperationResult,4,1,2
LiveOperationResult:LiveOperationResult,5,1,2
LiveOperationResult:FromResponse,6,1,1
Creator:OnSuccessResponse,3,1,2
Creator:OnErrorResponse,4,1,2
Creator:OnInvalidJsonResponse,3,1,1
LiveOperationProgress:LiveOperationProgress,6,1,2
LiveConnectSession:LiveConnectSession,3,1,1
LiveConnectSession:LiveConnectSession,2,1,0
LiveLoginResult:LiveLoginResult,4,1,2
LiveLoginResult:LiveLoginResult,3,1,1
IRefreshTokenHandler:SaveRefreshTokenAsync,0,1,1
IRefreshTokenHandler:RetrieveRefreshTokenAsync,0,1,0
RefreshTokenInfo:RefreshTokenInfo,4,1,1
DynamicDictionary:DynamicDictionary,3,1,0
DynamicDictionary:TryGetMember,9,2,2
DynamicDictionary:TrySetMember,4,1,2
DynamicDictionary:Add,3,1,2
DynamicDictionary:ContainsKey,3,1,1
DynamicDictionary:Remove,3,1,1
DynamicDictionary:TryGetValue,3,1,2
DynamicDictionary:Add,3,1,1
DynamicDictionary:Clear,3,1,0
DynamicDictionary:Contains,3,1,1
DynamicDictionary:CopyTo,3,1,2
DynamicDictionary:Remove,3,1,1
DynamicDictionary:GetEnumerator,3,1,0
DynamicDictionary:GetEnumerator,3,1,0
WebRequestFactory:WebRequestFactory,2,1,0
WebRequestFactory:CreateWebRequest,6,1,2
IWebRequestFactory:CreateWebRequest,0,1,2
LiveConnectClient:LiveConnectClient,16,2,1
LiveConnectClient:GetResourceUri,35,4,2
LiveConnectClient:IsAbsolutePath,4,1,1
LiveConnectClient:GetApiOperation,47,6,3
LiveConnectClient:GetAsync,3,1,1
LiveConnectClient:GetAsync,3,1,2
LiveConnectClient:DeleteAsync,3,1,1
LiveConnectClient:DeleteAsync,3,1,2
LiveConnectClient:PostAsync,3,1,2
LiveConnectClient:PostAsync,3,1,2
LiveConnectClient:PostAsync,3,1,3
LiveConnectClient:PostAsync,3,1,3
LiveConnectClient:PutAsync,3,1,2
LiveConnectClient:PutAsync,3,1,2
LiveConnectClient:PutAsync,3,1,3
LiveConnectClient:PutAsync,3,1,3
LiveConnectClient:MoveAsync,3,1,2
LiveConnectClient:MoveAsync,3,1,3
LiveConnectClient:CopyAsync,3,1,2
LiveConnectClient:CopyAsync,3,1,3
LiveConnectClient:MoveOrCopy,12,3,4
LiveConnectClient:Api,4,1,4
LiveConnectClient:ExecuteApiOperation,25,2,2
LiveConnectClient:DownloadAsync,3,1,1
LiveConnectClient:DownloadAsync,31,2,3
LiveConnectClient:UploadAsync,3,1,4
LiveConnectClient:UploadAsync,49,4,6
LiveConnectException:LiveConnectException,2,1,0
LiveConnectException:LiveConnectException,3,1,2
LiveConnectException:LiveConnectException,3,1,3
LiveConnectException:ToString,3,1,0
StringBuilderExtension:AppendUrlPath,15,4,2
StringBuilderExtension:AppendQueryParam,5,1,3
IServerResponseReaderObserver:OnSuccessResponse,0,1,2
IServerResponseReaderObserver:OnErrorResponse,0,1,2
IServerResponseReaderObserver:OnInvalidJsonResponse,0,1,1
QueryParameters:QueryParameters,6,1,0
QueryParameters:GetOverwriteValue,3,1,1
ServerResponseReader:ServerResponseReader,3,1,0
ServerResponseReader:Read,24,1,2
ErrorText:ErrorText,2,1,0
LiveAuthClientCore:LiveAuthClientCore,7,1,3
LiveAuthClientCore:InitializeAsync,21,3,1
LiveAuthClientCore:ExchangeAuthCodeAsync,11,2,1
LiveAuthClientCore:GetLoginUrl,3,1,6
LiveAuthClientCore:TryRefreshToken,3,1,0
LiveAuthClientCore:TryRefreshToken,18,3,1
LiveAuthClientCore:RefreshToken,20,2,1
LiveAuthClientCore:OnRefreshTokenCompleted,11,2,2
LiveAuthClientCore:UpdateSession,22,3,1
LiveAuthClientCore:OnInitCompleted,16,2,1
LiveAuthClientCore:ValidateSessionInitScopes,11,3,1
LiveAuthClientCore:ExchangeCodeForToken,11,1,1
LiveAuthClientCore:OnExchangeCodeCompleted,14,2,1
LiveAuthUtility:BuildWebAuthorizeUrl,3,1,6
LiveAuthUtility:BuildAuthorizeUrl,18,2,8
LiveAuthUtility:BuildTokenUrl,3,1,0
LiveAuthUtility:BuildLogoutUrl,3,1,0
LiveAuthUtility:BuildLogoutUrl,8,1,2
LiveAuthUtility:BuildDesktopRedirectUrl,3,1,0
LiveAuthUtility:BuildAuthUrl,17,2,2
LiveAuthUtility:BuildRefreshTokenPostContent,20,3,5
LiveAuthUtility:BuildCodeTokenExchangePostContent,16,2,4
LiveAuthUtility:BuildScopeString,20,4,1
LiveAuthUtility:ParseScopeString,8,2,1
LiveAuthUtility:GetCurrentRedirectUrl,35,6,1
LiveAuthUtility:DecodeAppRequestStates,16,4,1
LiveAuthUtility:EncodeAppRequestState,10,2,1
LiveAuthUtility:IsSubsetOfScopeRange,16,4,2
LiveAuthUtility:UrlDataEncode,15,3,1
LiveUtility:ValidateNotNullParameter,6,2,2
LiveUtility:ValidateNotEmptyStringEnumeratorArguement,7,2,2
LiveUtility:ValidateNotNullOrWhiteSpaceString,13,3,2
LiveUtility:ValidateUrl,8,2,2
Platform:GetLibraryHeaderValue,9,1,0
Platform:SetDownloadRequestOption,3,1,1
Platform:RegisterForCancel,7,2,2
Platform:StreamReadAsync,26,1,6
Platform:StreamWriteAsync,28,1,6
Platform:ReportProgress,7,2,2
LiveAuthRequestUtility:ExchangeCodeForTokenAsync,7,1,4
LiveAuthRequestUtility:RefreshTokenAsync,7,1,5
LiveAuthRequestUtility:RequestAccessTokenAsync,7,1,1
LiveAuthRequestUtility:RequestAccessToken,38,2,1
LiveAuthRequestUtility:ReadResponse,39,4,1
LiveAuthRequestUtility:CreateSession,33,7,1
LiveAuthRequestUtility:CalculateExpiration,9,2,1
SynchronizationContextWrapper:SynchronizationContextWrapper,3,1,1
SynchronizationContextWrapper:Post,15,2,1
ResourceHelper:ResourceHelper,3,1,0
ResourceHelper:GetString,3,1,1
Resources:Resources,2,1,0
LiveAuthClient:LiveAuthClient,2,1,1
LiveAuthClient:LiveAuthClient,5,1,2
LiveAuthClient:InitializeAsync,3,1,0
LiveAuthClient:InitializeAsync,4,1,1
LiveAuthClient:ExchangeAuthCodeAsync,4,1,1
LiveAuthClient:GetLoginUrl,3,1,1
LiveAuthClient:GetLoginUrl,40,9,2
LiveAuthClient:GetLogoutUrl,3,1,0
LiveAuthClient:FirePendingPropertyChangedEvents,7,2,0
LiveAuthClient:RefreshToken,9,2,1
LiveAuthClient:OnPropertyChanged,10,2,1
LiveDownloadOperationResult:LiveDownloadOperationResult,3,1,1
LiveDownloadOperationResult:LiveDownloadOperationResult,5,1,2
Operation:Operation,4,1,1
Operation:Execute,11,2,0
Operation:Cancel,8,2,0
Operation:OnExecute,0,1,0
Operation:OnCancel,0,1,0
Operation:InternalExecute,10,2,0
ApiOperation:ApiOperation,4,1,5
ApiOperation:SerializePostBody,14,2,1
ApiOperation:CreateOperationResultFrom,14,3,2
ApiOperation:CreateOperationResultFrom,31,2,1
ApiOperation:OnExecute,20,2,0
ApiOperation:OnCancel,3,1,0
ApiOperation:OnOperationCompleted,7,2,1
ApiOperation:OnWebResponseReceived,3,1,1
ApiOperation:PrepareRequest,32,5,0
ApiOperation:RefreshTokenIfNeeded,11,2,0
ApiOperation:OnRefreshTokenOperationCompleted,18,2,1
ApiWriteOperation:ApiWriteOperation,2,1,5
ApiWriteOperation:OnExecute,20,2,0
GetUploadLinkOperation:GetUploadLinkOperation,4,1,5
GetUploadLinkOperation:ExecuteAsync,20,1,0
GetUploadLinkOperation:OnWebResponseReceived,32,4,1
GetUploadLinkOperation:ConstructUploadUri,62,6,1
WebOperation:WebOperation,5,1,3
WebOperation:Cancel,16,3,0
WebOperation:OnGetRequestStreamCompleted,32,2,1
WebOperation:OnGetResponseCompleted,23,2,1
WebOperation:OnWebResponseReceived,0,1,1
StreamCopyOperation:StreamCopyOperation,16,1,8
StreamCopyOperation:OnExecute,3,1,0
StreamCopyOperation:OnCancel,3,1,0
StreamCopyOperation:OnOperationCompleted,6,2,1
StreamCopyOperation:OnReadInputComplete,33,4,2
StreamCopyOperation:OnWriteOutputComplete,11,2,2
StreamCopyOperation:RaiseProgressChangedEvent,5,1,0
StreamCopyOperation:ReadNextChunk,32,3,0
DownloadOperation:DownloadOperation,3,1,4
DownloadOperation:OnCancel,12,2,0
DownloadOperation:OnExecute,15,3,0
DownloadOperation:OnWebResponseReceived,67,3,1
DownloadOperation:CompleteOperation,25,4,1
UploadOperation:UploadOperation,9,1,7
UploadOperation:OnExecute,10,1,0
UploadOperation:OnGetUploadLinkCompleted,38,4,1
UploadOperation:OnGetRequestStreamCompleted,24,2,1
UploadOperation:OnRequestStreamReady,22,1,1
UploadOperation:OnCopyCompleted,26,2,1
JsonReader:JsonReader,2,1,1
JsonReader:JsonReader,4,1,2
JsonReader:Dispose,10,3,0
JsonReader:ReadValue,45,5,0
JsonReader:GetNextSignificantCharacter,9,1,0
JsonReader:GetCharacters,13,3,1
JsonReader:PeekNextSignificantCharacter,9,2,0
JsonReader:ReadArray,31,6,0
JsonReader:ReadBoolean,15,3,0
JsonReader:PeekCharFromReader,8,2,0
JsonReader:ReadCharFromReader,8,2,0
JsonReader:ReadName,28,3,1
JsonReader:ReadNull,7,2,0
JsonReader:ReadNumber,49,5,0
JsonReader:ReadObject,41,7,0
JsonReader:ReadString,55,7,0
JsonWriter:JsonWriter,26,3,0
JsonWriter:JsonWriter,2,1,1
JsonWriter:JsonWriter,2,1,2
JsonWriter:JsonWriter,5,1,3
JsonWriter:WriteValue,78,2,1
JsonWriter:WriteProperty,4,1,2
JsonWriter:NormalizeName,3,1,1
JsonWriter:WriteName,23,5,1
JsonWriter:WriteValue,3,1,1
JsonWriter:WriteValue,3,1,1
JsonWriter:WriteValue,3,1,1
JsonWriter:WriteValue,3,1,1
JsonWriter:WriteValue,3,1,1
JsonWriter:WriteValue,3,1,1
JsonWriter:WriteValue,3,1,1
JsonWriter:WriteValue,3,1,1
JsonWriter:WriteValue,3,1,1
JsonWriter:WriteValue,3,1,1
JsonWriter:WriteValue,3,1,1
JsonWriter:WriteValue,3,1,1
JsonWriter:WriteValue,10,2,1
JsonWriter:WriteValue,3,1,1
JsonWriter:WriteValue,5,1,1
JsonWriter:WriteValue,15,2,1
JsonWriter:WriteValue,20,2,1
JsonWriter:WriteCore,24,6,2
JsonWriter:EscapeString,56,10,1
JsonWriter:EndScope,17,3,0
JsonWriter:StartArrayScope,3,1,0
JsonWriter:StartObjectScope,3,1,0
JsonWriter:StartScope,24,4,1
Scope:Scope,3,1,1
IndentedTextWriter:IndentedTextWriter,8,1,2
IndentedTextWriter:Dispose,7,2,1
IndentedTextWriter:Flush,3,1,0
IndentedTextWriter:Write,4,1,1
IndentedTextWriter:Write,4,1,1
IndentedTextWriter:Write,4,1,1
IndentedTextWriter:Write,4,1,1
IndentedTextWriter:Write,4,1,3
IndentedTextWriter:Write,4,1,1
IndentedTextWriter:Write,4,1,1
IndentedTextWriter:Write,4,1,1
IndentedTextWriter:Write,4,1,1
IndentedTextWriter:Write,4,1,1
IndentedTextWriter:Write,4,1,2
IndentedTextWriter:Write,4,1,1
IndentedTextWriter:WriteLineNoTabs,3,1,1
IndentedTextWriter:WriteLine,5,1,1
IndentedTextWriter:WriteLine,5,1,0
IndentedTextWriter:WriteLine,5,1,1
IndentedTextWriter:WriteLine,5,1,1
IndentedTextWriter:WriteLine,5,1,1
IndentedTextWriter:WriteLine,5,1,3
IndentedTextWriter:WriteLine,5,1,1
IndentedTextWriter:WriteLine,5,1,1
IndentedTextWriter:WriteLine,5,1,1
IndentedTextWriter:WriteLine,5,1,1
IndentedTextWriter:WriteLine,5,1,1
IndentedTextWriter:WriteLine,5,1,2
IndentedTextWriter:WriteLine,5,1,1
IndentedTextWriter:WriteTrimmed,10,2,1
IndentedTextWriter:OutputTabs,13,4,0
IJsonSerializable:ToJson,0,1,0
