Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
unBand.Cloud,LiveAuthTokens,0,0,3,0,0,6,0,0,0,-1,0,1,,unBand.Cloud.BandCloudClient
unBand.Cloud,BandCloudClient,13,9,0,0,6,234,21,0,0,0.44,7,0,unBand.Cloud.LiveAuthTokens' unBand.Cloud.BandCloudAuthentication' unBand.Cloud.BandEventExpandType' unBand.Cloud.BandEventBase' unBand.Cloud.UserDailyActivity' unBand.Cloud.ODataOperator' unBand.Cloud.ODataQuery,
unBand.Cloud,BandCloudAuthentication,0,0,14,0,0,22,0,0,0,-1,0,1,,unBand.Cloud.BandCloudClient
unBand.Cloud,BandEventExpandType,0,0,0,0,0,6,0,0,0,-1,0,8,,unBand.Cloud.BandEventBase' unBand.Cloud.BandCloudClient' unBand.Cloud.UserDailyActivity' unBand.Cloud.UserGuidedWorkoutEvent' unBand.Cloud.SleepEvent' unBand.Cloud.RunEvent' unBand.Cloud.BikeEvent' unBand.Cloud.UserWorkoutEvent
unBand.Cloud,BandEventType,0,0,0,0,0,9,0,0,0,-1,0,2,,unBand.Cloud.BandEventBase' unBand.Cloud.UserDailyActivity
unBand.Cloud,FeelingType,0,0,0,0,0,4,0,0,0,-1,0,1,,unBand.Cloud.BandEventBase
unBand.Cloud,HeartRateZones,0,0,7,0,0,10,0,0,0,-1,0,2,,unBand.Cloud.ExerciseEventSequenceItem' unBand.Cloud.HeartRateSummary
unBand.Cloud,HeartRateSummary,0,1,8,0,1,20,1,0,0,-1,1,4,unBand.Cloud.HeartRateZones,unBand.Cloud.UserDailyActivity' unBand.Cloud.BandEventInfoItem' unBand.Cloud.EventBaseSequenceItem' unBand.Cloud.BandEventBase
unBand.Cloud,BandEventInfoItem,0,1,10,0,1,31,1,0,0,-1,1,1,unBand.Cloud.HeartRateSummary,unBand.Cloud.BandEventBase
unBand.Cloud,BandExerciseEventBase,0,3,9,0,3,77,3,4,1,-1,1,4,unBand.Cloud.BandEventBase,unBand.Cloud.BikeEvent' unBand.Cloud.UserGuidedWorkoutEvent' unBand.Cloud.UserWorkoutEvent' unBand.Cloud.RunEvent
