Namespace,Type,Method,LOC,CC,PC
BridgeVs.Build,SInjection,SInjection,8,2,2
BridgeVs.Build,SInjection,Patch,17,2,0
BridgeVs.Build,SInjection,GetSerializableTypes,7,1,0
BridgeVs.Build,SInjection,InjectSerialization,21,3,1
BridgeVs.Build,SInjection,GetTypesToInject,18,1,0
BridgeVs.Build,SInjection,AddSinjectionAttribute,24,1,0
BridgeVs.Build,SInjection,CheckIfAlreadySInjected,11,1,0
BridgeVs.Build,SInjection,GetReaderParameters,18,2,0
BridgeVs.Build,SInjection,GetWriterParameters,13,3,0
BridgeVs.Build,SInjection,SetNonSerializedFields,14,2,1
BridgeVs.Build,SInjection,WriteAssembly,14,2,0
BridgeVs.Build,SInjection,Dispose,3,1,0
BridgeVs.Build.Tasks,CleanBuildTask,Execute,24,3,0
BridgeVs.Build.Tasks,MapperBuildTask,Execute,9,1,0
BridgeVs.Build.Tasks,MapperBuildTask,Create3RdPartyVisualizers,41,4,0
BridgeVs.Build.Tasks,MapperBuildTask,CreateDebuggerVisualizer,19,1,0
BridgeVs.Build.Tasks,MapperBuildTask,CreateDotNetFrameworkVisualizer,30,2,0
BridgeVs.Build.Tasks,MapperBuildTask,MapDotNetFrameworkTypes,44,3,1
BridgeVs.Build.Tasks,SInjectionBuildTask,Execute,21,1,0
BridgeVs.Build.TypeMapper,VisualizerAttributeInjector,GetAssemblyResolver,5,1,1
BridgeVs.Build.TypeMapper,VisualizerAttributeInjector,VisualizerAttributeInjector,35,3,2
BridgeVs.Build.TypeMapper,VisualizerAttributeInjector,InitializeDebuggerAssembly,27,2,0
BridgeVs.Build.TypeMapper,VisualizerAttributeInjector,RemapAssembly,8,2,0
BridgeVs.Build.TypeMapper,VisualizerAttributeInjector,MapType,27,5,1
BridgeVs.Build.TypeMapper,VisualizerAttributeInjector,MapType,4,1,1
BridgeVs.Build.TypeMapper,VisualizerAttributeInjector,MapTypesFromAssembly,17,2,1
BridgeVs.Build.TypeMapper,VisualizerAttributeInjector,SaveDebuggerVisualizer,12,2,2
BridgeVs.Build.TypeMapper,VisualizerAttributeInjector,DeployReferences,3,1,2
BridgeVs.Build.TypeMapper,VisualizerAttributeInjector,FromCilToTypeName,3,1,1
BridgeVs.Build.TypeMapper,VisualizerAttributeInjector,Dispose,4,1,0
BridgeVs.Build.Util,EnumerableExtension,ForEach,7,2,2
BridgeVs.Build.Util,ReflectionUtils,AddParameterlessConstructor,21,3,1
BridgeVs.Build.Util,ReflectionUtils,AddDefaultConstructor,40,5,1
BridgeVs.Build.Util,TypeReferenceExtension,_CloneMethodWithDeclaringType,21,4,2
BridgeVs.Build.Util,TypeReferenceExtension,ReferenceMethod,3,1,2
BridgeVs.Build.Util,TypeReferenceExtension,ReferenceField,8,2,2
BridgeVs.Build.Util,TypeReferenceExtension,ReferencePropertyGetter,8,2,2
BridgeVs.Build.Util,TypeReferenceExtension,ReferencePropertySetter,8,2,2
BridgeVs.Build.Util,VisualizerAssemblyNameFormat,GetTargetVisualizerAssemblyName,8,2,2
BridgeVs.Build.Util,VisualizerAssemblyNameFormat,GetDotNetVisualizerName,4,1,1
