Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
BEurtle,WindowSettings,0,3,0,0,1,6,3,0,0,-1,1,2,nedprod.WindowSettings,BEurtle.IssueDetail' BEurtle.IssuesForm
BEurtle,BEIssue,0,1,5,0,1,12,1,0,0,-1,0,2,,BEurtle.IssuesForm' BEurtle.BEurtlePlugin
BEurtle,ShowCommentCountType,0,0,0,0,0,1,0,0,0,-1,0,3,,BEurtle.ParseParameters' BEurtle.OptionsDialog' BEurtle.IssuesForm
BEurtle,ParseParameters,10,2,0,9,2,103,24,0,0,0,4,2,BEurtle.ShowCommentCountType' BEurtle.BEurtlePlugin' BEurtle.Win32' BEurtle.EXTENDED_NAME_FORMAT,BEurtle.OptionsDialog' BEurtle.BEurtlePlugin
BEurtle,BEurtlePlugin,9,14,0,9,14,360,62,0,1,0.36,7,4,BEurtle.BEIssue' BEurtle.ParseParameters' BEurtle.Win32Window' BEurtle.IssuesForm' BEurtle.OptionsDialog' Interop.BugTraqProvider.IBugTraqProvider2' nedprod.LastModifiedInDirs,BEurtle.OptionsDialog' BEurtle.IssuesForm' BEurtle.ParseParameters' BEurtle.IssueDetail
BEurtle,Win32Window,1,1,1,0,1,12,1,0,0,0,0,2,,BEurtle.IssuesForm' BEurtle.BEurtlePlugin
BEurtle,IssueDetail,78,54,1,0,3,2034,154,0,0,0.04,4,1,BEurtle.WindowSettings' BEurtle.BEurtlePlugin' BEurtle.uuid_xpath' BEurtle.TemporarySaveFile,BEurtle.IssuesForm
BEurtle,uuid_xpath,2,1,0,2,1,10,1,0,0,0,0,1,,BEurtle.IssueDetail
BEurtle,TemporarySaveFile,3,3,0,2,2,46,7,0,0,0,0,1,,BEurtle.IssueDetail
BEurtle,IssuesForm,76,49,0,0,3,1315,146,0,0,0.1,8,1,BEurtle.WindowSettings' BEurtle.BEIssue' BEurtle.ShowCommentCountType' BEurtle.BEurtlePlugin' BEurtle.Win32Window' BEurtle.IssueDetail' BEurtle.OptionsDialog' BEurtle.Win32,BEurtle.BEurtlePlugin
BEurtle,OptionsDialog,30,12,0,2,1,514,25,0,0,0.5,3,2,BEurtle.ShowCommentCountType' BEurtle.ParseParameters' BEurtle.BEurtlePlugin,BEurtle.BEurtlePlugin' BEurtle.IssuesForm
BEurtle,Win32,1,2,0,1,2,21,2,0,0,1,0,2,,BEurtle.IssuesForm' BEurtle.ParseParameters
BEurtle,EXTENDED_NAME_FORMAT,0,0,0,0,0,13,0,0,0,-1,0,1,,BEurtle.ParseParameters
Interop.BugTraqProvider,IBugTraqProvider,0,3,0,0,0,35,3,1,0,-1,0,1,,Interop.BugTraqProvider.IBugTraqProvider2
Interop.BugTraqProvider,IBugTraqProvider2,0,8,0,0,0,114,8,1,1,-1,1,1,Interop.BugTraqProvider.IBugTraqProvider,BEurtle.BEurtlePlugin
nedprod,LastModifiedInDirs,0,1,0,0,1,14,5,0,0,-1,0,1,,BEurtle.BEurtlePlugin
nedprod,Resource1,2,1,14,0,0,161,1,0,0,0,0,0,,
nedprod,WindowSettings,4,6,0,3,3,135,11,0,0,0,1,1,nedprod.MD5Sum,BEurtle.WindowSettings
nedprod,MD5Sum,2,8,0,0,8,63,12,0,0,0.38,0,1,,nedprod.WindowSettings
