Method,LOC,CC,PC
MyExtension:GetInt,3,1,1
LinearScale:LinearScale,5,1,0
LinearScale:ConfigureProcessor,269,1,1
LinearScale:ProcessDataSet,37,3,1
LinearScale:ProcessDataVector,3,1,1
LinearScale:ProcessIdealVector,16,4,1
LinearScale:ProcessInputVector,21,5,1
LinearScale:RestoreDataSet,20,5,1
LinearScale:RestoreDataVector,3,1,1
LinearScale:RestoreIdealVector,7,2,1
LinearScale:RestoreInputVector,11,3,1
LinearScale:x06732b07a8898f0c,9,2,2
LinearScale:x216ca410910e9fbf,9,2,2
LinearScale:x716bafe7619d8264,4,1,1
LinearScale:x7ca854d9be2e6e12,9,2,2
LinearScale:xad1d75c4f41a1f7d,4,1,1
LinearScale:xeffafd493ff94c71,9,2,2
MediatorNsimLinearScale:MediatorNsimLinearScale,53,1,0
MediatorNsimLinearScale:DataProcessorM,11,2,1
MediatorNsimLinearScale:ConvertToScalerC,8,2,2
MediatorNsimLinearScale:ProcessDataSet,3,1,1
MediatorNsimLinearScale:ProcessDataVector,3,1,1
MediatorNsimLinearScale:ProcessIdealVector,3,1,1
MediatorNsimLinearScale:ProcessInputVector,3,1,1
MediatorNsimLinearScale:RestoreDataSet,3,1,1
MediatorNsimLinearScale:RestoreDataVector,3,1,1
MediatorNsimLinearScale:RestoreIdealVector,3,1,1
MediatorNsimLinearScale:RestoreInputVector,3,1,1
