Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
WcfTimeService.DataSevice,BookStoreDataService,1,4,0,0,2,43,4,0,0,0.5,0,0,,
WcfTimeService.DataSevice,BookStoreEntities,1,5,1,0,4,68,5,0,0,0.4,1,0,WcfTimeService.DataSevice.Book,
WcfTimeService.DataSevice,Book,3,7,3,0,1,98,7,0,0,1,0,1,,WcfTimeService.DataSevice.BookStoreEntities
WcfTimeService,Global,0,1,0,0,0,11,1,0,0,-1,0,0,,
WcfTimeService,InstanceContextModeDefinition,1,0,0,1,0,16,0,0,0,-1,0,0,,
WcfTimeService,ISystemClock,0,0,1,0,0,8,0,1,0,-1,0,2,,WcfTimeService.TimeWebService.TimeWebService' WcfTimeService.TimeService.TimeService
WcfTimeService,ServiceModule,0,1,0,0,1,11,1,0,0,-1,0,0,,
WcfTimeService,SystemClock,0,0,1,0,0,11,0,0,1,-1,0,0,,
WcfTimeService.TimeWebService,ITimeWebService,0,2,0,0,0,19,2,1,0,-1,0,0,,
WcfTimeService.TimeWebService,TimeWebService,1,4,0,0,4,39,4,0,1,0.5,1,0,WcfTimeService.ISystemClock,
WcfTimeService.TimeService,TimeService,1,3,0,0,3,33,3,0,1,0.67,1,0,WcfTimeService.ISystemClock,
WcfTimeService.TimeService,ITimeService,0,1,0,0,0,11,1,1,0,-1,0,0,,
