Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AuthenticationFailedArgs,0,0,1,0,0,7,0,0,0,-1,0,2
LaunchFailedArgs,0,0,2,0,0,11,0,0,0,-1,0,2
LogLaunchArgs,0,0,5,0,0,23,0,0,0,-1,0,4
MinerLaunchException,0,2,0,0,1,10,2,0,0,-1,0,0
Miner,5,16,0,0,5,379,70,0,0,0.12,12,3
MinerParameter,11,0,0,11,0,14,0,0,0,-1,0,2
AlgorithmNames,14,0,0,14,0,17,0,0,0,-1,0,12
AlgorithmFullNames,14,0,0,14,0,17,0,0,0,-1,0,5
AlgorithmMultipliers,14,0,0,14,0,17,0,0,0,-1,0,2
CoinAlgorithm,0,1,6,0,1,44,1,0,0,-1,0,11
Device,0,1,3,0,1,20,1,0,1,-1,1,8
DeviceDescriptor,3,6,5,0,5,84,8,3,0,0.83,2,10
DeviceKind,0,0,0,0,0,12,0,0,0,-1,0,17
DevicePlatform,0,0,3,0,0,16,0,0,0,-1,0,3
KnownAlgorithm,0,0,3,0,0,15,0,0,0,-1,0,5
KnownAlgorithms,1,0,0,1,0,75,0,0,0,-1,1,4
MiningPool,0,1,7,0,1,40,1,0,0,-1,0,12
DeviceListParser,3,1,0,0,1,41,9,0,0,0,2,1
EnumerateDevicesParser,11,3,0,0,1,102,19,0,0,0,2,1
Miner,0,1,17,0,1,81,1,0,0,-1,3,6
