Namespace,Type,Method,LOC,CC,PC
OpenRasta.Plugins.ReverseProxy,FluentApiExtensions,ReverseProxyFor,7,1,2
OpenRasta.Plugins.ReverseProxy,FluentApiExtensions,ReverseProxy,46,4,2
OpenRasta.Plugins.ReverseProxy,ForwardedHeader,Parse,3,1,1
OpenRasta.Plugins.ReverseProxy,ForwardedHeader,TryGetValue,0,1,2
OpenRasta.Plugins.ReverseProxy,ForwardedHeaderParser,ForwardedHeaderParser,4,1,1
OpenRasta.Plugins.ReverseProxy,ForwardedHeaderParser,Parse,9,3,0
OpenRasta.Plugins.ReverseProxy,ForwardedHeaderParser,TryReadHeader,12,4,1
OpenRasta.Plugins.ReverseProxy,ForwardedHeaderParser,TryReadPair,10,2,1
OpenRasta.Plugins.ReverseProxy,ForwardedHeaderParser,TryReadValue,3,1,1
OpenRasta.Plugins.ReverseProxy,ForwardedHeaderParser,TryReadQuotedString,21,4,1
OpenRasta.Plugins.ReverseProxy,ForwardedHeaderParser,AtEnd,3,1,0
OpenRasta.Plugins.ReverseProxy,ForwardedHeaderParser,TryPeekChar,4,2,1
OpenRasta.Plugins.ReverseProxy,ForwardedHeaderParser,TryReadChar,7,3,1
OpenRasta.Plugins.ReverseProxy,ForwardedHeaderParser,TryReadToken,20,3,1
OpenRasta.Plugins.ReverseProxy,HttpHeaderClassification,IsAppendedOnForwardHeader,0,1,1
OpenRasta.Plugins.ReverseProxy,HttpHeaderClassification,IsHopByHopHeader,0,1,1
OpenRasta.Plugins.ReverseProxy,HttpHeaderClassification,IsMicrosoftHttpContentHeader,0,1,1
OpenRasta.Plugins.ReverseProxy,ReverseProxy,ReverseProxy,9,1,6
OpenRasta.Plugins.ReverseProxy,ReverseProxy,Send,46,1,2
OpenRasta.Plugins.ReverseProxy,ReverseProxy,AppendViaHeaderToRequest,5,1,2
OpenRasta.Plugins.ReverseProxy,ReverseProxy,PrepareRequestBody,6,2,2
OpenRasta.Plugins.ReverseProxy,ReverseProxy,PrepareRequestHeaders,58,12,3
OpenRasta.Plugins.ReverseProxy,ReverseProxy,GetProxyTargetUri,39,4,3
OpenRasta.Plugins.ReverseProxy,ReverseProxy,CurrentForwarded,3,1,1
OpenRasta.Plugins.ReverseProxy,ReverseProxyConstants,GetReverseProxyTarget,3,1,1
OpenRasta.Plugins.ReverseProxy,ReverseProxyConstants,TryGetReverseProxyTarget,10,2,2
OpenRasta.Plugins.ReverseProxy,ReverseProxyConstants,ReverseProxyTarget,3,1,2
OpenRasta.Plugins.ReverseProxy,ReverseProxyFailedRequestException,ReverseProxyFailedRequestException,3,1,2
OpenRasta.Plugins.ReverseProxy,ReverseProxyHandler,ReverseProxyHandler,4,1,2
OpenRasta.Plugins.ReverseProxy,ReverseProxyHandler,Any,9,3,1
OpenRasta.Plugins.ReverseProxy,ReverseProxyHandler,CreateMissingKeyLogMessage,5,1,0
OpenRasta.Plugins.ReverseProxy,ReverseProxyHandler,CreateNullResourceLogMessage,5,1,0
OpenRasta.Plugins.ReverseProxy,ReverseProxyOperationResult,ReverseProxyOperationResult,3,1,1
OpenRasta.Plugins.ReverseProxy,ReverseProxyOptions,ReverseProxyOptions,2,1,0
OpenRasta.Plugins.ReverseProxy,ReverseProxyResponse,ReverseProxyResponse,7,1,5
OpenRasta.Plugins.ReverseProxy,ReverseProxyResponse,Dispose,4,1,0
OpenRasta.Plugins.ReverseProxy,ReverseProxyResponseCodec,ReverseProxyResponseCodec,4,1,1
OpenRasta.Plugins.ReverseProxy,ReverseProxyResponseCodec,WriteTo,31,5,3
OpenRasta.Plugins.ReverseProxy,ReverseProxyResponseCodec,SetHeader,14,3,2
OpenRasta.Plugins.ReverseProxy,RewriteAppBaseUsingForwardedHeaders,Initialize,3,1,1
OpenRasta.Plugins.ReverseProxy,RewriteAppBaseUsingForwardedHeaders,RewriteAppBase,33,9,1
OpenRasta.Plugins.ReverseProxy.HttpClientFactory,RoundRobinHttpClientFactory,RoundRobinHttpClientFactory,8,1,3
OpenRasta.Plugins.ReverseProxy.HttpClientFactory,RoundRobinHttpClientFactory,GetClient,13,1,0
OpenRasta.Plugins.ReverseProxy.HttpClientFactory,RoundRobinHttpClientFactory,CreateActiveHandler,3,1,1
OpenRasta.Plugins.ReverseProxy.HttpClientFactory,RoundRobinHttpClientFactory,EvictHandler,6,2,1
OpenRasta.Plugins.ReverseProxy.HttpClientFactory,RoundRobinHttpClientFactory,Cleanup,18,5,0
OpenRasta.Plugins.ReverseProxy.HttpClientFactory,RoundRobinHttpClientFactory,ScheduleCleanup,4,2,0
OpenRasta.Plugins.ReverseProxy.HttpClientFactory,HttpClientFactoryException,HttpClientFactoryException,2,1,1
OpenRasta.Plugins.ReverseProxy.HttpClientFactory,ActiveHandler,ActiveHandler,6,1,4
OpenRasta.Plugins.ReverseProxy.HttpClientFactory,ActiveHandler,SendAsync,21,2,2
OpenRasta.Plugins.ReverseProxy.HttpClientFactory,ActiveHandler,Evict,8,2,1
OpenRasta.Plugins.ReverseProxy.HttpClientFactory,EvictedHandler,EvictedHandler,4,1,1
OpenRasta.Plugins.ReverseProxy.HttpClientFactory,EvictedHandler,Dispose,3,1,0
OpenRasta.Plugins.ReverseProxy.HttpMessageHandlers,DelegateHandler,DelegateHandler,3,1,1
OpenRasta.Plugins.ReverseProxy.HttpMessageHandlers,DelegateHandler,SendAsync,0,1,2
OpenRasta.Plugins.ReverseProxy.HttpMessageHandlers,LockToIPAddress,LockToIPAddress,3,1,2
OpenRasta.Plugins.ReverseProxy.HttpMessageHandlers,LockToIPAddress,SendAsync,12,2,2
OpenRasta.Plugins.ReverseProxy.HttpMessageHandlers,LockToIPAddress,EnsureLockOnIPAddress,21,4,3
