Design smell,Namespace,Class,File,Cause
Duplicate Abstraction,UnitTests,SourceForgeBugs,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\SourceForgeBugs.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  SourceForgeBugs (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\SourceForgeBugs.cs' [2' 24])' TestAES (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestAES.cs' [2' 24])' TestDH (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestDH.cs' [2' 24])' TestDSA (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestDSA.cs' [2' 24])' TestRSA (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestRSA.cs' [2' 24])' TestECDH (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestECDH.cs' [2' 24])' TestHMAC (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestHMAC.cs' [2' 24])' TestRandom (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestRandom.cs' [2' 24])' TestECDSA (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestECDSA.cs' [2' 24])' TestCryptoKey (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestCryptoKey.cs' [2' 24])' TestX509Certificate (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestX509Certificate.cs' [2' 24])' TestBase (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestBase.cs' [2' 24])' TestSHA (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSHA.cs' [2' 24])' TestSHA1 (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSHA1.cs' [2' 24])' TestSHA256 (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSHA256.cs' [2' 24])' TestSHA512 (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSHA512.cs' [2' 24])' TestX509 (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestX509.cs' [2' 24])' SslTestContext (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSSL.cs' [3' 25])
Duplicate Abstraction,UnitTests,SourceForgeBugs,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\SourceForgeBugs.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  SourceForgeBugs (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\SourceForgeBugs.cs' [2' 25])' TestECDSA (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestECDSA.cs' [2' 25])' TestCryptoKey (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestCryptoKey.cs' [2' 25])' TestX509Certificate (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestX509Certificate.cs' [2' 25])' TestBase (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestBase.cs' [2' 25])' TestSHA (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSHA.cs' [2' 25])' TestSHA1 (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSHA1.cs' [2' 25])' TestSHA256 (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSHA256.cs' [2' 25])' TestSHA512 (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSHA512.cs' [2' 25])' TestX509 (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestX509.cs' [2' 25])' SslTestContext (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSSL.cs' [3' 26])
Duplicate Abstraction,UnitTests,SourceForgeBugs,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\SourceForgeBugs.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  SourceForgeBugs (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\SourceForgeBugs.cs' [2' 26])' TestBase (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestBase.cs' [2' 26])' TestSHA (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSHA.cs' [2' 26])' TestSHA1 (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSHA1.cs' [2' 26])' TestSHA256 (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSHA256.cs' [2' 26])' TestSHA512 (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSHA512.cs' [2' 26])' TestX509 (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestX509.cs' [2' 26])' SslTestContext (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSSL.cs' [3' 27])' TestAES (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestAES.cs' [2' 26])' TestDH (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestDH.cs' [2' 26])' TestECDH (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestECDH.cs' [2' 26])' TestRandom (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestRandom.cs' [2' 26])' TestDSA (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestDSA.cs' [2' 26])' TestRSA (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestRSA.cs' [2' 26])' TestHMAC (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestHMAC.cs' [2' 26])' TestX509Certificate (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestX509Certificate.cs' [2' 26])
Duplicate Abstraction,UnitTests,TestAES,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestAES.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  TestAES (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestAES.cs' [2' 28])' TestHMAC (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestHMAC.cs' [2' 28])' TestSHA (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSHA.cs' [2' 28])' TestX509 (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestX509.cs' [2' 28])' SslTestContext (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSSL.cs' [3' 29])' TestSHA1 (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSHA1.cs' [2' 28])' TestSHA256 (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSHA256.cs' [2' 28])' TestSHA512 (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSHA512.cs' [2' 28])
Imperative Abstraction,UnitTests,TestDSA,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestDSA.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: TestCase
Duplicate Abstraction,UnitTests,TestECDH,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestECDH.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  TestECDH (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestECDH.cs' [1' 20])' TestECDSA (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestECDSA.cs' [1' 20])' SslTestContext (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSSL.cs' [2' 21])
Imperative Abstraction,UnitTests,TestSHA256,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSHA256.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: TestCase
Imperative Abstraction,UnitTests,TestSHA512,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSHA512.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: TestCase
Unutilized Abstraction,UnitTests,TestCipher,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestCipher.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,UnitTests,TestVersion,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestVersion.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,UnitTests,TestBigNumber,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestBigNumber.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,UnitTests,SslTestContext,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSSL.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  SslTestContext (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSSL.cs' [176' 200])' SslTestContext (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSSL.cs' [253' 277])
Duplicate Abstraction,UnitTests,SslTestContext,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSSL.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  SslTestContext (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSSL.cs' [176' 197])' SslTestContext (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSSL.cs' [339' 360])' SslTestContext (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSSL.cs' [253' 274])
Deficient Encapsulation,UnitTests,SslTestContext,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSSL.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CAChain' ClientCertificateList' ServerCertificate' ClientCertificate
Insufficient Modularization,UnitTests,TestX509Certificate,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestX509Certificate.cs,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
Broken Modularization,UnitTests,Resources,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\Util.cs,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields and properties are declared in this class: ' CaCrt' CaDer' CaChainP7c' CaChainP7cPem' CaChainPem' ClientCrt' ClientPfx' ClientKey' ServerCrt' ServerPfx' ServerKey' Password
Unfactored Hierarchy,UnitTests,SourceForgeBugs,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\SourceForgeBugs.cs,The tool detected the smell because a set of code clones has been found where at least one pair of classes belong to the same inheritance hierarchy. List of classes with start and end line numbers where clones has been found are:  SourceForgeBugs (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\SourceForgeBugs.cs' [2' 27])' TestX509Certificate (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestX509Certificate.cs' [2' 27])' TestAES (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestAES.cs' [2' 27])' TestDSA (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestDSA.cs' [2' 27])' TestRSA (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestRSA.cs' [2' 27])' TestHMAC (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestHMAC.cs' [2' 27])
Broken Hierarchy,UnitTests,SourceForgeBugs,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\SourceForgeBugs.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): UnitTests.TestBase
Unfactored Hierarchy,UnitTests,TestAES,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestAES.cs,The tool detected the smell because a set of code clones has been found where at least one pair of classes belong to the same inheritance hierarchy. List of classes with start and end line numbers where clones has been found are:  TestAES (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestAES.cs' [1' 20])' TestDH (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestDH.cs' [1' 20])' TestDSA (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestDSA.cs' [1' 20])' TestRSA (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestRSA.cs' [1' 20])' TestHMAC (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestHMAC.cs' [1' 20])' TestRandom (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestRandom.cs' [1' 20])' TestSHA (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSHA.cs' [1' 20])' TestSHA1 (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSHA1.cs' [1' 20])' TestSHA256 (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSHA256.cs' [1' 20])' TestSHA512 (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestSHA512.cs' [1' 20])
Broken Hierarchy,UnitTests,TestAES,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestAES.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): UnitTests.TestBase
Broken Hierarchy,UnitTests,TestDH,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestDH.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): UnitTests.TestBase
Broken Hierarchy,UnitTests,TestDSA,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestDSA.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): UnitTests.TestBase
Broken Hierarchy,UnitTests,TestRSA,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestRSA.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): UnitTests.TestBase
Broken Hierarchy,UnitTests,TestECDH,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestECDH.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): UnitTests.TestBase
Unfactored Hierarchy,UnitTests,TestECDSA,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestECDSA.cs,The tool detected the smell because a set of code clones has been found where at least one pair of classes belong to the same inheritance hierarchy. List of classes with start and end line numbers where clones has been found are:  TestECDSA (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestECDSA.cs' [2' 29])' TestCryptoKey (C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestCryptoKey.cs' [2' 29])
Broken Hierarchy,UnitTests,TestECDSA,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestECDSA.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): UnitTests.TestBase
Broken Hierarchy,UnitTests,TestCryptoKey,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestCryptoKey.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): UnitTests.TestBase
Broken Hierarchy,UnitTests,TestX509Certificate,C:\research\architectureSmells\repos\openssl-net_openssl-net\test\TestX509Certificate.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): UnitTests.TestBase
