Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Playr.Api,ApplicationSettings,7,0,0,7,0,10,0,0,0,-1,0,4,,Playr.Api.Controller.FanartController' Playr.Api.Helpers' Playr.Api.Program' Playr.Api.Controller.InfoController
Playr.Api,Helpers,5,11,1,3,11,140,19,0,0,0.55,3,5,Playr.Api.ApplicationSettings' Playr.Api.Models.Song' Playr.Api.Models.User,Playr.Api.Program' Playr.Api.Controller.FanartController' Playr.Api.RequireTokenAttribute' Playr.Api.Controller.InfoController' Playr.Api.Controller.UsersController
Playr.Api,HttpContentExtensions,0,1,0,0,1,31,2,0,0,-1,0,0,,
Playr.Api,RequireTokenAttribute,0,1,0,0,1,20,3,0,0,-1,2,3,Playr.Api.Helpers' Playr.Api.Models.User,Playr.Api.Controller.UsersController' Playr.Api.Controller.InfoController' Playr.Api.Controller.ControlController
Playr.Api,Program,0,5,0,0,3,100,10,0,0,-1,5,0,Playr.Api.ApplicationSettings' Playr.Api.Helpers' Playr.Api.Routes' Playr.Api.Handelrs.CorsHandler' Playr.Api.Hubs.PlayrHub,
Playr.Api,Resources,2,1,3,0,0,51,1,0,0,0,0,1,,Playr.Api.Controller.InfoController
Playr.Api,Routes,0,1,0,0,1,133,1,0,0,-1,0,1,,Playr.Api.Program
Playr.Api.Controller,FanartController,2,5,0,1,2,173,20,0,0,0.4,5,0,Playr.Api.ApplicationSettings' Playr.Api.Helpers' Playr.Api.Controller.SearchResult' Playr.Api.Controller.artistResults' Playr.Api.Controller.artist,
Playr.Api.Controller,SearchResult,0,0,2,0,0,6,0,0,0,-1,0,1,,Playr.Api.Controller.FanartController
Playr.Api.Controller,artistResults,0,0,1,0,0,5,0,0,0,-1,0,1,,Playr.Api.Controller.FanartController
Playr.Api.Controller,artist,0,0,2,0,0,5,0,0,0,-1,0,1,,Playr.Api.Controller.FanartController
Playr.Api.Controller,InfoController,1,11,0,0,11,265,28,0,0,0.18,7,0,Playr.Api.ApplicationSettings' Playr.Api.Helpers' Playr.Api.RequireTokenAttribute' Playr.Api.Resources' Playr.Api.Models.DjInfo' Playr.Api.Models.Song' Playr.Api.Models.User,
Playr.Api.Controller,ControlController,1,9,0,0,9,68,10,0,0,0,1,0,Playr.Api.RequireTokenAttribute,
Playr.Api.Controller,UsersController,0,3,0,0,3,72,9,0,0,-1,3,0,Playr.Api.Helpers' Playr.Api.RequireTokenAttribute' Playr.Api.Models.User,
Playr.Api.Handelrs,CorsHandler,6,1,0,0,0,52,5,0,0,0,0,1,,Playr.Api.Program
Playr.Api.Hubs,PlayrHub,0,0,0,0,0,4,0,0,0,-1,0,1,,Playr.Api.Program
Playr.Api.Models,DjInfo,0,1,3,0,1,12,1,0,0,-1,1,1,Playr.Api.Models.Song,Playr.Api.Controller.InfoController
Playr.Api.Models,Song,0,0,11,0,0,14,0,0,0,-1,0,4,,Playr.Api.Controller.InfoController' Playr.Api.Models.User' Playr.Api.Models.DjInfo' Playr.Api.Helpers
Playr.Api.Models,User,0,1,4,0,1,12,1,0,0,-1,1,4,Playr.Api.Models.Song,Playr.Api.Helpers' Playr.Api.RequireTokenAttribute' Playr.Api.Controller.UsersController' Playr.Api.Controller.InfoController
