Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
FluentAop.Interceptors,Callback,1,3,1,0,1,11,3,4,0,1,1,2,FluentAop.Interceptors.ICallbackVisitor,FluentAop.Interceptors.CallbackBase' FluentAop.Interceptors.InterceptorState
FluentAop.Interceptors,CallbackBase,1,3,0,0,1,14,4,3,1,0,1,0,FluentAop.Interceptors.Callback,
FluentAop.Interceptors,CallbackCollection,0,2,0,0,2,9,2,0,0,-1,0,4,,FluentAop.Interceptors.InterceptorContext' FluentAop.Interceptors.InterceptorState' FluentAop.Interceptors.MethodWrapper' FluentAop.Proxy<T>
FluentAop.Interceptors,ICallbackVisitor,0,6,0,0,0,9,6,1,0,-1,6,7,FluentAop.Interceptors.OnBeforeCallback' FluentAop.Interceptors.OnInvokeCallback' FluentAop.Interceptors.OnCatchCallback' FluentAop.Interceptors.OnFinallyCallback' FluentAop.Interceptors.OnAfterCallback' FluentAop.Interceptors.OnReturnCallback,FluentAop.Interceptors.Callback' FluentAop.Interceptors.OnAfterCallback' FluentAop.Interceptors.OnBeforeCallback' FluentAop.Interceptors.OnCatchCallback' FluentAop.Interceptors.OnFinallyCallback' FluentAop.Interceptors.OnInvokeCallback' FluentAop.Interceptors.OnReturnCallback
FluentAop.Interceptors,OnAfterCallback,0,3,0,0,3,6,3,0,2,-1,1,4,FluentAop.Interceptors.ICallbackVisitor,FluentAop.Interceptors.ICallbackVisitor' FluentAop.Interceptors.SelectCallbackVisitor' FluentAop.Interceptors.InterceptorState' FluentAop.Proxy<T>
FluentAop.Interceptors,OnBeforeCallback,0,3,0,0,3,6,3,0,2,-1,1,4,FluentAop.Interceptors.ICallbackVisitor,FluentAop.Interceptors.ICallbackVisitor' FluentAop.Interceptors.SelectCallbackVisitor' FluentAop.Interceptors.InterceptorState' FluentAop.Proxy<T>
FluentAop.Interceptors,OnCatchCallback,2,4,0,0,4,22,5,0,1,0.5,1,4,FluentAop.Interceptors.ICallbackVisitor,FluentAop.Interceptors.ICallbackVisitor' FluentAop.Interceptors.SelectCallbackVisitor' FluentAop.Interceptors.InterceptorState' FluentAop.Proxy<T>
FluentAop.Interceptors,OnFinallyCallback,0,3,0,0,3,7,3,0,2,-1,1,4,FluentAop.Interceptors.ICallbackVisitor,FluentAop.Interceptors.ICallbackVisitor' FluentAop.Interceptors.SelectCallbackVisitor' FluentAop.Interceptors.InterceptorState' FluentAop.Proxy<T>
FluentAop.Interceptors,OnInvokeCallback,2,4,0,0,4,23,5,0,1,0.5,1,4,FluentAop.Interceptors.ICallbackVisitor,FluentAop.Interceptors.ICallbackVisitor' FluentAop.Interceptors.SelectCallbackVisitor' FluentAop.Interceptors.InterceptorState' FluentAop.Proxy<T>
FluentAop.Interceptors,OnReturnCallback,2,4,0,0,4,22,5,0,1,0.5,1,4,FluentAop.Interceptors.ICallbackVisitor,FluentAop.Interceptors.ICallbackVisitor' FluentAop.Interceptors.SelectCallbackVisitor' FluentAop.Interceptors.InterceptorState' FluentAop.Proxy<T>
FluentAop.Interceptors,SelectCallbackVisitor,6,6,6,0,6,41,6,0,1,1,6,1,FluentAop.Interceptors.OnBeforeCallback' FluentAop.Interceptors.OnInvokeCallback' FluentAop.Interceptors.OnCatchCallback' FluentAop.Interceptors.OnFinallyCallback' FluentAop.Interceptors.OnAfterCallback' FluentAop.Interceptors.OnReturnCallback,FluentAop.Interceptors.InterceptorState
FluentAop.Interceptors,InterceptorStateCollection,0,2,0,0,2,10,2,0,0,-1,0,2,,FluentAop.Interceptors.InterceptorContext' FluentAop.Proxy<T>
FluentAop.Interceptors,IInterceptorState,0,0,3,0,0,6,0,1,0,-1,0,0,,
FluentAop.Interceptors,InterceptorContext,0,3,1,0,1,39,6,0,0,-1,4,1,FluentAop.Interceptors.InterceptorStateCollection' FluentAop.MethodSignature' FluentAop.Interceptors.InterceptorState' FluentAop.Interceptors.CallbackCollection,FluentAop.Proxy<T>
FluentAop.Interceptors,InterceptorState,1,7,3,0,1,56,9,0,1,0,10,1,FluentAop.Interceptors.SelectCallbackVisitor' FluentAop.MethodSignature' FluentAop.Interceptors.CallbackCollection' FluentAop.Interceptors.Callback' FluentAop.Interceptors.OnBeforeCallback' FluentAop.Interceptors.OnInvokeCallback' FluentAop.Interceptors.OnCatchCallback' FluentAop.Interceptors.OnFinallyCallback' FluentAop.Interceptors.OnAfterCallback' FluentAop.Interceptors.OnReturnCallback,FluentAop.Interceptors.InterceptorContext
FluentAop.Interceptors,MethodWrapper,1,12,1,0,12,55,12,1,1,0,1,1,FluentAop.Interceptors.CallbackCollection,FluentAop.Proxy<T>
FluentAop.Interceptors,IMethodWrapper,0,12,1,0,0,16,12,1,0,-1,0,2,,FluentAop.Tests.Examples.Walkthrough' FluentAop.Tests.MethodWrapperTester
FluentAop,ProxyInitializationException,0,4,0,0,3,8,4,0,0,-1,0,0,,
FluentAop,IEnumerableExtensions,0,1,0,0,1,8,2,0,0,-1,1,0,FluentAop.Utility.Require,
FluentAop,Proxy<T>,9,33,2,0,30,263,39,0,0,0.39,13,0,FluentAop.Interceptors.InterceptorContext' FluentAop.Interceptors.InterceptorStateCollection' FluentAop.Utility.Require' FluentAop.Interceptors.OnBeforeCallback' FluentAop.Interceptors.CallbackCollection' FluentAop.Interceptors.OnInvokeCallback' FluentAop.Interceptors.OnCatchCallback' FluentAop.Interceptors.OnFinallyCallback' FluentAop.Interceptors.OnAfterCallback' FluentAop.Interceptors.OnReturnCallback' FluentAop.Interceptors.MethodWrapper' FluentAop.Utility.Confirm' FluentAop.MethodSignature,
