Namespace,Type,Method,LOC,CC,PC
Updater,FileDownloader,FileDownloader,3,1,1
Updater,FileDownloader,GetFiles,8,2,1
Updater,FileDownloader,Download,36,2,0
Updater,FileDownloader,Apply,20,3,1
Updater,FileDownloader,Cleanup,9,1,0
Updater,UpdateChecker,CheckForUpdates,46,7,0
Updater,UpdateChecker,HasUpdate,4,1,0
Updater,UpdateChecker,FetchVersionXML,19,1,0
Updater,UpdateChecker,CalculateMD5,15,2,1
Updater,App,InitializeComponent,8,1,0
Updater,App,Main,5,1,0
Updater,MainWindow,MainWindow,5,1,0
Updater,MainWindow,MainWindow_Loaded,6,1,2
Updater,MainWindow,WaitForExit,10,2,0
Updater,MainWindow,Update,56,5,0
Updater,MainWindow,ShowDownloadingUI,11,2,1
Updater,MainWindow,UpdateStatus,9,2,1
Updater,MainWindow,UpdateProgress,9,2,1
Updater,MainWindow,CloseWindow,9,2,0
Updater,MainWindow,MakeUpdaterBat,27,1,0
Updater,MainWindow,InitializeComponent,13,2,0
Updater,MainWindow,Connect,12,2,2
Updater.Properties,Resources,Resources,2,1,0
