Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,SaveHighScore,Cyclomatic complexity of the method is 8
Complex Method,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,Play,Cyclomatic complexity of the method is 10
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,SideBar,The following statement contains a magic number: Console.SetCursorPosition (width + 7' infoRow++);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,SideBar,The following statement contains a magic number: Console.SetCursorPosition (width + 2' infoRow++);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,SideBar,The following statement contains a magic number: Console.SetCursorPosition (width + 2' infoRow++);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,SideBar,The following statement contains a magic number: Console.SetCursorPosition (width + 2' infoRow += 2);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,SideBar,The following statement contains a magic number: Console.SetCursorPosition (width + 2' infoRow += 2);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,SideBar,The following statement contains a magic number: Console.SetCursorPosition (width + 2' infoRow += 2);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,SideBar,The following statement contains a magic number: Console.SetCursorPosition (width + 2' infoRow += 2);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,SideBar,The following statement contains a magic number: Console.SetCursorPosition (width + 2' infoRow += 7);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,SideBar,The following statement contains a magic number: Console.SetCursorPosition (width + 2' infoRow += 7);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,GameRules,The following statement contains a magic number: Console.SetCursorPosition (0' 3);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,GameRules,The following statement contains a magic number: Console.SetCursorPosition (22' 5);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,GameRules,The following statement contains a magic number: Console.SetCursorPosition (22' 5);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,GameRules,The following statement contains a magic number: Console.SetCursorPosition (22' 7);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,GameRules,The following statement contains a magic number: Console.SetCursorPosition (22' 7);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,GameRules,The following statement contains a magic number: Console.SetCursorPosition (22' 9);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,GameRules,The following statement contains a magic number: Console.SetCursorPosition (22' 9);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,GameRules,The following statement contains a magic number: Console.SetCursorPosition (18' 11);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,GameRules,The following statement contains a magic number: Console.SetCursorPosition (18' 11);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,GameRules,The following statement contains a magic number: Console.SetCursorPosition (0' 22);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,TimeIsUp,The following statement contains a magic number: Console.SetCursorPosition ((100 - width) / 2' 10);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,TimeIsUp,The following statement contains a magic number: Console.SetCursorPosition ((100 - width) / 2' 10);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,TimeIsUp,The following statement contains a magic number: Console.SetCursorPosition ((100 - width) / 2' 10);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,TimeIsUp,The following statement contains a magic number: Console.SetCursorPosition ((100 - width) / 2' 11);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,TimeIsUp,The following statement contains a magic number: Console.SetCursorPosition ((100 - width) / 2' 11);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,TimeIsUp,The following statement contains a magic number: Console.SetCursorPosition ((100 - width) / 2' 11);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,SaveHighScore,The following statement contains a magic number: if (Convert.ToInt32 (highScore [2]) < totalScore) {  	highScore [2] = totalScore.ToString ();  	StreamWriter newscore = new StreamWriter ("../../../../../textFiles/HighScores.txt");  	using (newscore) {  		for (int i = 0; i < highScore.Length; i++) {  			newscore.WriteLine (highScore [i]);  		}  	}  }  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,SaveHighScore,The following statement contains a magic number: if (Convert.ToInt32 (highScore [2]) < totalScore) {  	highScore [2] = totalScore.ToString ();  	StreamWriter newscore = new StreamWriter ("../../../../../textFiles/HighScores.txt");  	using (newscore) {  		for (int i = 0; i < highScore.Length; i++) {  			newscore.WriteLine (highScore [i]);  		}  	}  }  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,SaveHighScore,The following statement contains a magic number: highScore [2] = totalScore.ToString ();  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,Play,The following statement contains a magic number: Console.BufferWidth = Console.WindowWidth = 100;  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,Play,The following statement contains a magic number: Console.BufferHeight = Console.WindowHeight = 25;  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,Play,The following statement contains a magic number: gameTime = new System.Timers.Timer (60000);  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,Play,The following statement contains a magic number: Console.BufferWidth = Console.WindowWidth = 100;  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,Play,The following statement contains a magic number: Console.BufferHeight = Console.WindowHeight = 25;  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,Play,The following statement contains a magic number: using (StreamReader firstFile = new StreamReader (example)) {  	using (StreamReader secondSecond = new StreamReader (answers)) {  		//string firstLine = firstFile.ReadLine();  		//string secondLine = secondSecond.ReadLine();  		List<string> firstLine = new List<string> ();  		for (string line; (line = firstFile.ReadLine ()) != null;) {  			firstLine.Add (line);  		}  		List<string> secondLine = new List<string> ();  		for (string line; (line = secondSecond.ReadLine ()) != null;) {  			secondLine.Add (line);  		}  		Random r = new Random ();  		//stopwatch.Start();  		while (true) {  			SideBar (score' incorrect);  			Console.SetCursorPosition ((100 - width) / 2 - 6' 10);  			int count = firstLine.Count ();  			int index = r.Next (count);  			Console.Write (firstLine [index] + " ");  			answer = Console.ReadLine ();  			if (GameOver == true) {  				GameOver = false;  				return;  			}  			string suggestion = secondLine [index];  			if (suggestion.Equals (answer)) {  				score++;  				Console.SetCursorPosition ((100 - width) / 2 - 6' 11);  				Console.WriteLine ("Correct! :)");  			}  			else {  				incorrect++;  				Console.SetCursorPosition ((100 - width) / 2 - 6' 11);  				Console.WriteLine ("Incorrect :(");  			}  			Thread.Sleep (1000);  			Console.Clear ();  			firstLine.RemoveAt (index);  			secondLine.RemoveAt (index);  		}  	}  }  
Magic Number,Felix_Ivan,Mathematics,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\09. Teamwork (Console Game)\Homework\Felix the Cat Console Game\FinalFelix\MarhFelix\Felix_Ivan\Math.cs,Play,The following statement contains a magic number: using (StreamReader firstFile = new StreamReader (example)) {  	using (StreamReader secondSecond = new StreamReader (answers)) {  		//string firstLine = firstFile.ReadLine();  		//string secondLine = secondSecond.ReadLine();  		List<string> firstLine = new List<string> ();  		for (string line; (line = firstFile.ReadLine ()) != null;) {  			firstLine.Add (line);  		}  		List<string> secondLine = new List<string> ();  		for (string line; (line = secondSecond.ReadLine ()) != null;) {  			secondLine.Add (line);  		}  		Random r = new Random ();  		//stopwatch.Start();  		while (true) {  			SideBar (score' incorrect);  			Console.SetCursorPosition ((100 - width) / 2 - 6' 10);  			int count = firstLine.Count ();  			int index = r.Next (count);  			Console.Write (firstLine [index] + " ");  			answer = Console.ReadLine ();  			if (GameOver == true) {  				GameOver = false;  				return;  			}  			string suggestion = secondLine [index];  			if (suggestion.Equals (answer)) {  				score++;  				Console.SetCursorPosition ((100 - width) / 2 - 6' 11);  				Console.WriteLine ("Correct! :)");  			}  			else {  				incorrect++;  				Console.SetCursorPosition ((100 - width) / 2 - 6' 11);  				Console.WriteLine ("Incorrect :(");  			}  			Thread.Sleep (1000);  			Console.Clear ();  			firstLine.RemoveAt (index);  			secondLine.RemoveAt (index);  		}  	}  }  
