Method,LOC,CC,PC
CreateIssue:CreateIssue,11,1,6
CreateIssue:AddField,3,1,2
JiraApiException:JiraApiException,1,1,0
JiraApiException:JiraApiException,1,1,1
JiraApiException:JiraApiException,1,1,2
ResourceUrls:IssueByKey,3,1,1
ResourceUrls:Issue,3,1,0
ResourceUrls:Search,3,1,0
ResourceUrls:Priority,3,1,0
ResourceUrls:CreateMeta,3,1,0
ResourceUrls:Status,3,1,0
ResourceUrls:Versions,3,1,1
ResourceUrls:Version,3,1,0
ResourceUrls:UpdateVersion,3,1,1
ResourceUrls:ApplicationProperties,3,1,0
ResourceUrls:AttachmentById,3,1,1
ResourceUrls:Project,3,1,0
ResourceUrls:Url,3,1,1
JiraClient:JiraClient,6,1,1
JiraClient:Execute,6,1,2
JiraClient:ValidateResponse,5,2,1
JiraClient:ToCommaSeparatedString,6,2,1
JiraClient:GetIssue,10,1,2
JiraClient:UpdateIssueFields,22,1,2
JiraClient:GetIssuesByJql,29,1,4
JiraClient:GetIssuesByProject,3,1,4
JiraClient:GetProjects,9,1,0
JiraClient:GetPriorities,6,1,0
JiraClient:GetProjectMeta,15,2,1
JiraClient:GetStatuses,6,1,0
JiraClient:CreateVersion,10,1,1
JiraClient:UpdateVersion,10,1,1
JiraClient:GetVersions,8,1,1
JiraClient:CreateIssue,10,1,1
JiraClient:GetApplicationProperty,15,1,1
JiraClient:GetAttachment,9,1,1
JiraClient:DeleteAttachment,10,2,1
JiraClient:UpdateTimetracking,33,1,3
