Method,LOC,CC,PC
SerializationVisitor:SerializationVisitor,6,1,0
SerializationVisitor:Visit,3,1,1
SerializationVisitor:Visit,7,1,1
SerializationVisitor:Visit,60,54,1
SerializationVisitor:Visit,14,9,1
SerializationVisitor:Visit,19,15,1
SerializationVisitor:Visit,15,5,1
SerializationVisitor:Visit,3,1,1
SerializationVisitor:EncapsulateNoValue,13,4,1
TernaryExpression:TernaryExpression,5,1,3
TernaryExpression:Accept,3,1,1
Identifier:Identifier,3,1,1
Identifier:Accept,3,1,1
BinaryExpression:BinaryExpression,5,1,3
BinaryExpression:Accept,3,1,1
Function:Function,4,1,2
Function:Accept,3,1,1
LogicalExpressionVisitor:Visit,1,1,1
LogicalExpressionVisitor:Visit,1,1,1
LogicalExpressionVisitor:Visit,1,1,1
LogicalExpressionVisitor:Visit,1,1,1
LogicalExpressionVisitor:Visit,1,1,1
LogicalExpressionVisitor:Visit,1,1,1
LogicalExpressionVisitor:Visit,1,1,1
LogicalExpression:extractString,41,24,1
LogicalExpression:And,3,1,1
LogicalExpression:And,3,1,1
LogicalExpression:DividedBy,3,1,1
LogicalExpression:DividedBy,3,1,1
LogicalExpression:EqualsTo,3,1,1
LogicalExpression:EqualsTo,3,1,1
LogicalExpression:GreaterThan,3,1,1
LogicalExpression:GreaterThan,3,1,1
LogicalExpression:GreaterOrEqualThan,3,1,1
LogicalExpression:GreaterOrEqualThan,3,1,1
LogicalExpression:LesserThan,3,1,1
LogicalExpression:LesserThan,3,1,1
LogicalExpression:LesserOrEqualThan,3,1,1
LogicalExpression:LesserOrEqualThan,3,1,1
LogicalExpression:Minus,3,1,1
LogicalExpression:Minus,3,1,1
LogicalExpression:Modulo,3,1,1
LogicalExpression:Modulo,3,1,1
LogicalExpression:NotEqual,3,1,1
LogicalExpression:NotEqual,3,1,1
LogicalExpression:Or,3,1,1
LogicalExpression:Or,3,1,1
LogicalExpression:Plus,3,1,1
LogicalExpression:Plus,3,1,1
LogicalExpression:Mult,3,1,1
LogicalExpression:Mult,3,1,1
LogicalExpression:BitwiseOr,3,1,1
LogicalExpression:BitwiseOr,3,1,1
LogicalExpression:BitwiseAnd,3,1,1
LogicalExpression:BitwiseAnd,3,1,1
LogicalExpression:BitwiseXOr,3,1,1
LogicalExpression:BitwiseXOr,3,1,1
LogicalExpression:LeftShift,3,1,1
LogicalExpression:LeftShift,3,1,1
LogicalExpression:RightShift,3,1,1
LogicalExpression:RightShift,3,1,1
LogicalExpression:ToString,5,1,0
LogicalExpression:Accept,3,1,1
UnaryExpression:UnaryExpression,4,1,2
UnaryExpression:Accept,3,1,1
ValueExpression:ValueExpression,4,1,2
ValueExpression:ValueExpression,31,26,1
ValueExpression:ValueExpression,4,1,1
ValueExpression:ValueExpression,4,1,1
ValueExpression:ValueExpression,4,1,1
ValueExpression:ValueExpression,4,1,1
ValueExpression:ValueExpression,4,1,1
ValueExpression:Accept,3,1,1
EvaluationVisitor:EvaluationVisitor,3,1,1
EvaluationVisitor:Evaluate,4,1,1
EvaluationVisitor:Visit,3,1,1
EvaluationVisitor:GetMostPreciseType,8,3,2
EvaluationVisitor:CompareUsingMostPreciseType,4,1,2
EvaluationVisitor:Visit,11,2,1
EvaluationVisitor:IsReal,4,1,1
EvaluationVisitor:Visit,87,55,1
EvaluationVisitor:Visit,15,9,1
EvaluationVisitor:Visit,3,1,1
EvaluationVisitor:Visit,218,147,1
EvaluationVisitor:CheckCase,11,4,2
EvaluationVisitor:OnEvaluateFunction,4,2,2
EvaluationVisitor:Visit,27,5,1
EvaluationVisitor:OnEvaluateParameter,4,2,2
EvaluationException:EvaluationException,2,1,1
EvaluationException:EvaluationException,2,1,2
EvaluateOptionsExtensions:Has,3,1,2
EvaluateOptionsExtensions:IgnoreCase,3,1,1
EvaluateOptionsExtensions:NoCache,3,1,1
EvaluateOptionsExtensions:IterateParameters,3,1,1
EvaluateOptionsExtensions:RoundAwayFromZero,3,1,1
Numbers:ConvertIfString,6,2,1
Numbers:Add,345,36,2
Numbers:Soustract,323,36,2
Numbers:Multiply,295,33,2
Numbers:Divide,295,33,2
Numbers:Modulo,295,33,2
Numbers:Max,39,14,2
Numbers:Min,39,14,2
Expression:Expression,6,2,2
Expression:Expression,6,2,2
Expression:CleanCache,14,2,2
Expression:Compile,39,7,2
Expression:HasErrors,13,3,0
Expression:Evaluate,52,13,0
FunctionArgs:EvaluateParameters,7,2,0
