Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
GooglePlayGames.Editor,GPGSAndroidSetupUI,5,9,0,0,8,376,29,0,0,0.33,6,0,GooglePlayGames.Editor.AndroidSetup' GooglePlayGames.Editor.GPGSStrings' GooglePlayGames.Editor.GPGSProjectSettings' GooglePlayGames.Editor.GPGSUtil' GooglePlayGames.Editor.Setup' GooglePlayGames.Editor.NearbyConnectionUI,
GooglePlayGames.Editor,GPGSDocsUI,0,7,0,0,7,84,10,0,0,-1,4,0,GooglePlayGames.Editor.ExternalLinks' GooglePlayGames.Editor.GPGSStrings' GooglePlayGames.Editor.GPGSUtil' GooglePlayGames.Editor.AndroidSetup,
GooglePlayGames.Editor,GPGSIOSSetupUI,7,9,0,0,6,320,28,0,0,0.33,6,0,GooglePlayGames.Editor.IOSSetup' GooglePlayGames.Editor.GPGSStrings' GooglePlayGames.Editor.GPGSProjectSettings' GooglePlayGames.Editor.GPGSUtil' GooglePlayGames.Editor.Setup' GooglePlayGames.Editor.AndroidSetup,
GooglePlayGames.Editor,GPGSPostBuild,5,3,0,0,1,186,7,0,0,1,2,0,GooglePlayGames.Editor.GPGSProjectSettings' GooglePlayGames.Editor.GPGSUtil,
GooglePlayGames.Editor,GPGSProjectSettings,4,10,1,0,9,135,22,0,0,0.2,0,6,,GooglePlayGames.Editor.GPGSAndroidSetupUI' GooglePlayGames.Editor.GPGSIOSSetupUI' GooglePlayGames.Editor.GPGSPostBuild' GooglePlayGames.Editor.GPGSUpgrader' GooglePlayGames.Editor.GPGSUtil' GooglePlayGames.Editor.NearbyConnectionUI
GooglePlayGames.Editor,GPGSStrings,11,0,0,11,0,145,0,0,0,-1,0,6,,GooglePlayGames.Editor.GPGSAndroidSetupUI' GooglePlayGames.Editor.GPGSDocsUI' GooglePlayGames.Editor.GPGSIOSSetupUI' GooglePlayGames.Editor.GPGSUpgrader' GooglePlayGames.Editor.GPGSUtil' GooglePlayGames.Editor.NearbyConnectionUI
GooglePlayGames.Editor,PostInstall,2,0,0,2,0,9,0,0,0,-1,0,1,,GooglePlayGames.Editor.GPGSUpgrader
GooglePlayGames.Editor,Setup,12,0,0,12,0,20,0,0,0,-1,0,3,,GooglePlayGames.Editor.GPGSAndroidSetupUI' GooglePlayGames.Editor.GPGSIOSSetupUI' GooglePlayGames.Editor.NearbyConnectionUI
GooglePlayGames.Editor,IOSSetup,10,0,0,10,0,17,0,0,0,-1,0,1,,GooglePlayGames.Editor.GPGSIOSSetupUI
GooglePlayGames.Editor,NearbyConnections,3,0,0,3,0,7,0,0,0,-1,0,1,,GooglePlayGames.Editor.NearbyConnectionUI
GooglePlayGames.Editor,AndroidSetup,15,0,0,15,0,35,0,0,0,-1,0,3,,GooglePlayGames.Editor.GPGSAndroidSetupUI' GooglePlayGames.Editor.GPGSDocsUI' GooglePlayGames.Editor.GPGSIOSSetupUI
GooglePlayGames.Editor,ExternalLinks,12,0,0,12,0,31,0,0,0,-1,0,1,,GooglePlayGames.Editor.GPGSDocsUI
GooglePlayGames.Editor,GPGSUpgrader,0,11,0,0,0,409,44,0,0,-1,4,0,GooglePlayGames.Editor.GPGSProjectSettings' GooglePlayGames.Editor.GPGSUtil' GooglePlayGames.Editor.PostInstall' GooglePlayGames.Editor.GPGSStrings,
GooglePlayGames.Editor,GPGSUtil,30,23,0,15,22,513,55,0,0,0.39,2,6,GooglePlayGames.Editor.GPGSProjectSettings' GooglePlayGames.Editor.GPGSStrings,GooglePlayGames.Editor.GPGSAndroidSetupUI' GooglePlayGames.Editor.GPGSDocsUI' GooglePlayGames.Editor.GPGSIOSSetupUI' GooglePlayGames.Editor.GPGSPostBuild' GooglePlayGames.Editor.GPGSUpgrader' GooglePlayGames.Editor.NearbyConnectionUI
GooglePlayGames.Editor,NearbyConnectionUI,1,5,0,0,4,88,10,0,0,0.4,5,1,GooglePlayGames.Editor.NearbyConnections' GooglePlayGames.Editor.GPGSStrings' GooglePlayGames.Editor.GPGSProjectSettings' GooglePlayGames.Editor.GPGSUtil' GooglePlayGames.Editor.Setup,GooglePlayGames.Editor.GPGSAndroidSetupUI
