Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
KonfDBCF.Commands,DeleteApp,0,2,1,0,2,13,2,0,1,-1,0,0,,
KonfDBCF.Commands,DeleteEnv,0,2,1,0,2,13,2,0,1,-1,0,0,,
KonfDBCF.Commands,DeleteMap,0,2,2,0,2,15,2,0,1,-1,0,0,,
KonfDBCF.Commands,DeleteParam,0,2,1,0,2,13,2,0,1,-1,0,0,,
KonfDBCF.Commands,DeleteRegion,0,2,1,0,2,13,2,0,1,-1,0,0,,
KonfDBCF.Commands,DeleteServer,0,2,1,0,2,13,2,0,1,-1,0,0,,
KonfDBCF.Commands,DeleteSuite,0,2,1,0,2,13,2,0,1,-1,0,0,,
KonfDBCF.Commands,Get,0,2,5,0,2,21,2,0,1,-1,0,0,,
KonfDBCF.Commands,GetApp,0,2,2,0,2,15,2,0,1,-1,0,0,,
KonfDBCF.Commands,GetApps,0,2,1,0,2,13,2,0,1,-1,0,0,,
KonfDBCF.Commands,GetEnv,0,2,2,0,2,15,2,0,1,-1,0,0,,
KonfDBCF.Commands,GetEnvs,0,2,1,0,2,13,2,0,1,-1,0,0,,
KonfDBCF.Commands,GetMap,0,2,1,0,2,13,2,0,1,-1,0,0,,
KonfDBCF.Commands,GetParameter,0,2,3,0,2,17,2,0,1,-1,0,0,,
KonfDBCF.Commands,GetParamLike,0,2,3,0,2,17,2,0,1,-1,0,0,,
KonfDBCF.Commands,GetParams,0,2,2,0,2,15,2,0,1,-1,0,0,,
KonfDBCF.Commands,GetRegion,0,2,2,0,2,15,2,0,1,-1,0,0,,
KonfDBCF.Commands,GetRegions,0,2,1,0,2,13,2,0,1,-1,0,0,,
KonfDBCF.Commands,GetServer,0,2,2,0,2,15,2,0,1,-1,0,0,,
KonfDBCF.Commands,GetServers,0,2,1,0,2,13,2,0,1,-1,0,0,,
KonfDBCF.Commands,GetSuite,0,2,2,0,2,15,2,0,1,-1,0,0,,
KonfDBCF.Commands,GetSuites,0,1,0,0,1,7,1,0,1,-1,0,0,,
KonfDBCF.Commands,GrantAccess,0,2,3,0,2,18,2,0,1,-1,0,0,,
KonfDBCF.Commands,NewApp,0,2,2,0,2,15,2,0,1,-1,0,0,,
KonfDBCF.Commands,NewEnvironment,0,2,3,0,2,18,2,0,1,-1,0,0,,
KonfDBCF.Commands,NewMap,0,2,5,0,2,21,2,0,1,-1,0,0,,
KonfDBCF.Commands,NewParam,0,2,4,0,2,19,2,0,1,-1,0,0,,
KonfDBCF.Commands,NewRegion,0,2,2,0,2,15,2,0,1,-1,0,0,,
KonfDBCF.Commands,NewServer,0,2,2,0,2,15,2,0,1,-1,0,0,,
KonfDBCF.Commands,NewSuite,0,2,2,0,2,15,2,0,1,-1,0,0,,
KonfDBCF.Commands,NewUser,0,2,3,0,2,20,2,0,1,-1,0,0,,
KonfDBCF.Commands,RevokeAccess,0,2,2,0,2,16,2,0,1,-1,0,0,,
KonfDBCF.Commands,UserAuth,0,2,2,0,2,16,2,0,1,-1,0,0,,
KonfDBCF,ConnectionFactory,1,4,0,0,2,42,6,0,0,0.5,8,4,KonfDBCF.Configuration.ClientConfig' KonfDBCF.Core.ClientContext' KonfDBCF.Configuration.Runtime.ClientServiceTypeConfiguration' KonfDBCF.Configuration.Runtime.ClientRuntimeConfiguration' KonfDB.Infrastructure.Logging.BaseLogger' KonfDB.Infrastructure.Shell.IContext' KonfDB.Infrastructure.Shell.CurrentContext' KonfDBCF.Services.ServiceProxy,KonfDBRC.ConsoleProxy' KonfDB.RefSamples.ClientFramework.WithClientCommand' KonfDB.RefSamples.ClientFramework.WithConfigurationValues' KonfDB.RefSamples.CoreWCF.HttpsService
KonfDBCF.Configuration.Caching,CacheConfiguration,0,0,3,0,0,9,0,0,1,-1,0,0,,
KonfDBCF.Configuration.Runtime,ClientServiceTypeConfiguration,0,1,3,0,1,14,1,0,1,-1,2,4,KonfDB.Infrastructure.Configuration.Interfaces.EndPointType' KonfDB.Infrastructure.WCF.ServiceType,KonfDBCF.ConnectionFactory' KonfDBCF.Services.ServiceProxy' KonfDB.RefSamples.CoreWCF.HttpsService' KonfDB.Tests.Configuration.ConfigurationTests
KonfDBCF.Configuration.Runtime,ClientRuntimeConfiguration,0,1,3,0,1,18,1,0,0,-1,1,5,KonfDB.Infrastructure.Logging.Logger,KonfDBCF.ConnectionFactory' KonfDBCF.Core.ClientContext' KonfDBCF.Services.ServiceProxy' KonfDB.RefSamples.CoreWCF.HttpsService' KonfDB.Tests.Configuration.ConfigurationTests
KonfDBCF.Configuration,ClientConfig,0,1,2,0,1,16,1,0,0,-1,1,5,KonfDB.Infrastructure.Caching.InMemoryCacheStore,KonfDBCF.ConnectionFactory' KonfDBCF.Core.ClientContext' KonfDBCF.Services.ServiceProxy' KonfDB.RefSamples.CoreWCF.HttpsService' KonfDB.Tests.Configuration.ConfigurationTests
KonfDBCF.Core,ClientContext,2,2,5,0,1,52,4,0,0,1,7,2,KonfDBCF.Configuration.ClientConfig' KonfDB.Infrastructure.Factory.LogFactory' KonfDBCF.Configuration.Runtime.ClientRuntimeConfiguration' KonfDB.Infrastructure.Factory.CacheFactory' KonfDB.Infrastructure.Caching.BaseCacheStore' KonfDB.Infrastructure.Logging.BaseLogger' KonfDB.Infrastructure.Shell.CurrentContext,KonfDBCF.ConnectionFactory' KonfDBCF.Services.ServiceProxy
KonfDBCF.Core,Utilities,0,1,0,0,0,7,1,0,0,-1,0,1,,KonfDBCF.Services.ServiceProxy
KonfDBCF.Core,ClientCommand,0,1,1,0,1,9,1,33,0,-1,0,1,,KonfDBCF.Services.ServiceProxy
