Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
OpenStack.Authentication,AuthenticatedHttpClientFactory,0,2,0,0,2,16,2,0,0,-1,1,2,OpenStack.Authentication.AuthenticatedMessageHandler,OpenStack.OpenStackNet' OpenStack.Testing.HttpTest
OpenStack.Authentication,AuthenticatedMessageHandler,1,2,0,1,1,29,3,0,0,1,1,3,OpenStack.Authentication.IAuthenticationProvider,Flurl.Extensions.FlurlExtensions' OpenStack.Authentication.AuthenticatedHttpClientFactory' OpenStack.Testing.HttpTest
OpenStack.Authentication,IAuthenticationProvider,0,2,0,0,0,28,2,1,0,-1,3,8,OpenStack.Authentication.IServiceType' OpenStack.UserAuthenticationException' OpenStack.RegionRequiredException,OpenStack.Authentication.AuthenticatedMessageHandler' OpenStack.Authentication.ServiceUrlBuilder' OpenStack.Networking.v2.NetworkingApiBuilder' Flurl.Extensions.FlurlExtensions' OpenStack.Networking.v2.NetworkingService' OpenStack.ContentDeliveryNetworks.v1.ContentDeliveryNetworkService' net.openstack.Core.Providers.IIdentityProvider' net.openstack.Providers.Rackspace.CloudIdentityProvider
OpenStack.Authentication,NamespaceDoc,0,0,0,0,0,4,0,0,0,-1,0,0,,
OpenStack.Authentication,ServiceType,2,4,1,2,2,66,6,0,1,0.75,1,4,OpenStack.Authentication.IServiceType,OpenStack.ContentDeliveryNetworks.v1.ContentDeliveryNetworkService' OpenStack.Networking.v2.NetworkingService' net.openstack.Providers.Rackspace.CloudIdentityProvider' net.openstack.Providers.Hp.HpIdentityProvider
OpenStack.Authentication,IServiceType,0,0,1,0,0,7,0,1,0,-1,0,7,,OpenStack.Authentication.IAuthenticationProvider' OpenStack.Authentication.ServiceType' OpenStack.Authentication.ServiceUrlBuilder' OpenStack.Networking.v2.NetworkingApiBuilder' net.openstack.Core.Providers.OpenStackIdentityProvider' net.openstack.Providers.Hp.HpIdentityProvider' net.openstack.Providers.Rackspace.CloudIdentityProvider
OpenStack.Authentication,ServiceUrlBuilder,4,2,0,0,2,31,2,0,0,0,2,2,OpenStack.Authentication.IAuthenticationProvider' OpenStack.Authentication.IServiceType,OpenStack.Networking.v2.NetworkingApiBuilder' OpenStack.ContentDeliveryNetworks.v1.ContentDeliveryNetworkService
System.Extensions,TypeExtensions,0,1,0,0,1,20,1,0,0,-1,0,0,,
Flurl.Http,PreparedRequest,0,11,3,0,11,108,12,0,0,-1,0,2,,Flurl.Extensions.FlurlExtensions' OpenStack.Networking.v2.NetworkingApiBuilder
OpenStack,Identifier,1,6,0,0,5,111,10,0,0,0,1,10,OpenStack.Serialization.IdentifierConverter,OpenStack.Networking.v2.Port' OpenStack.Networking.v2.Subnet' OpenStack.Networking.v2.SubnetCreateDefinition' OpenStack.Networking.v2.Network' OpenStack.Networking.v2.IPAddressAssociation' OpenStack.Networking.v2.NetworkingService' OpenStack.Serialization.IdentifierConverter' OpenStack.Networking.v2.PortCreateDefinition' OpenStack.Synchronous.NetworkingServiceExtensions' OpenStack.Networking.v2.PortUpdateDefinition
OpenStack,OpenStackNet,2,2,0,1,1,113,4,0,0,0,4,3,OpenStack.Authentication.AuthenticatedHttpClientFactory' OpenStack.Tracing' OpenStack.OpenStackNetConfigurationOptions' OpenStack.Serialization.OpenStackContractResolver,OpenStack.Testing.HttpTest' net.openstack.Providers.Rackspace.CloudIdentityProvider' net.openstack.Providers.Rackspace.ProviderBase<TProvider>
OpenStack,Tracing,1,2,0,1,2,27,2,0,0,0,0,2,,OpenStack.OpenStackNet' OpenStack.Testing.HttpTest
OpenStack,OpenStackNetConfigurationOptions,0,2,1,0,1,22,2,0,0,-1,0,1,,OpenStack.OpenStackNet
OpenStack,NamespaceDoc,0,0,0,0,0,7,0,0,0,-1,0,0,,
OpenStack,UserAuthenticationException,0,2,0,0,1,25,2,0,0,-1,0,2,,OpenStack.Core.LegacyAuthenticationProviderHelper' OpenStack.Authentication.IAuthenticationProvider
OpenStack,IdentityRequiredException,0,2,0,0,1,20,2,0,0,-1,0,1,,net.openstack.Providers.Rackspace.CloudIdentityProvider
OpenStack,IPage,0,1,1,0,0,11,1,1,0,-1,0,5,,OpenStack.ContentDeliveryNetworks.v1.IContentDeliveryNetworkService' OpenStack.Synchronous.ContentDeliveryNetworkServiceExtensions' OpenStack.ContentDeliveryNetworks.v1.ContentDeliveryNetworkService' OpenStack.Synchronous.PageExtensions' OpenStack.Serialization.Page<T>
OpenStack,RegionRequiredException,0,2,0,0,1,20,2,0,0,-1,0,2,,OpenStack.Core.LegacyAuthenticationProviderHelper' OpenStack.Authentication.IAuthenticationProvider
OpenStack.Networking,IPVersion,0,0,0,0,0,11,0,0,0,-1,0,1,,OpenStack.Networking.v2.SubnetCreateDefinition
OpenStack.Networking,NamespaceDoc,0,0,0,0,0,4,0,0,0,-1,0,0,,
OpenStack.Networking.v2,AllowedAddress,0,4,2,0,3,53,6,0,0,-1,0,1,,OpenStack.Networking.v2.PortCreateDefinition
OpenStack.Networking.v2,AllocationPool,0,4,2,0,3,45,6,0,0,-1,0,1,,OpenStack.Networking.v2.SubnetUpdateDefinition
OpenStack.Networking.v2,HostRoute,0,4,2,0,3,45,6,0,0,-1,0,1,,OpenStack.Networking.v2.SubnetUpdateDefinition
OpenStack.Networking.v2,IPAddressAssociation,0,5,2,0,4,81,7,0,0,-1,1,1,OpenStack.Identifier,OpenStack.Networking.v2.PortUpdateDefinition
OpenStack.Networking.v2,NamespaceDoc,0,0,0,0,0,4,0,0,0,-1,0,0,,
OpenStack.Networking.v2,NetworkDefinition,0,0,1,0,0,9,0,1,0,-1,2,3,OpenStack.Serialization.JsonConverterWithConstructorAttribute' OpenStack.Serialization.RootWrapperConverter,OpenStack.Networking.v2.Network' OpenStack.Networking.v2.NetworkingService' OpenStack.Synchronous.NetworkingServiceExtensions
OpenStack.Networking.v2,NetworkingApiBuilder,2,19,0,0,19,314,22,0,0,0,8,1,OpenStack.Authentication.IAuthenticationProvider' OpenStack.Authentication.IServiceType' OpenStack.Authentication.ServiceUrlBuilder' Flurl.Http.PreparedRequest' OpenStack.Networking.v2.NetworkingService' OpenStack.Networking.v2.Serialization.NetworkDefinitionCollection' OpenStack.Networking.v2.Serialization.PortDefinitionCollection' OpenStack.Networking.v2.Serialization.SubnetDefinitionCollection,OpenStack.Networking.v2.NetworkingService
