Method,LOC,CC,PC
TSubscriber:TSubscriber,5,1,2
TSubscriber:Dispose,7,2,0
TSubscriber:Start,12,1,2
QSubscriber:QSubscriber,5,1,2
QSubscriber:Dispose,7,2,0
QSubscriber:Start,12,1,2
Publisher:Publisher,10,2,3
Publisher:Dispose,7,1,0
Publisher:SendMessage,6,2,1
Publisher2:Publisher2,3,1,2
Publisher2:Dispose,7,1,0
Publisher2:SendMessage,5,2,1
HttpServer:HttpStart,92,15,2
NNSUtilities:DeserializeObject,7,1,2
NNSUtilities:Serialize,19,5,1
PseudoKlient:Main,196,76,3
PseudoKlient:DoWork,68,1,4
PseudoKlient:MakeGetStatusRequest,14,1,4
PseudoKlient:MakeGetAuditTrailsRequest,22,1,5
PseudoKlient:MakeIdentifyContributorsForGetAuditTrailsRequest,13,1,4
PseudoKlient:MakeIdentifyPillarsForReplaceFileRequest,16,1,5
PseudoKlient:MakeIdentifyPillarsForPutFileRequest,16,1,5
PseudoKlient:MakeIdentifyPillarsForGetFileRequest,14,1,5
PseudoKlient:MakeIdentifyPillarsForDeleteFileRequest,16,1,5
PseudoKlient:MakeIdentifyPillarsForGetChecksumsRequest,31,2,4
PseudoKlient:MakeIdentifyPillarsForGetFileIDsRequest,26,2,4
PseudoKlient:GetChecksumsRequest,33,2,4
PseudoKlient:MakeGetFileIDsRequest,27,2,5
PseudoKlient:MakeDeleteFileRequest,32,1,5
PseudoKlient:MakeGetFileRequest,25,1,5
PseudoKlient:MakePutFileRequest,35,1,5
PseudoKlient:MakeReplaceFileRequest,41,1,5
PseudoKlient:MakeITMessage,11,1,4
PseudoKlient:ValidateXmlMessage,18,3,2
