Implementation smell,Namespace,Class,File,Method,Description
Long Method,ExcelDna.Loader,XlObjectMarshaler,C:\repos\ravikp_rims.net\lib\ExcelDna-0.29\Source\ExcelDna.Loader\XlCustomMarshal.cs,MarshalManagedToNative,The method has 155 lines of code.
Long Method,ExcelDna.Loader,XlObjectArrayMarshaler,C:\repos\ravikp_rims.net\lib\ExcelDna-0.29\Source\ExcelDna.Loader\XlCustomMarshal.cs,MarshalManagedToNative,The method has 256 lines of code.
Long Method,ExcelDna.Loader,XlAddIn,C:\repos\ravikp_rims.net\lib\ExcelDna-0.29\Source\ExcelDna.Loader\XlAddIn.cs,RegisterXlMethod,The method has 123 lines of code.
Long Method,ExcelDna.Loader,XlMethodInfo,C:\repos\ravikp_rims.net\lib\ExcelDna-0.29\Source\ExcelDna.Loader\XlMethodInfo.cs,SetAttributeInfo,The method has 133 lines of code.
Long Method,ExcelDna.Loader,XlParameterInfo,C:\repos\ravikp_rims.net\lib\ExcelDna-0.29\Source\ExcelDna.Loader\XlParameterInfo.cs,SetTypeInfo4,The method has 237 lines of code.
Long Method,ExcelDna.Loader,XlParameterInfo,C:\repos\ravikp_rims.net\lib\ExcelDna-0.29\Source\ExcelDna.Loader\XlParameterInfo.cs,SetTypeInfo12,The method has 236 lines of code.
Complex Method,SevenZip.Compression.LZMA,Decoder,C:\repos\ravikp_rims.net\lib\ExcelDna-0.29\Source\ExcelDna.Loader\..\Lzma\LzmaDecoder.cs,Code,Cyclomatic complexity of the method is 16
Complex Method,ExcelDna.Loader,XlObjectMarshaler,C:\repos\ravikp_rims.net\lib\ExcelDna-0.29\Source\ExcelDna.Loader\XlCustomMarshal.cs,MarshalManagedToNative,Cyclomatic complexity of the method is 20
Complex Method,ExcelDna.Loader,XlObjectMarshaler,C:\repos\ravikp_rims.net\lib\ExcelDna-0.29\Source\ExcelDna.Loader\XlCustomMarshal.cs,MarshalNativeToManaged,Cyclomatic complexity of the method is 53
Complex Method,ExcelDna.Loader,XlObjectArrayMarshaler,C:\repos\ravikp_rims.net\lib\ExcelDna-0.29\Source\ExcelDna.Loader\XlCustomMarshal.cs,MarshalManagedToNative,Cyclomatic complexity of the method is 33
Complex Method,ExcelDna.Loader,XlObjectArrayMarshaler,C:\repos\ravikp_rims.net\lib\ExcelDna-0.29\Source\ExcelDna.Loader\XlCustomMarshal.cs,MarshalNativeToManaged,Cyclomatic complexity of the method is 8
Complex Method,ExcelDna.Loader,XlAddIn,C:\repos\ravikp_rims.net\lib\ExcelDna-0.29\Source\ExcelDna.Loader\XlAddIn.cs,RegisterXlMethod,Cyclomatic complexity of the method is 22
Complex Method,ExcelDna.Loader,XlMethodInfo,C:\repos\ravikp_rims.net\lib\ExcelDna-0.29\Source\ExcelDna.Loader\XlMethodInfo.cs,SetAttributeInfo,Cyclomatic complexity of the method is 15
Complex Method,ExcelDna.Loader,XlMethodInfo,C:\repos\ravikp_rims.net\lib\ExcelDna-0.29\Source\ExcelDna.Loader\XlMethodInfo.cs,CreateMethodDelegate,Cyclomatic complexity of the method is 11
Complex Method,ExcelDna.Loader,XlParameterInfo,C:\repos\ravikp_rims.net\lib\ExcelDna-0.29\Source\ExcelDna.Loader\XlParameterInfo.cs,XlParameterInfo,Cyclomatic complexity of the method is 8
