Design smell,Namespace,Class,File,Cause
Duplicate Abstraction,JellyBeanTracker.Mobile,JellyBeanGraph,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\..\..\JellyBeanTracker.Web\JellyBeanTracker.Web\Views\JellyBeans\JellyBeanGraph.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: JellyBeanGraph[1' 20]' ProfitReport[1' 20]' Header[1' 20]' Footer[1' 20]
Imperative Abstraction,JellyBeanTracker.Mobile,ProfitReport,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\..\..\JellyBeanTracker.Web\JellyBeanTracker.Web\Views\MyJellyBeans\ProfitReport.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: Execute
Unutilized Abstraction,JellyBeanTracker.Mobile.Pages,JellyBeanListPage,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\Pages\JellyBeanListPage.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,JellyBeanTracker.Mobile.Pages,JellyBeanEditPage,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\Pages\JellyBeanEditPage.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,JellyBeanTracker.Mobile.Pages,GraphPage,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\Pages\GraphPage.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,JellyBeanTracker.Mobile.Pages,ManageGraphPage,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\Pages\ManageGraphPage.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,JellyBeanTracker.Mobile.Pages,MyJellyBeansList,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\Pages\MyJellyBeansList.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,JellyBeanTracker.Mobile.Pages,JellyBeanProfitPage,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\Pages\JellyBeanProfitPage.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,JellyBeanTracker.Mobile.PageModels,ViewModelTabArea,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\PageModels\BasePageModel.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,JellyBeanTracker.Web.Models,MyJellyBean,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\..\..\JellyBeanTracker.Web\JellyBeanTracker.Web\Models\MyJellyBean.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Id' JellyBeanName' TotalBeans
Unnecessary Abstraction,JellyBeanTracker.Web.Models,SyncContainer,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\..\..\JellyBeanTracker.Web\JellyBeanTracker.Web\Models\SyncContainer.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: JellyBeanValues' MyJellyBeans
Unnecessary Abstraction,JellyBeanTracker.Shared.DisplayModels,ProfitReportModel,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\..\..\JellyBeanTracker.Web\JellyBeanTracker.Web\DisplayModels\ProfitReportModel.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: TotalInvested' Loses' Gains' TotalOutcome
Unnecessary Abstraction,JellyBeanTracker.Web,Globals,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\..\..\JellyBeanTracker.Web\JellyBeanTracker.Web\Globals.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' Native
Unutilized Abstraction,JellyBeanTracker.Web,Globals,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\..\..\JellyBeanTracker.Web\JellyBeanTracker.Web\Globals.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,JellyBeanTracker.Mobile.External.Web.Views.Shared,Header,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\External.Web\Views\Shared\Header.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,JellyBeanTracker.Mobile.External.Web.Views.Shared,Header,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\External.Web\Views\Shared\Header.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Header[72' 246]' Footer[37' 211]
Unutilized Abstraction,JellyBeanTracker.Mobile.External.Web.Views.Shared,HeaderBase,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\External.Web\Views\Shared\Header.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,JellyBeanTracker.Mobile.External.Web.Views.Shared,Footer,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\External.Web\Views\Shared\Footer.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,JellyBeanTracker.Mobile.External.Web.Views.Shared,FooterBase,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\External.Web\Views\Shared\Footer.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Deficient Encapsulation,JellyBeanTracker.Mobile,App,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\App.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: IsOffline
Deficient Encapsulation,JellyBeanTracker.Mobile,App,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\App.cs,The tool detected the smell in this class because the class declares global (public static) fields. Following fields are declared with public static modifiers: IsOffline
Deficient Encapsulation,JellyBeanTracker.Web,Globals,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\..\..\JellyBeanTracker.Web\JellyBeanTracker.Web\Globals.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: Native
Deficient Encapsulation,JellyBeanTracker.Web,Globals,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\..\..\JellyBeanTracker.Web\JellyBeanTracker.Web\Globals.cs,The tool detected the smell in this class because the class declares global (public static) fields. Following fields are declared with public static modifiers: Native
Cyclically-dependent Modularization,JellyBeanTracker.Mobile,App,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\App.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: App' DataSourceFactory
Cyclically-dependent Modularization,JellyBeanTracker.Mobile.Pages,ITabbedNavigation,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\Pages\ITabbedNavigation.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ITabbedNavigation' BasePageModel
Rebellious Hierarchy,JellyBeanTracker.Mobile.Pages,BaseNav,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\Pages\BaseNav.cs,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: OnParentSet
Broken Hierarchy,JellyBeanTracker.Mobile.PageModels,JellyBeanListPageModel,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\PageModels\JellyBeanListPageModel.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BasePageModel
Broken Hierarchy,JellyBeanTracker.Mobile.PageModels,JellyBeanEditPageModel,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\PageModels\JellyBeanEditPageModel.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BasePageModel
Broken Hierarchy,JellyBeanTracker.Mobile.PageModels,GraphPageModel,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\PageModels\GraphPageModel.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BasePageModel
Broken Hierarchy,JellyBeanTracker.Mobile.PageModels,ManageGraphPageModel,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\PageModels\ManageGraphPageModel.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BasePageModel
Broken Hierarchy,JellyBeanTracker.Mobile.PageModels,MyJellyBeansListModel,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\PageModels\MyJellyBeansListModel.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BasePageModel
Broken Hierarchy,JellyBeanTracker.Mobile.PageModels,JellyBeanProfitPageModel,C:\repos\rid00z_JellyBeanTracker\JellyBeanTracker.Mobile\JellyBeanTracker.Mobile\PageModels\JellyBeanProfitPageModel.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BasePageModel
