Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,Chronic,TokenCollectionExtensions,C:\research\architectureSmells\repos\robertwilczynski_nChronic\src\Chronic\System\TokenCollectionExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Chronic,CollectionExtensions,C:\research\architectureSmells\repos\robertwilczynski_nChronic\src\Chronic\System\CollectionExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Chronic,StringExtensions,C:\research\architectureSmells\repos\robertwilczynski_nChronic\src\Chronic\System\StringExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,Chronic,ITag,C:\research\architectureSmells\repos\robertwilczynski_nChronic\src\Chronic\Tags\Tag.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Now' RawValue
Unnecessary Abstraction,Chronic.Tags.Repeaters,IRepeaterDayPortion,C:\research\architectureSmells\repos\robertwilczynski_nChronic\src\Chronic\Tags\Repeaters\RepeaterDayPortion.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Deficient Encapsulation,Chronic,Span,C:\research\architectureSmells\repos\robertwilczynski_nChronic\src\Chronic\Span.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: Start' End
Unexploited Encapsulation,Chronic.Handlers,ComplexHandler,C:\research\architectureSmells\repos\robertwilczynski_nChronic\src\Chronic\Handlers\ComplexHandler.cs,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: TagPattern' RepeatPattern (in method "Match" of class "ComplexHandler").
Cyclically-dependent Modularization,Chronic,Logger,C:\research\architectureSmells\repos\robertwilczynski_nChronic\src\Chronic\Logger.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Chronic.Logger' Chronic.Parser
Cyclically-dependent Modularization,Chronic.Handlers,ComplexHandler,C:\research\architectureSmells\repos\robertwilczynski_nChronic\src\Chronic\Handlers\ComplexHandler.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Chronic.Handlers.ComplexHandler' Chronic.Handlers.HandlerRegistry
Cyclically-dependent Modularization,Chronic.Handlers,Repetition,C:\research\architectureSmells\repos\robertwilczynski_nChronic\src\Chronic\Handlers\Registration\HandlerBuilder.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Chronic.Handlers.Repetition' Chronic.Handlers.HandlerBuilder
Cyclically-dependent Modularization,Chronic,Logger,C:\research\architectureSmells\repos\robertwilczynski_nChronic\src\Chronic\Logger.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Chronic.Logger' Chronic.Tokenizer' Chronic.Parser
Broken Hierarchy,Chronic.Handlers,EndianSpecificRegistry,C:\research\architectureSmells\repos\robertwilczynski_nChronic\src\Chronic\Handlers\Registration\EndianSpecificRegistry.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Chronic.Handlers.HandlerRegistry
Wide Hierarchy,Chronic.Handlers,IHandler,C:\research\architectureSmells\repos\robertwilczynski_nChronic\src\Chronic\Handlers\IHandler.cs,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: Chronic.Handlers.GRGRHandler' Chronic.Handlers.MultiSRHandler' Chronic.Handlers.OdRmnHandler' Chronic.Handlers.OdRmnSyHandler' Chronic.Handlers.ORGRHandler' Chronic.Handlers.ORSRHandler' Chronic.Handlers.RdnRmnOdHandler' Chronic.Handlers.RdnRmnSdHandler' Chronic.Handlers.BCLDateTimeHandler' Chronic.Handlers.RGRHandler' Chronic.Handlers.RHandler' Chronic.Handlers.RmnOdHandler' Chronic.Handlers.RmnOdOnHandler' Chronic.Handlers.RmnOdSyHandler' Chronic.Handlers.RmnSdHandler' Chronic.Handlers.RmnSdOnHandler' Chronic.Handlers.RmnSyHandler' Chronic.Handlers.SdRmnHandler' Chronic.Handlers.SdRmnSyHandler' Chronic.Handlers.SdSmSyHandler' Chronic.Handlers.SmSdHandler' Chronic.Handlers.SmSdSyHandler' Chronic.Handlers.SmSyHandler' Chronic.Handlers.SRPHandler' Chronic.Handlers.SyRmnOdHandler' Chronic.Handlers.RmnSdSyHandler
Broken Hierarchy,Chronic.Handlers,MyHandlerRegistry,C:\research\architectureSmells\repos\robertwilczynski_nChronic\src\Chronic\Handlers\Registration\MyHandlerRegistry.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Chronic.Handlers.HandlerRegistry
Rebellious Hierarchy,Chronic.Tags.Repeaters,Repeater<T>,C:\research\architectureSmells\repos\robertwilczynski_nChronic\src\Chronic\Tags\Repeaters\Repeater.cs,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: GetWidth' GetOffset
Rebellious Hierarchy,Chronic.Tags.Repeaters,RepeaterDayName,C:\research\architectureSmells\repos\robertwilczynski_nChronic\src\Chronic\Tags\Repeaters\RepeaterDayName.cs,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: GetOffset
Rebellious Hierarchy,Chronic.Tags.Repeaters,RepeaterFortnight,C:\research\architectureSmells\repos\robertwilczynski_nChronic\src\Chronic\Tags\Repeaters\RepeaterFortnight.cs,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: GetWidth' NextSpan' CurrentSpan' GetOffset
Rebellious Hierarchy,Chronic.Tags.Repeaters,RepeaterMonthName,C:\research\architectureSmells\repos\robertwilczynski_nChronic\src\Chronic\Tags\Repeaters\RepeaterMonthName.cs,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: GetOffset
Rebellious Hierarchy,Chronic.Tags.Repeaters,RepeaterSeason,C:\research\architectureSmells\repos\robertwilczynski_nChronic\src\Chronic\Tags\Repeaters\RepeaterSeason.cs,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: NextSpan' CurrentSpan' GetOffset
Rebellious Hierarchy,Chronic.Tags.Repeaters,RepeaterTime,C:\research\architectureSmells\repos\robertwilczynski_nChronic\src\Chronic\Tags\Repeaters\RepeaterTime.cs,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: GetOffset
