Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
System,AlphaID,0,3,0,0,3,48,5,0,0,-1,0,0,,
System,ArgumentValidation,0,4,0,0,4,38,8,0,0,-1,0,0,,
System,CloneExtensions,0,1,0,0,1,29,3,0,0,-1,0,0,,
System,DateTimeExtensions,0,7,0,0,7,62,12,0,0,-1,0,0,,
System,StringExtensions,1,27,0,1,27,297,46,0,0,0.67,0,0,,
System,StringHtmlExtensions,0,8,0,0,8,156,25,0,0,-1,0,0,,
System,TryConvert,0,2,0,0,2,29,5,0,0,-1,0,0,,
System.Web,CacheExtensions,1,1,0,0,1,30,3,0,0,0,0,0,,
System.Web,HttpContextExtensions,0,3,0,0,3,24,3,0,0,-1,0,0,,
System.Security,StringExtensionMethods,0,4,0,0,4,143,8,0,0,-1,0,0,,
System.Linq,LambdaComparer<T>,2,4,0,0,4,25,6,0,0,0.5,0,1,,System.Linq.LinqExtensions
System.Linq,LinqExtensions,0,14,0,0,14,122,16,0,0,-1,0,0,,
Helpers.Math,MathExtensions,0,2,0,0,2,20,3,0,0,-1,0,0,,
System.Threading,ParallelProcessor,0,2,0,0,2,78,7,0,0,-1,0,0,,
Helpers.Net,QueryString,0,11,1,0,11,160,23,0,0,-1,0,1,,Helpers.Net.QueryString
Helpers.Net,StringValueAttribute,0,1,1,0,1,15,1,0,0,-1,0,1,,Helpers.Net.StringEnumExtensions
Helpers.Net,StringEnumExtensions,0,1,0,0,1,22,1,0,0,-1,0,0,,
Helpers,UrlExtensions,0,1,0,0,1,12,1,0,0,-1,0,0,,
HelperMethods,WebClientEx,1,1,1,0,0,14,1,0,0,0,0,0,,
System.Net,WebHelper,0,1,0,0,1,18,1,0,0,-1,0,0,,
