Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Akka.TestKit,ActorCellKeepingSynchronizationContext,1,3,0,0,3,46,3,0,0,0,0,1,,Akka.TestKit.TestKitBase
Akka.TestKit,CallingThreadDispatcherConfigurator,0,2,0,0,2,10,2,0,1,-1,1,1,Akka.TestKit.CallingThreadDispatcher,Akka.TestKit.TestKitBase
Akka.TestKit,CallingThreadDispatcher,1,2,0,1,2,11,2,0,1,1,0,3,,Akka.TestKit.Internal.InternalTestActorRef' Akka.TestKit.TestKitBase' Akka.TestKit.CallingThreadDispatcherConfigurator
Akka.TestKit,IEventFilterApplier,0,11,1,0,0,128,11,1,0,-1,3,2,Akka.TestKit.EventFilterFactory' Akka.TestKit.IUnmutableFilter' Akka.TestKit.TestKitSettings,Akka.TestKit.Internal.InternalEventFilterApplier' Akka.TestKit.EventFilterFactory
Akka.TestKit,DeadLettersFilter,1,2,1,0,1,22,5,0,1,0,2,0,Akka.TestKit.Internal.EventFilterBase' Akka.TestKit.Internal.StringMatcher.IStringMatcher,
Akka.TestKit,IEventFilter,0,1,0,0,0,4,1,1,0,-1,0,2,,Akka.TestKit.Internal.EventFilterBase' Akka.TestKit.TestEventListener
Akka.TestKit,EventFilterFactory,3,28,0,0,24,479,41,0,0,0.14,7,3,Akka.TestKit.IEventFilterApplier' Akka.TestKit.Internal.DebugFilter' Akka.TestKit.Internal.ErrorFilter' Akka.TestKit.Internal.InfoFilter' Akka.TestKit.Internal.WarningFilter' Akka.TestKit.Internal.StringMatcher.EqualsStringAndPathMatcher' Akka.TestKit.Internal.StringMatcher.RegexMatcher,Akka.TestKit.IEventFilterApplier' Akka.TestKit.Internal.InternalEventFilterApplier' Akka.TestKit.TestKitBase
Akka.TestKit,IUnmutableFilter,0,1,0,0,0,7,1,1,0,-1,0,2,,Akka.TestKit.IEventFilterApplier' Akka.TestKit.Internal.InternalEventFilterApplier
Akka.TestKit,FSMSpecHelpers,0,2,0,0,2,24,2,0,0,-1,0,0,,
Akka.TestKit,AutoPilot,0,1,2,0,1,24,1,3,0,-1,3,6,Akka.TestKit.NoAutoPilot' Akka.TestKit.KeepRunning' Akka.TestKit.TestActor,Akka.TestKit.Internal.InternalTestActor' Akka.TestKit.TestKitBase' Akka.TestKit.TestActor' Akka.TestKit.NoAutoPilot' Akka.TestKit.KeepRunning' Akka.TestKit.DelegateAutoPilot
