Namespace,Type,Method,LOC,CC,PC
MessageShark.Samples.ProtoBufVsMessageShark,Proto,Serialize,5,1,1
MessageShark.Samples.ProtoBufVsMessageShark,Proto,Deserialize,6,1,1
MessageShark.Samples.ProtoBufVsMessageShark,Xml,Serialize,3,1,1
MessageShark.Samples.ProtoBufVsMessageShark,Xml,Deserialize,3,1,1
MessageShark.Samples.ProtoBufVsMessageShark,XmlOld,Serialize,3,1,1
MessageShark.Samples.ProtoBufVsMessageShark,XmlOld,Deserialize,3,1,1
MessageShark.Samples.ProtoBufVsMessageShark,NewtonJS,Serialize,3,1,1
MessageShark.Samples.ProtoBufVsMessageShark,NewtonJS,Deserialize,3,1,1
MessageShark.Samples.ProtoBufVsMessageShark,SS,Serialize,3,1,1
MessageShark.Samples.ProtoBufVsMessageShark,SS,Deserialize,3,1,1
MessageShark.Samples.ProtoBufVsMessageShark,SSJsv,Serialize,3,1,1
MessageShark.Samples.ProtoBufVsMessageShark,SSJsv,Deserialize,3,1,1
MessageShark.Samples.ProtoBufVsMessageShark,SSXml,Serialize,3,1,1
MessageShark.Samples.ProtoBufVsMessageShark,SSXml,Deserialize,3,1,1
MessageShark.Samples.ProtoBufVsMessageShark,NetBinary,Serialize,7,1,1
MessageShark.Samples.ProtoBufVsMessageShark,NetBinary,Deserialize,8,1,1
MessageShark.Samples.ProtoBufVsMessageShark,Program,ReplaceEx,21,4,5
MessageShark.Samples.ProtoBufVsMessageShark,Program,Main,112,1,1
MessageShark.Samples.ProtoBufVsMessageShark,Program,Test,13,2,2
