Namespace,Type,Method,LOC,CC,PC
CreateShortcut,Program,Main,157,12,1
CreateShortcut,Program,ProjectVersion,6,1,0
CreateShortcut,IPersistFile,GetClassID,0,1,1
CreateShortcut,IPersistFile,IsDirty,0,1,0
CreateShortcut,IPersistFile,Load,0,1,2
CreateShortcut,IPersistFile,Save,0,1,2
CreateShortcut,IPersistFile,SaveCompleted,0,1,1
CreateShortcut,IPersistFile,GetCurFile,0,1,1
CreateShortcut,IShellLinkA,GetPath,0,1,4
CreateShortcut,IShellLinkA,GetIDList,0,1,1
CreateShortcut,IShellLinkA,SetIDList,0,1,1
CreateShortcut,IShellLinkA,GetDescription,0,1,2
CreateShortcut,IShellLinkA,SetDescription,0,1,1
CreateShortcut,IShellLinkA,GetWorkingDirectory,0,1,2
CreateShortcut,IShellLinkA,SetWorkingDirectory,0,1,1
CreateShortcut,IShellLinkA,GetArguments,0,1,2
CreateShortcut,IShellLinkA,SetArguments,0,1,1
CreateShortcut,IShellLinkA,GetHotkey,0,1,1
CreateShortcut,IShellLinkA,SetHotkey,0,1,1
CreateShortcut,IShellLinkA,GetShowCmd,0,1,1
CreateShortcut,IShellLinkA,SetShowCmd,0,1,1
CreateShortcut,IShellLinkA,GetIconLocation,0,1,3
CreateShortcut,IShellLinkA,SetIconLocation,0,1,2
CreateShortcut,IShellLinkA,SetRelativePath,0,1,2
CreateShortcut,IShellLinkA,Resolve,0,1,2
CreateShortcut,IShellLinkA,SetPath,0,1,1
CreateShortcut,IShellLinkW,GetPath,0,1,4
CreateShortcut,IShellLinkW,GetIDList,0,1,1
CreateShortcut,IShellLinkW,SetIDList,0,1,1
CreateShortcut,IShellLinkW,GetDescription,0,1,2
CreateShortcut,IShellLinkW,SetDescription,0,1,1
CreateShortcut,IShellLinkW,GetWorkingDirectory,0,1,2
CreateShortcut,IShellLinkW,SetWorkingDirectory,0,1,1
CreateShortcut,IShellLinkW,GetArguments,0,1,2
CreateShortcut,IShellLinkW,SetArguments,0,1,1
CreateShortcut,IShellLinkW,GetHotkey,0,1,1
CreateShortcut,IShellLinkW,SetHotkey,0,1,1
CreateShortcut,IShellLinkW,GetShowCmd,0,1,1
CreateShortcut,IShellLinkW,SetShowCmd,0,1,1
CreateShortcut,IShellLinkW,GetIconLocation,0,1,3
CreateShortcut,IShellLinkW,SetIconLocation,0,1,2
CreateShortcut,IShellLinkW,SetRelativePath,0,1,2
CreateShortcut,IShellLinkW,Resolve,0,1,2
CreateShortcut,IShellLinkW,SetPath,0,1,1
CreateShortcut,ShellShortcut,ShellShortcut,17,2,1
CreateShortcut,ShellShortcut,Dispose,6,2,0
CreateShortcut,ShellShortcut,Save,4,1,0
CreateShortcut,Native,ExtractIcon,0,1,3
CreateShortcut,Native,DestroyIcon,0,1,1
CreateToolkitShortcut,SelfDestruct,DoIt,27,1,0
