Method,LOC,CC,PC
AssemblyCaller:CallStatic,3,1,4
AssemblyCaller:Call,3,1,5
AssemblyCaller:Call,9,1,6
AssemblyCaller:PrivateCall,27,2,6
AutoUpdaterForm:AutoUpdaterForm,232,18,1
AutoUpdaterForm:DownloadFile,28,5,3
AutoUpdaterForm:ProgressChanged,10,1,2
AutoUpdaterForm:Completed,26,2,2
AutoUpdaterForm:ExtractFile,5,1,2
AutoUpdaterForm:MergeXmlRepository,64,6,2
AutoUpdaterForm:RestartToolkitGUI,8,1,0
AutoUpdaterForm:ShowCurrentOperation,7,1,1
AutoUpdaterForm:BackupProcessDir,13,2,2
AutoUpdaterForm:CopyDirectory,50,9,3
AutoUpdaterForm:DeleteDirectory,41,6,1
AutoUpdaterForm:RollBack,16,2,2
AutoUpdaterForm:ShowLockedFiles,12,3,1
AutoUpdaterForm:AutoUpdaterForm_FormClosing,15,3,2
AutoUpdaterForm:Dispose,6,2,1
AutoUpdaterForm:InitializeComponent,78,1,0
Helpers:InvokeIfRequired,6,2,2
Program:Main,5,1,1
Resources:Resources,2,1,0
