Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,ModernUIForWPFSample.Navigation__MVVM_.Controls,ModernUserControl,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (MVVM)\Controls\ModernUserControl.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,ModernUIForWPFSample.Navigation__MVVM_.ViewModel,ResourcesViewModel,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (MVVM)\ViewModel\ResourcesViewModel.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,ModernUIForWPFSample.Navigation__MVVM_.ViewModel,StepsViewModel,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (MVVM)\ViewModel\StepsViewModel.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,ModernUIForWPFSample.Navigation__MVVM_.ViewModel,ModernViewModelBase,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (MVVM)\ViewModel\ModernViewModelBase.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,ModernUIForWPFSample.Navigation__MVVM_.ViewModel,ViewModelLocator,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (MVVM)\ViewModel\ViewModelLocator.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,ModernUIForWPFSample.Navigation.Views,ResourcesControl,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (MVVM)\Views\ResourcesControl.xaml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,ModernUIForWPFSample.Navigation.Views,StepsControl,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (MVVM)\Views\StepsControl.xaml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,ModernUIForWPFSample.Navigation,MainWindow,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (MVVM)\MainWindow.xaml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,ModernUIForWPFSample.Navigation__MVVM_.Properties,Settings,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (MVVM)\Properties\Settings.Designer.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Default' defaultInstance
Unutilized Abstraction,XamlGeneratedNamespace,GeneratedInternalTypeHelper,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (MVVM)\obj\Debug\GeneratedInternalTypeHelper.g.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Broken Modularization,ModernUIForWPFSample.Navigation__MVVM_.ViewModel,ModernViewModelBase,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (MVVM)\ViewModel\ModernViewModelBase.cs,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields and properties are declared in this class: NavigatingFromCommand' NavigatedFromCommand' NavigatedToCommand' FragmentNavigationCommand' LoadedCommand' IsVisibleChangedCommand
Unfactored Hierarchy,ModernUIForWPFSample.Navigation__MVVM_.ViewModel,ResourcesViewModel,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (MVVM)\ViewModel\ResourcesViewModel.cs,The tool detected the smell because a set of code clones has been found where at least one pair of classes belong to the same inheritance hierarchy. List of classes with start and end line numbers where clones has been found are:  ResourcesViewModel (C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (MVVM)\ViewModel\ResourcesViewModel.cs' [24' 45])' StepsViewModel (C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (MVVM)\ViewModel\StepsViewModel.cs' [36' 57])
Broken Hierarchy,ModernUIForWPFSample.Navigation.Views,ResourcesControl,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (MVVM)\Views\ResourcesControl.xaml.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ModernUIForWPFSample.Navigation__MVVM_.Controls.ModernUserControl
Broken Hierarchy,ModernUIForWPFSample.Navigation.Views,StepsControl,C:\repos\saramgsilva_ModernUISamples\src\ModernUIForWPFSample.Navigation (MVVM)\Views\StepsControl.xaml.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ModernUIForWPFSample.Navigation__MVVM_.Controls.ModernUserControl
