Project,Namespace,Ca types,Ce types
YesSql.Core(net461),YesSql.Collections,YesSql.Commands.CreateDocumentCommand' YesSql.Commands.DeleteDocumentCommand' YesSql.Commands.CreateIndexCommand' YesSql.Commands.DeleteReduceIndexCommand' YesSql.Commands.UpdateDocumentCommand' YesSql.Commands.UpdateIndexCommand' YesSql.Store' YesSql.Sql.SchemaBuilder' YesSql.Session' YesSql.Services.QueryState,
YesSql.Core(net461),YesSql.Commands,YesSql.Session' YesSql.Store,YesSql.Collections.CollectionHelper' YesSql.Store
YesSql.Core(net461),YesSql,Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions' YesSql.Services.DefaultQuery' YesSql.Commands.CreateDocumentCommand' YesSql.Commands.DeleteDocumentCommand' YesSql.Commands.CreateIndexCommand' YesSql.Commands.UpdateDocumentCommand' YesSql.Commands.DeleteReduceIndexCommand' YesSql.Commands.UpdateIndexCommand' YesSql.Sql.SchemaBuilder' YesSql.Services.QueryState,YesSql.Data.DefaultIdentifierFactory' YesSql.Serialization.JsonContentSerializer' YesSql.Services.DefaultIdGenerator' YesSql.Services.DbBlockIdGenerator' YesSql.Collections.CollectionHelper' YesSql.Commands.CreateDocumentCommand' YesSql.Commands.CreateIndexCommand' YesSql.Commands.DeleteDocumentCommand' YesSql.Commands.DeleteMapIndexCommand' YesSql.Commands.DeleteReduceIndexCommand' YesSql.Commands.IIndexCommand' YesSql.Commands.UpdateDocumentCommand' YesSql.Commands.UpdateIndexCommand' YesSql.Data.MapState' YesSql.Data.MapStates' YesSql.Data.WorkerQueryKey' YesSql.Indexes.IdentityMap' YesSql.Services.DefaultQuery' YesSql.Services.Query<T>' YesSql.Commands.IndexCommand' YesSql.Services.QueryState' YesSql.Services.TypeService' YesSql.Sql.SchemaBuilder' Roslyn.Utilities.ObjectPool<T>
YesSql.Core(net461),YesSql.Data,YesSql.Configuration' YesSql.Session' YesSql.Store' YesSql.Services.DefaultQuery,
YesSql.Core(net461),YesSql.Indexes,YesSql.Session,
YesSql.Core(net461),Microsoft.Extensions.DependencyInjection,,YesSql.Configuration' YesSql.StoreFactory
YesSql.Core(net461),YesSql.Serialization,YesSql.Configuration,
YesSql.Core(net461),YesSql.Services,YesSql.ConfigurationExtensions' YesSql.Configuration' YesSql.Store' YesSql.Session,YesSql.Sql.SchemaBuilder' YesSql.Collections.CollectionHelper' YesSql.Store' YesSql.Session' YesSql.Data.WorkerQueryKey
YesSql.Core(net461),System,,
YesSql.Core(net461),YesSql.Sql,YesSql.Services.DbBlockIdGenerator' YesSql.Store,YesSql.Sql.Schema.AddColumnCommand' YesSql.Sql.Schema.AddIndexCommand' YesSql.Sql.Schema.AlterColumnCommand' YesSql.Sql.Schema.CreateColumnCommand' YesSql.Sql.Schema.DropColumnCommand' YesSql.Sql.Schema.DropIndexCommand' YesSql.Sql.Schema.RenameColumnCommand' YesSql.Sql.Schema.SchemaCommand' YesSql.Collections.CollectionHelper' YesSql.Store' YesSql.Sql.Schema.AlterTableCommand' YesSql.Sql.Schema.CreateForeignKeyCommand' YesSql.Sql.Schema.CreateTableCommand' YesSql.Sql.Schema.DropForeignKeyCommand' YesSql.Sql.Schema.DropTableCommand
YesSql.Core(net461),YesSql.Sql.Schema,YesSql.Sql.BaseCommandInterpreter' YesSql.Sql.SchemaBuilder,
YesSql.Core(net461),Roslyn.Utilities,YesSql.Store,
