Namespace,Type,Method,LOC,CC,PC
SampleWinFormClient.Controls,PubSubDisplay,Dispose,10,3,1
SampleWinFormClient.Controls,PubSubDisplay,InitializeComponent,43,1,0
SampleWinFormClient.Controls,PubSubDisplay,PubSubDisplay,3,1,0
SampleWinFormClient.Controls,PubSubDisplay,m_node_OnItemAdd,6,1,2
SampleWinFormClient.Controls,PubSubDisplay,m_node_OnItemRemove,7,3,2
SampleWinFormClient.Controls,PubSubDisplay,lbID_SelectedIndexChanged,7,2,2
SampleWinFormClient.Controls,ServiceDisplay,Dispose,7,2,1
SampleWinFormClient.Controls,ServiceDisplay,InitializeComponent,47,1,0
SampleWinFormClient.Controls,ServiceDisplay,ServiceDisplay,3,1,0
SampleWinFormClient.Controls,ServiceDisplay,m_stream_OnAuthenticate,10,1,1
SampleWinFormClient.Controls,ServiceDisplay,m_stream_OnDisconnect,4,1,1
SampleWinFormClient.Controls,ServiceDisplay,tvServices_AfterExpand,4,1,2
SampleWinFormClient.Controls,ServiceDisplay,tvServices_AfterCollapse,4,1,2
SampleWinFormClient.Controls,ServiceDisplay,tvServices_NodeMouseDoubleClick,5,2,2
SampleWinFormClient.Controls,ServiceDisplay,tvServices_AfterSelect,4,1,2
SampleWinFormClient.Controls,ServiceDisplay,GotInitialFeatures,3,1,3
SampleWinFormClient.Controls,ServiceDisplay,GotItems,18,3,3
SampleWinFormClient.Controls,ServiceDisplay,GotInfo,3,1,3
SampleWinFormClient.Forms,AddContact,AddContact,3,1,0
SampleWinFormClient.Forms,AddContact,btnAdd_Click,9,2,2
SampleWinFormClient.Forms,AddContact,txtGroup_KeyDown,10,2,2
SampleWinFormClient.Forms,AddContact,txtJID_Leave,11,3,2
SampleWinFormClient.Forms,AddContact,Dispose,7,2,1
SampleWinFormClient.Forms,AddContact,InitializeComponent,127,1,0
SampleWinFormClient.Forms,AddGroup,AddGroup,3,1,0
SampleWinFormClient.Forms,AddGroup,Dispose,7,2,1
SampleWinFormClient.Forms,AddGroup,InitializeComponent,52,1,0
SampleWinFormClient.Forms,ConferenceForm,Dispose,7,2,1
SampleWinFormClient.Forms,ConferenceForm,InitializeComponent,111,1,0
SampleWinFormClient.Forms,ConferenceForm,ConferenceForm,3,1,0
SampleWinFormClient.Forms,ConferenceForm,ConferenceForm_Shown,8,2,2
SampleWinFormClient.Forms,ConferenceForm,GotRoot,13,5,3
SampleWinFormClient.Forms,PubSubSubcribeForm,Dispose,7,2,1
SampleWinFormClient.Forms,PubSubSubcribeForm,InitializeComponent,88,1,0
SampleWinFormClient.Forms,PubSubSubcribeForm,PubSubSubcribeForm,3,1,0
SampleWinFormClient.Forms,PubSubSubcribeForm,PubSub_Shown,12,4,2
SampleWinFormClient.Forms,SendMessage,Dispose,10,3,1
SampleWinFormClient.Forms,SendMessage,InitializeComponent,109,1,0
SampleWinFormClient.Forms,SendMessage,SendMessage,3,1,2
SampleWinFormClient.Forms,SendMessage,SendMessage,4,1,1
SampleWinFormClient.Forms,SendMessage,btnSend_Click,9,2,2
SampleWinFormClient.Forms,SendMessage,btnCancel_Click,3,1,2
SampleWinFormClient,MainForm,Dispose,10,3,1
SampleWinFormClient,MainForm,InitializeComponent,532,1,0
SampleWinFormClient,MainForm,MainForm,17,1,0
SampleWinFormClient,MainForm,idler_OnUnIdle,4,1,2
SampleWinFormClient,MainForm,idler_OnIdle,4,1,2
SampleWinFormClient,MainForm,Connect,3,1,0
SampleWinFormClient,MainForm,jc_OnAuthenticate,16,2,1
SampleWinFormClient,MainForm,jc_OnDisconnect,12,2,1
SampleWinFormClient,MainForm,jc_OnError,8,1,2
SampleWinFormClient,MainForm,jc_OnAuthError,19,3,2
SampleWinFormClient,MainForm,jc_OnRegistered,6,2,2
SampleWinFormClient,MainForm,jc_OnRegisterInfo,9,3,2
SampleWinFormClient,MainForm,jc_OnMessage,11,2,2
SampleWinFormClient,MainForm,jc_OnIQ,37,9,2
SampleWinFormClient,MainForm,roster_DoubleClick,6,2,2
SampleWinFormClient,MainForm,sb_PanelClick,5,2,2
SampleWinFormClient,MainForm,connectToolStripMenuItem_Click,12,2,2
SampleWinFormClient,MainForm,mnuAvailable_Click,9,2,2
SampleWinFormClient,MainForm,mnuAway_Click,9,2,2
SampleWinFormClient,MainForm,jc_OnConnect,4,1,2
SampleWinFormClient,MainForm,jc_OnStreamError,4,1,2
SampleWinFormClient,MainForm,CurrentDomain_UnhandledException,3,1,2
SampleWinFormClient,MainForm,rm_OnRosterEnd,3,1,1
SampleWinFormClient,MainForm,MainForm_Closing,4,2,2
SampleWinFormClient,MainForm,exitToolStripMenuItem_Click,4,1,2
SampleWinFormClient,MainForm,menuItem3_Click,8,2,2
SampleWinFormClient,MainForm,menuItem5_Click,6,2,2
SampleWinFormClient,MainForm,addGroupToolStripMenuItem_Click,8,3,2
SampleWinFormClient,MainForm,servicesToolStripMenuItem_Click,13,2,2
SampleWinFormClient,MainForm,debugToolStripMenuItem_Click,13,2,2
SampleWinFormClient,MainForm,subscribeToPubSubToolStripMenuItem_Click,21,2,2
SampleWinFormClient,MainForm,rm_OnSubscription,17,3,3
SampleWinFormClient,MainForm,rm_OnUnsubscription,3,1,3
SampleWinFormClient,MainForm,closeTabToolStripMenuItem_Click,10,4,2
SampleWinFormClient,MainForm,deletePubSubToolStripMenuItem_Click,13,2,2
SampleWinFormClient,MainForm,setupPubSubForm,17,4,0
SampleWinFormClient,MainForm,joinConferenceToolStripMenuItem_Click,8,2,2
SampleWinFormClient,MainForm,muc_OnRoomConfig,6,2,2
SampleWinFormClient,MainForm,muc_OnPresenceError,4,1,2
SampleWinFormClient,MainForm,muc_OnInvite,4,1,2
SampleWinFormClient,MainForm,bmm_OnConferenceAdd,12,3,2
SampleWinFormClient,MainForm,bmm_OnConferenceRemove,5,2,2
SampleWinFormClient,MainForm,lvBookmarks_KeyUp,4,2,2
SampleWinFormClient,MainForm,addToolStripMenuItem_Click,10,2,2
SampleWinFormClient,MainForm,removeToolStripMenuItem_Click,6,2,2
SampleWinFormClient,MainForm,lvBookmarks_DoubleClick,14,3,2
