Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
GitHubAPI.IntegrationTests.Authentication,BasicAuthenticationTest,3,2,0,0,2,28,2,0,0,0,0,0,,
GitHubAPI.IntegrationTests,HeaderProviderTests,0,0,0,0,0,31,0,0,0,-1,3,0,GitHubAPI.IntegrationTests.HeaderProviderTestsBase' GitHubAPI.IntegrationTests.Ext.TinySpec' GitHubAPI.IntegrationTests.Ext.FactAttribute,
GitHubAPI.IntegrationTests,HeaderProviderTestsBase,1,1,0,0,1,8,1,1,1,0,0,1,,GitHubAPI.IntegrationTests.HeaderProviderTests
GitHubAPI.IntegrationTests,when_new_object_instance_instantiated,0,3,0,0,3,20,3,0,2,-1,0,0,,
GitHubAPI.IntegrationTests,IssueTests,0,0,0,0,0,200,0,0,0,-1,5,0,GitHubAPI.IntegrationTests.GetIssuesTestsBase' GitHubAPI.IntegrationTests.CreateIssueTestsBase' GitHubAPI.IntegrationTests.EditIssueTestsBase' GitHubAPI.IntegrationTests.Ext.FactAttribute' GitHubAPI.IntegrationTests.Ext.TestsSpecBase,
GitHubAPI.IntegrationTests,GetIssuesTestsBase,3,1,0,0,1,11,1,2,1,0,0,1,,GitHubAPI.IntegrationTests.IssueTests
GitHubAPI.IntegrationTests,when_retrieving_issues_unauthenticated,0,4,0,0,4,25,4,0,2,-1,0,0,,
GitHubAPI.IntegrationTests,when_retrieving_issues_authenticated,0,2,0,0,2,14,2,0,2,-1,0,0,,
GitHubAPI.IntegrationTests,CreateIssueTestsBase,8,1,0,0,1,16,1,4,1,0,0,1,,GitHubAPI.IntegrationTests.IssueTests
GitHubAPI.IntegrationTests,when_creating_issues_unauthenticated,0,3,0,0,3,25,3,0,2,-1,0,0,,
GitHubAPI.IntegrationTests,when_creating_issues_authenticated_to_nonexistant_repo,0,3,0,0,3,25,3,0,2,-1,0,0,,
GitHubAPI.IntegrationTests,when_creating_issues_authenticated_to_unauthorized_repo,0,3,0,0,3,28,3,0,2,-1,0,0,,
GitHubAPI.IntegrationTests,when_creating_issues_authenticated_to_authorized_repo,0,2,0,0,2,18,2,0,2,-1,0,0,,
GitHubAPI.IntegrationTests,EditIssueTestsBase,9,1,0,0,1,17,1,1,1,0,0,1,,GitHubAPI.IntegrationTests.IssueTests
GitHubAPI.IntegrationTests,when_editing_issues_authenticated_to_existent_issue,0,2,0,0,2,18,2,0,2,-1,0,0,,
GitHubAPI.IntegrationTests,LogExtensions,1,2,0,0,2,27,2,0,0,0,0,0,,
GitHubAPI.IntegrationTests,UsersTest,0,0,0,0,0,151,0,0,0,-1,3,0,GitHubAPI.IntegrationTests.UsersTestsBase' GitHubAPI.IntegrationTests.Ext.FactAttribute' GitHubAPI.IntegrationTests.Ext.TestsSpecBase,
GitHubAPI.IntegrationTests,UsersTestsBase,2,1,0,0,1,10,1,4,1,0,0,1,,GitHubAPI.IntegrationTests.UsersTest
GitHubAPI.IntegrationTests,when_retrieving_unauthenticated_user,0,4,0,0,4,25,4,0,2,-1,0,0,,
GitHubAPI.IntegrationTests,when_retrieving_the_authenticated_user,0,4,0,0,4,26,4,0,2,-1,0,0,,
GitHubAPI.IntegrationTests,when_getting_the_list_of_users,0,4,0,0,4,28,4,0,2,-1,0,0,,
GitHubAPI.IntegrationTests,when_updating_a_user,0,3,0,0,3,20,3,0,2,-1,0,0,,
GitHubAPI.IntegrationTests.Properties,TestResources,2,1,3,0,0,51,1,0,0,0,0,0,,
GitHubAPI.IntegrationTests.Ext,TinySpec,0,5,0,0,5,18,5,2,0,-1,0,2,,GitHubAPI.IntegrationTests.Ext.TestsSpecBase' GitHubAPI.IntegrationTests.HeaderProviderTests
GitHubAPI.IntegrationTests.Ext,ObservationAttribute,0,0,0,0,0,1,0,0,0,-1,0,0,,
GitHubAPI.IntegrationTests.Ext,FactAttribute,0,0,0,0,0,1,0,0,0,-1,0,3,,GitHubAPI.IntegrationTests.HeaderProviderTests' GitHubAPI.IntegrationTests.UsersTest' GitHubAPI.IntegrationTests.IssueTests
GitHubAPI.IntegrationTests.Ext,ConcernForAttribute,0,1,1,0,1,9,1,0,0,-1,0,0,,
GitHubAPI.IntegrationTests.Ext,TestsSpecBase,1,2,3,0,2,24,2,4,1,1,1,2,GitHubAPI.IntegrationTests.Ext.TinySpec,GitHubAPI.IntegrationTests.UsersTest' GitHubAPI.IntegrationTests.IssueTests
