Method,LOC,CC,PC
Administrator:TotalGeneration,9,3,0
Administrator:TotalGenerationScript,3,1,0
Administrator:TotalSynchronizeScript,10,2,2
Administrator:CreateTemporaryTable,8,3,0
Administrator:CreateTemporaryIndex,6,1,1
Administrator:OverrideDatabaseInSysViews,5,1,1
Administrator:ExistsTable,3,1,0
Administrator:ExistsTable,3,1,1
Administrator:ExistsTable,14,3,1
Administrator:TryRetrieveAll,3,1,1
Administrator:TryRetrieveAll,10,1,2
Administrator:DisableIdentity,4,1,0
Administrator:DisableIdentity,4,1,1
Administrator:DisableIdentity,13,3,1
Administrator:DisableIdentity,7,1,1
Administrator:SaveDisableIdentity,8,1,1
Administrator:SaveListDisableIdentity,8,1,1
Administrator:UnsafeDeleteDuplicates,5,1,3
Administrator:UnsafeDeleteMListDuplicates,5,1,3
Administrator:QueryPreCommand,4,1,1
Administrator:UnsafeDeletePreCommand,7,2,1
Administrator:UnsafeDeletePreCommand,7,2,2
Administrator:UnsafeUpdatePartPreCommand,4,1,1
Administrator:UpdateToStrings,3,1,0
Administrator:UpdateToStrings,16,2,1
Administrator:UpdateToStrings,3,1,1
Administrator:UpdateToStrings,4,1,2
Administrator:UpdateToString,5,1,1
Administrator:UpdateToString,5,1,2
Administrator:PrepareForBatchLoadScope,4,1,3
Administrator:PrepareForBathLoadScope,10,1,4
Administrator:PrepareTableForBatchLoadScope,46,6,4
Administrator:GetIndixesNames,12,1,2
Administrator:DropUniqueIndexes,6,2,0
Administrator:MoveAllForeignKeys,7,1,3
Administrator:MoveAllForeignKeysScript,3,1,3
Administrator:MoveAllForeignKeysConsole,7,2,3
Administrator:MoveAllForeignKeysPrivate,21,4,3
Administrator:GetColumnTables,13,1,2
Administrator:GetSetTicks,4,1,1
Administrator:DeleteWhereScript,10,3,3
Administrator:DeleteWhereScript,5,1,2
BulkInserter:BulkInsert,16,1,7
BulkInserter:BulkInsertQueryIds,20,1,8
BulkInserter:BulkInsertMLists,7,2,4
BulkInserter:GetFilterAutomatic,13,4,1
BulkInserter:BulkInsertTable,52,1,7
BulkInserter:Validate,8,3,1
BulkInserter:BulkInsertMListTablePropertyRoute,3,1,5
BulkInserter:BulkInsertMListTable,23,1,5
BulkInserter:BulkInsertMListTable,25,1,5
BulkInserter:BulkInsertView,26,1,4
Connector:Override,5,1,1
Connector:CommandTimeoutScope,5,1,1
Connector:Connector,5,1,2
Connector:Log,14,3,1
Connector:GetSqlDbType,0,1,1
Connector:ExecuteScalar,0,1,2
Connector:ExecuteNonQuery,0,1,2
Connector:ExecuteDataTable,0,1,2
Connector:UnsafeExecuteDataReader,0,1,2
Connector:UnsafeExecuteDataReaderAsync,0,1,3
Connector:ExecuteDataSet,0,1,2
Connector:BulkCopy,0,1,4
Connector:DatabaseName,0,1,0
Connector:DataSourceName,0,1,0
Connector:SaveTransactionPoint,0,1,2
Connector:RollbackTransactionPoint,0,1,2
Connector:CloneParameter,0,1,1
Connector:CreateConnection,0,1,0
Connector:CleanDatabase,0,1,1
Connector:TryExtractDatabaseNameWithPostfix,8,2,2
Connector:ExtractCatalogPostfix,8,2,2
Connector:AllowsIndexWithWhere,0,1,1
Connector:ShringDatabase,0,1,1
ParameterBuilder:GetParameterName,3,1,1
ParameterBuilder:CreateReferenceParameter,3,1,3
ParameterBuilder:CreateParameter,4,1,3
ParameterBuilder:CreateParameter,0,1,5
ParameterBuilder:ParameterFactory,0,1,5
ParameterBuilder:IsDate,3,1,1
ParameterBuilder:AssertDateTime,5,2,1
Executor:ExecuteScalar,3,1,3
Executor:ExecuteScalar,3,1,2
Executor:ExecuteNonQuery,3,1,3
Executor:ExecuteNonQuery,3,1,2
Executor:UnsafeExecuteDataReader,3,1,3
Executor:UnsafeExecuteDataReader,3,1,2
Executor:UnsafeExecuteDataReaderAsync,3,1,4
Executor:UnsafeExecuteDataReaderAsync,3,1,3
Executor:ExecuteDataTable,3,1,3
Executor:ExecuteDataTable,3,1,2
Executor:ExecuteDataSet,3,1,3
Executor:ExecuteDataSet,3,1,2
Executor:ExecuteLeaves,6,2,2
Executor:BulkCopy,3,1,4
FieldReader:GetTypeCode,14,5,1
FieldReader:FieldReader,6,2,1
FieldReader:IsNull,4,1,1
FieldReader:GetString,32,3,1
FieldReader:GetByteArray,8,2,1
FieldReader:GetBoolean,20,2,1
FieldReader:GetNullableBoolean,8,2,1
FieldReader:GetByte,22,2,1
FieldReader:GetNullableByte,8,2,1
FieldReader:GetChar,22,2,1
FieldReader:GetNullableChar,8,2,1
FieldReader:GetFloat,22,2,1
FieldReader:GetNullableFloat,8,2,1
FieldReader:GetDouble,22,2,1
FieldReader:GetNullableDouble,8,2,1
FieldReader:GetDecimal,22,2,1
FieldReader:GetNullableDecimal,8,2,1
FieldReader:GetInt16,22,2,1
FieldReader:GetNullableInt16,8,2,1
FieldReader:GetInt32,22,2,1
FieldReader:GetNullableInt32,8,2,1
FieldReader:GetInt64,22,2,1
FieldReader:GetNullableInt64,8,2,1
FieldReader:GetDateTime,16,3,1
FieldReader:GetNullableDateTime,8,2,1
FieldReader:GetDateTimeOffset,10,2,1
FieldReader:GetNullableDateTimeOffset,8,2,1
FieldReader:GetTimeSpan,10,2,1
FieldReader:GetNullableTimeSpan,8,2,1
FieldReader:GetGuid,10,2,1
FieldReader:GetNullableGuid,8,2,1
FieldReader:GetUdt,8,2,1
FieldReader:GetExpression,13,4,3
FieldReader:GetIsNull,3,1,2
FieldReader:CreateFieldReaderException,8,1,1
FieldReaderException:FieldReaderException,1,1,1
FieldReaderException:FieldReaderException,1,1,2
SqlConnector:SqlConnector,17,6,4
SqlConnector:EnsureConnection,7,2,0
SqlConnector:NewCommand,23,5,3
SqlConnector:ExecuteScalar,21,1,2
SqlConnector:ExecuteNonQuery,19,1,2
SqlConnector:ExecuteDataReaderDependency,58,1,5
SqlConnector:UnsafeExecuteDataReader,14,1,2
SqlConnector:UnsafeExecuteDataReaderAsync,14,1,3
SqlConnector:ExecuteDataTable,21,1,2
SqlConnector:ExecuteDataSet,21,1,2
SqlConnector:HandleException,5,1,2
SqlConnector:ReplaceException,23,5,2
SqlConnector:BulkCopy,15,1,4
SqlConnector:DatabaseName,3,1,0
SqlConnector:DataSourceName,3,1,0
SqlConnector:SaveTransactionPoint,3,1,2
SqlConnector:RollbackTransactionPoint,3,1,2
SqlConnector:GetSqlDbType,3,1,1
SqlConnector:CloneParameter,4,1,1
SqlConnector:CreateConnection,3,1,0
SqlConnector:CleanDatabase,4,1,1
SqlConnector:ForDatabase,5,2,1
SqlConnector:Replace,7,1,2
SqlConnector:AllowsIndexWithWhere,3,1,1
SqlConnector:ShringDatabase,18,1,1
SqlParameterBuilder:CreateParameter,13,3,5
SqlParameterBuilder:ParameterFactory,17,3,5
SqlConnectorScripts:RemoveAllScript,10,1,1
SqlConnectorScripts:Use,5,2,2
SqlConnectorScripts:ShrinkDatabase,3,1,1
Transaction:Transaction,2,1,0
Transaction:Transaction,9,3,1
Transaction:None,3,1,0
Transaction:NamedSavePoint,3,1,1
Transaction:ForceNew,5,1,0
Transaction:ForceNew,5,1,1
Transaction:Test,3,1,0
Transaction:Test,3,1,1
Transaction:GetCurrent,3,1,0
Transaction:TopParentUserData,3,1,0
Transaction:CurrentStatus,8,1,0
Transaction:Commit,4,1,1
Transaction:Commit,6,2,0
Transaction:PreRealCommitOnly,8,3,0
Transaction:Dispose,18,3,0
Transaction:InvokePreRealCommit,3,1,1
Transaction:OnException,3,1,1
ICoreTransaction:CallPostRealCommit,0,1,0
ICoreTransaction:Rollback,0,1,1
ICoreTransaction:Commit,0,1,0
ICoreTransaction:Finish,0,1,0
ICoreTransaction:Start,0,1,0
FakedTransaction:FakedTransaction,5,2,1
FakedTransaction:Start,1,1,0
FakedTransaction:Rollback,3,1,1
FakedTransaction:Commit,1,1,0
FakedTransaction:Finish,1,1,0
FakedTransaction:CallPostRealCommit,2,1,0
RealTransaction:RealTransaction,4,1,2
RealTransaction:Start,9,2,0
RealTransaction:Commit,7,2,0
RealTransaction:OnPreRealCommit,10,3,0
RealTransaction:CallPostRealCommit,9,3,0
RealTransaction:Rollback,8,2,1
RealTransaction:Finish,12,3,0
NamedTransaction:NamedTransaction,8,3,2
NamedTransaction:Start,8,2,0
NamedTransaction:Rollback,8,2,1
NamedTransaction:Commit,2,1,0
NamedTransaction:CallPostRealCommit,8,5,0
NamedTransaction:Finish,1,1,0
NoneTransaction:NoneTransaction,3,1,1
NoneTransaction:Start,9,2,0
NoneTransaction:Commit,14,4,0
NoneTransaction:CallPostRealCommit,9,3,0
NoneTransaction:Rollback,8,2,1
NoneTransaction:Finish,12,2,0
TestTransaction:TestTransaction,4,1,2
TestTransaction:Finish,4,1,0
UserConnections:LoadReplacements,5,2,0
UserConnections:Replace,9,3,1
UserConnections:GetCustomReplacement,3,1,1
ProgressExtensions:ProgressSelect,10,1,5
ProgressExtensions:ProgressForeach,42,5,7
ProgressExtensions:ProgressForeachInternal,10,2,6
ProgressExtensions:ProgressForeachSequential,37,5,5
ProgressExtensions:ProgressForeachParallel,52,3,6
ProgressExtensions:TryOpenAutoFlush,15,4,1
ProgressExtensions:GetFileWriter,8,1,1
ProgressExtensions:GetConsoleWriter,14,1,0
SchemaGenerator:CreateSchemasScript,9,1,0
SchemaGenerator:CreateTablesScript,9,1,0
SchemaGenerator:InsertEnumValuesScript,7,1,0
SchemaGenerator:SnapshotIsolation,19,3,0
SqlUtils:SqlEscape,5,2,1
SqlUtils:RemoveDuplicatedIndices,39,2,0
UniqueKeyException:UniqueKeyException,1,1,2
UniqueKeyException:UniqueKeyException,35,5,1
ForeignKeyException:ForeignKeyException,1,1,2
ForeignKeyException:ForeignKeyException,27,4,1
EntityNotFoundException:EntityNotFoundException,1,1,2
EntityNotFoundException:EntityNotFoundException,4,1,2
ConcurrencyException:ConcurrencyException,1,1,2
ConcurrencyException:ConcurrencyException,4,1,2
Database:SaveList,9,1,1
Database:SaveParams,9,1,1
Database:Save,19,2,1
Database:Retrieve,7,3,1
Database:RetrieveAsyc,7,3,2
Database:RetrieveAndForget,5,2,1
Database:RetrieveAndForgetAsync,5,2,2
Database:Retrieve,37,1,1
Database:RetrieveAsync,36,1,2
Database:GetCacheController,7,2,0
Database:GetFilterQuery,5,2,0
Database:Retrieve,3,1,2
Database:RetrieveAsync,3,1,3
Database:RetrieveLite,3,1,2
Database:RetrieveLiteAsync,3,1,3
Database:RetrieveLite,23,1,1
Database:RetrieveLiteAsync,23,1,2
Database:FillToString,6,2,1
Database:FillToStringAsync,6,2,2
Database:GetToStr,0,1,2
Database:GetToStr,18,1,1
Database:GetToStrAsync,0,1,3
Database:GetToStrAsync,18,1,2
Database:Exists,11,1,1
Database:ExistsAsync,11,1,2
Database:Exists,0,1,2
Database:Exists,12,1,1
Database:ExistsAsync,0,1,3
Database:ExistsAsync,12,1,2
Database:RetrieveAll,32,1,0
Database:RetrieveAllAsync,32,1,1
Database:RetrieveAll,6,2,1
Database:RetrieveAllAsyncIList,0,1,1
Database:RetrieveAllAsync,6,2,2
Database:RetrieveAllLite,19,1,0
Database:RetrieveAllLiteAsyncIList,0,1,1
Database:RetrieveAllLiteAsync,19,1,1
Database:RetrieveAllLite,6,2,1
Database:RetrieveAllLiteAsync,6,2,2
Database:RetrieveList,38,1,2
Database:RetrieveFromDatabaseOrCache,35,5,2
Database:RetrieveListAsyncIList,0,1,2
Database:RetrieveListAsync,38,1,2
Database:RetrieveFromDatabaseOrCache,25,4,2
Database:RetrieveList,6,2,3
Database:RetrieveListAsync,6,2,3
Database:RetrieveListLite,17,1,1
Database:RetrieveListLiteAsyncIList,0,1,2
Database:RetrieveListLiteAsync,21,1,2
Database:RetrieveListLite,6,2,2
Database:RetrieveListLite,6,2,3
Database:RetrieveFromListOfLite,13,3,2
Database:RetrieveFromListOfLiteAsync,15,3,2
Database:Delete,5,2,2
Database:Delete,7,3,1
Database:Delete,7,3,1
Database:Delete,8,1,1
Database:DeleteList,14,5,1
Database:DeleteList,19,4,1
Database:DeleteList,5,2,2
Database:DeleteList,17,2,1
Database:Query,3,1,0
Database:MListQuery,6,1,1
Database:MListElements,3,1,2
Database:MListElementsLite,3,1,2
Database:InDB,3,1,1
Database:InDBEntity,3,1,2
Database:InDB,10,4,1
Database:InDB,5,2,1
Database:InDB,3,1,2
Database:InDB,8,3,1
Database:View,3,1,0
Database:UnsafeDelete,17,2,2
Database:UnsafeDeleteMList,16,2,2
Database:UnsafeDeleteChunks,15,5,5
Database:UnsafeDeleteMListChunks,15,5,5
Database:UnsafeUpdate,3,1,1
Database:UnsafeUpdateMList,3,1,1
Database:UnsafeUpdatePart,3,1,2
Database:UnsafeUpdateMListPart,3,1,2
Database:Execute,16,2,2
Database:ExecuteChunks,11,3,3
Database:UnsafeMessage,6,2,1
Database:UnsafeInsert,19,2,3
Database:UnsafeInsertMList,19,2,4
Database:UnsafeInsertView,19,2,3
Database:Merge,6,2,4
Database:MergeMList,6,2,5
Database:ToListWait,10,1,2
Database:ToListWait,8,1,3
MListQueryExpander:Expand,4,1,3
MListElementsExpander:Expand,12,2,3
InDbExpander:Expand,18,2,3
MListElement<E;V>:ToString,3,1,0
SignumTable<E>:SignumTable,3,1,2
IUpdateable:EntityQuery,0,1,0
IUpdateable:Take,0,1,1
IUpdateable:Set,0,1,2
IUpdateablePart:Set,0,1,2
UpdateablePart<A;T>:UpdateablePart,5,1,3
UpdateablePart<A;T>:Set,4,1,2
UpdateablePart<A;T>:EntityQuery,4,1,0
UpdateablePart<A;T>:Take,3,1,1
UpdateableConverter:Convert,12,3,1
Updateable<T>:Updateable,4,1,2
Updateable<T>:Set,4,1,2
Updateable<T>:EntityQuery,3,1,0
Updateable<T>:Take,3,1,1
SetterExpressions:SetterExpressions,4,1,2
Synchronizer:Synchronize,22,3,5
Synchronizer:SynchronizeProgressForeach,22,1,5
Synchronizer:SynchronizeReplacing,26,3,7
Synchronizer:SynchronizeScript,10,1,6
Synchronizer:SynchronizeScriptReplacing,7,1,8
Synchronizer:RenameTable,8,2,2
Replacements:KeyColumnsForTable,3,1,1
Replacements:KeyEnumsForTable,3,1,1
Replacements:WithReplacedDatabaseName,5,2,0
Replacements:Apply,4,1,2
Replacements:ApplyReplacementsToOld,6,2,2
