Namespace,Type,Method,LOC,CC,PC
SIL.FieldWorks.Discourse,AdvancedMTDialogLogicTests,CreateTestData,19,1,0
SIL.FieldWorks.Discourse,AdvancedMTDialogLogicTests,TestTearDown,5,1,0
SIL.FieldWorks.Discourse,AdvancedMTDialogLogicTests,SetupParamObjBase,7,1,0
SIL.FieldWorks.Discourse,AdvancedMTDialogLogicTests,SetupParameterObject,5,1,1
SIL.FieldWorks.Discourse,AdvancedMTDialogLogicTests,SetupParameterObject,9,2,1
SIL.FieldWorks.Discourse,AdvancedMTDialogLogicTests,SetClickedCell,3,1,2
SIL.FieldWorks.Discourse,AdvancedMTDialogLogicTests,SetEligibleRows,3,1,1
SIL.FieldWorks.Discourse,AdvancedMTDialogLogicTests,GetColumnChoices_SameRowCol0,21,2,0
SIL.FieldWorks.Discourse,AdvancedMTDialogLogicTests,GetColumnChoices_SameRowLastCol,19,2,0
SIL.FieldWorks.Discourse,AdvancedMTDialogLogicTests,GetColumnChoices_LaterRowCol0,16,1,0
SIL.FieldWorks.Discourse,AdvancedMTDialogLogicTests,SetAffectedWordGroups_1stOnly,21,1,0
SIL.FieldWorks.Discourse,AdvancedMTDialogLogicTests,SetAffectedWordGroups_1st2nd,22,1,0
SIL.FieldWorks.Discourse,AdvancedMTDialogLogicTests,SetAffectedWordGroups_2nd3rd,22,1,0
SIL.FieldWorks.Discourse,AdvancedMTDialogLogicTests,SetAffectedWordGroups_3rdOnly,22,1,0
SIL.FieldWorks.Discourse,AdvancedMTDialogLogicTests,SetAffectedWordGroups_2ndOnly,22,1,0
SIL.FieldWorks.Discourse,AdvancedMTDialogLogicTests,SetAffectedWordGroups_All,23,1,0
SIL.FieldWorks.Discourse,ConstChartRowDecoratorTests,CreateTestDecorator,3,1,0
SIL.FieldWorks.Discourse,ConstChartRowDecoratorTests,Test_NoCalls,9,1,0
SIL.FieldWorks.Discourse,ConstChartRowDecoratorTests,Test_FiveCallsLeftToRight,16,1,0
SIL.FieldWorks.Discourse,ConstChartRowDecoratorTests,Test_OpenCellAddString,19,1,0
SIL.FieldWorks.Discourse,ConstChartRowDecoratorTests,Test_MakeRowLabelCell,26,1,0
SIL.FieldWorks.Discourse,ConstChartRowDecoratorTests,Test_MakeNotesCell,26,1,0
SIL.FieldWorks.Discourse,VwEnvSpy,VwEnvSpy,3,1,0
SIL.FieldWorks.Discourse,VwEnvSpy,InternalFlush,4,1,0
SIL.FieldWorks.Discourse,VwEnvSpy,ResetVariables,6,1,0
SIL.FieldWorks.Discourse,VwEnvSpy,AddObjProp,5,2,3
SIL.FieldWorks.Discourse,VwEnvSpy,AddObjVec,5,2,3
SIL.FieldWorks.Discourse,VwEnvSpy,AddObjVecItems,5,2,3
SIL.FieldWorks.Discourse,VwEnvSpy,AddObj,5,2,3
SIL.FieldWorks.Discourse,VwEnvSpy,AddProp,5,2,3
SIL.FieldWorks.Discourse,VwEnvSpy,AddString,5,2,1
SIL.FieldWorks.Discourse,VwEnvSpy,AddStringProp,5,2,2
SIL.FieldWorks.Discourse,VwEnvSpy,CloseInnerPile,5,2,0
SIL.FieldWorks.Discourse,VwEnvSpy,CloseParagraph,5,2,0
SIL.FieldWorks.Discourse,VwEnvSpy,CloseSpan,5,2,0
SIL.FieldWorks.Discourse,VwEnvSpy,CloseTableCell,5,2,0
SIL.FieldWorks.Discourse,VwEnvSpy,NoteDependency,5,2,3
SIL.FieldWorks.Discourse,VwEnvSpy,OpenInnerPile,5,2,0
SIL.FieldWorks.Discourse,VwEnvSpy,OpenParagraph,5,2,0
SIL.FieldWorks.Discourse,VwEnvSpy,OpenSpan,5,2,0
SIL.FieldWorks.Discourse,VwEnvSpy,OpenTableCell,5,2,2
SIL.FieldWorks.Discourse,VwEnvSpy,set_IntProperty,5,2,3
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,CreateTestData,13,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,MakeParagraphSpecificContent,3,1,1
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,CallGetWordGroupCellsBorderingChOrph,7,1,3
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,MakeAnalysesUsedN,3,1,1
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,MakeAnalysesUsedN,3,1,2
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,MakeWordGroup,3,1,4
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,MakeRow,3,1,1
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,NextUnusedInEmptyText,4,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,NextUnusedInUnannotatedText,5,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,NextUnusedInUnchartedOneAnnotatedWordText,6,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,NextUnusedInFullyChartedOneAnnotatedWordText,8,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,NextUnusedInUnchartedThreeWordText,12,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,NextUnusedInPartlyChartedText,15,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,NextUnusedInFullyChartedText,11,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,NextUnusedInUnchartedThreeParaText,29,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,NextUnusedInPartlyChartedThreeParaText,30,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,NextUnusedInFullyChartedThreeParaText,34,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,FindChartLocOfWordform_NotCharted,21,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,FindChartLocOfWordform_Charted,26,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,FindChartLocOfWordform_ChOrphBeginningOfText,27,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,FindChartLocOfWordform_ChOrphMiddleOfText,29,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,IsChartComplete_Yes,32,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,IsChartComplete_No,29,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,ChOrphFalse,25,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,ChOrphFromOtherPara,24,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,ChOrphFromOffset,25,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,FindPrecFollCellsForParaChOrph,27,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,FindPrecFollCellsForOffsetChOrph,27,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,FindPrecFollCellsForOffsetChOrph_EmptyRow,31,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,FindPrecFollCellsForParaChOrph_NothingBefore,27,1,0
SIL.FieldWorks.Discourse,ConstituentChartDatabaseTests,FindWhereAddChOrph_InsertAfterEarlierPara,30,1,0
