Implementation smell,Namespace,Class,File,Method,Description
Long Method,SIL.FieldWorks,FieldWorks,C:\repos\sillsdev_FieldWorks\Src\Common\FieldWorks\FieldWorks.cs,Main,The method has 193 lines of code.
Long Method,SIL.FieldWorks,FieldWorks,C:\repos\sillsdev_FieldWorks\Src\Common\FieldWorks\FieldWorks.cs,ShowWelcomeDialog,The method has 156 lines of code.
Long Method,SIL.FieldWorks,FieldWorks,C:\repos\sillsdev_FieldWorks\Src\Common\FieldWorks\FieldWorks.cs,MoveProjectFolders,The method has 113 lines of code.
Long Method,SIL.FieldWorks,WelcomeToFieldWorksDlg,C:\repos\sillsdev_FieldWorks\Src\Common\FieldWorks\WelcomeToFieldWorksDlg.Designer.cs,InitializeComponent,The method has 190 lines of code.
Complex Method,SIL.FieldWorks,FieldWorks,C:\repos\sillsdev_FieldWorks\Src\Common\FieldWorks\FieldWorks.cs,Main,Cyclomatic complexity of the method is 14
Complex Method,SIL.FieldWorks,FieldWorks,C:\repos\sillsdev_FieldWorks\Src\Common\FieldWorks\FieldWorks.cs,MustCopyFoldersAndFiles,Cyclomatic complexity of the method is 8
Complex Method,SIL.FieldWorks,FieldWorks,C:\repos\sillsdev_FieldWorks\Src\Common\FieldWorks\FieldWorks.cs,SetupErrorReportInformation,Cyclomatic complexity of the method is 8
Long Parameter List,SIL.FieldWorks,WindowsInstallerQuery,C:\repos\sillsdev_FieldWorks\Src\Common\FieldWorks\FieldWorks.cs,MsiGetFeatureInfo,The method has 7 parameters. Parameters: hProduct' szFeature' lpAttributes' lpTitleBuf' cchTitleBuf' lpHelpBuf' cchHelpBuf
Long Parameter List,SIL.FieldWorks.LexicalProvider,LexicalProviderImpl,C:\repos\sillsdev_FieldWorks\Src\Common\FieldWorks\LexicalProvider\LexicalProviderImpl.cs,AddGlossToSense,The method has 6 parameters. Parameters: type' lexicalForm' homograph' senseId' language' text
Long Parameter List,SIL.FieldWorks.LexicalProvider,LexicalProviderImpl,C:\repos\sillsdev_FieldWorks\Src\Common\FieldWorks\LexicalProvider\LexicalProviderImpl.cs,RemoveGloss,The method has 5 parameters. Parameters: type' lexicalForm' homograph' senseId' language
Long Parameter List,SIL.FieldWorks.LexicalProvider,ILexicalProvider,C:\repos\sillsdev_FieldWorks\Src\Common\FieldWorks\LexicalProvider\ILexicalProvider.cs,AddGlossToSense,The method has 6 parameters. Parameters: type' lexicalForm' homograph' senseId' language' text
Long Parameter List,SIL.FieldWorks.LexicalProvider,ILexicalProvider,C:\repos\sillsdev_FieldWorks\Src\Common\FieldWorks\LexicalProvider\ILexicalProvider.cs,RemoveGloss,The method has 5 parameters. Parameters: type' lexicalForm' homograph' senseId' language
Long Parameter List,SIL.FieldWorks.PaObjects,PaLexicalInfo,C:\repos\sillsdev_FieldWorks\Src\Common\FieldWorks\PaObjects\PaLexicalInfo.cs,ShowOpenProject,The method has 5 parameters. Parameters: owner' dialogBounds' dialogSplitterPos' name' server
Long Parameter List,SIL.FieldWorks.PaObjects,PaLexicalInfo,C:\repos\sillsdev_FieldWorks\Src\Common\FieldWorks\PaObjects\PaLexicalInfo.cs,InternalInitialize,The method has 5 parameters. Parameters: name' server' loadOnlyWs' timeToWaitForProcessStart' timeToWaitForLoadingData
Long Parameter List,SIL.FieldWorks.PaObjects,PaLexicalInfo,C:\repos\sillsdev_FieldWorks\Src\Common\FieldWorks\PaObjects\PaLexicalInfo.cs,LoadFwDataForPa,The method has 7 parameters. Parameters: requestor' name' server' loadOnlyWs' timeToWaitForLoadingData' newProcessStarted' foundFwProcess
Long Identifier,SIL.FieldWorks,WelcomeToFieldWorksDlg,C:\repos\sillsdev_FieldWorks\Src\Common\FieldWorks\WelcomeToFieldWorksDlg.Designer.cs,,The length of the parameter m_sampleOrLastProjectLinkLabel is 30.
Long Identifier,SIL.FieldWorks.LexicalProvider,LexicalServiceProvider,C:\repos\sillsdev_FieldWorks\Src\Common\FieldWorks\LexicalProvider\LexicalServiceProvider.cs,,The length of the parameter kSupportedLexicalProviderVersion is 32.
Long Statement,SIL.FieldWorks,MoveProjectsDlg,C:\repos\sillsdev_FieldWorks\Src\Common\FieldWorks\MoveProjectsDlg.cs,InitializeComponent,The length of the statement  "			System.ComponentModel.ComponentResourceManager resources = new System.ComponentModel.ComponentResourceManager(typeof(MoveProjectsDlg)); " is 135.
Long Statement,SIL.FieldWorks,ProjectId,C:\repos\sillsdev_FieldWorks\Src\Common\FieldWorks\ProjectId.cs,CleanUpNameForType,The length of the statement  "			if (SysPath.GetExtension(name) != ext && (FileUtils.SimilarFileExists(name + ext) || !FileUtils.SimilarFileExists(name))) " is 121.
Long Statement,SIL.FieldWorks,FieldWorks,C:\repos\sillsdev_FieldWorks\Src\Common\FieldWorks\FieldWorks.cs,Main,The length of the statement  "					reportingSettings.OkToPingBasicUsageData = feedbackEnvVar.ToLower().Equals("true") || feedbackEnvVar.ToLower().Equals("yes"); " is 125.
Long Statement,SIL.FieldWorks,FieldWorks,C:\repos\sillsdev_FieldWorks\Src\Common\FieldWorks\FieldWorks.cs,EnsureValidLinkedFilesFolder,The length of the statement  "				MessageBox.Show(String.Format(Properties.Resources.ksInvalidLinkedFilesFolder' linkedFilesFolder)' Properties.Resources.ksErrorCaption); " is 136.
Long Statement,SIL.FieldWorks,FieldWorks,C:\repos\sillsdev_FieldWorks\Src\Common\FieldWorks\FieldWorks.cs,ShowWelcomeDialog,The length of the statement  "				using (WelcomeToFieldWorksDlg dlg = new WelcomeToFieldWorksDlg(helpTopicProvider' exception' s_noPreviousReportingSettings)) " is 124.
