Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
LexTextControlsTests,LexImportTests,8,12,0,0,8,295,13,0,0,0,0,0,,
LexTextControlsTests,LiftExportTests,36,56,3,0,7,1965,153,0,0,0.12,2,0,LexTextControlsTests.CustomFieldType' LexTextControlsTests.MockStyle,
LexTextControlsTests,CustomFieldType,0,0,0,0,0,10,0,0,0,-1,0,1,,LexTextControlsTests.LiftExportTests
LexTextControlsTests,MockStyle,0,14,41,0,14,100,14,0,0,-1,0,1,,LexTextControlsTests.LiftExportTests
LexTextControlsTests,LiftMergerTests,59,87,3,0,53,5367,161,0,0,0.1,0,0,,
LexTextControlsTests,MessageCapture,1,2,0,1,2,16,2,0,0,0,0,0,,
LexTextControlsTests,CustomFieldData,10,0,0,0,0,34,0,0,0,-1,0,0,,
LexTextControlsTests,MasterCategoryTests,0,4,0,0,2,113,4,0,0,-1,0,0,,
LexTextControlsTests,WordsSfmImportTests,0,6,0,0,3,178,9,0,0,-1,0,0,,
SIL.FieldWorks.LexText.Controls,MsaInflectionFeatureListDlgTests,0,8,0,0,2,172,17,0,0,-1,0,0,,
