Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,SIL.FieldWorks.Common.RootSites,CollectorEnvServices,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\Common\RootSite\CollectorEnv.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,SIL.FieldWorks.Common.RootSites,IVwGraphicsNet,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\Common\RootSite\IVwGraphicsNet.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,SIL.FieldWorks.Common.RootSites,RootSiteStrings,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\Common\RootSite\RootSiteStrings.Designer.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  RootSiteStrings (D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\Common\RootSite\RootSiteStrings.Designer.cs' [43' 62])' Resources (D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\Common\RootSite\Properties\Resources.Designer.cs' [43' 62])
Unutilized Abstraction,SIL.FieldWorks.Common.RootSites,SyncUndoAction,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\Common\RootSite\UndoActions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Deficient Encapsulation,SIL.FieldWorks.Common.RootSites,StackItem,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\Common\RootSite\CollectorEnv.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: m_hvoOuter' m_hvo' m_tag' m_ihvo' m_cpropPrev
Deficient Encapsulation,SIL.FieldWorks.Common.RootSites,LocationInfo,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\Common\RootSite\CollectorEnv.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: m_location' m_tag' m_ichMin' m_ichLim' m_cpropPrev' m_ws
Insufficient Modularization,SIL.FieldWorks.Common.RootSites,CollectorEnv,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\Common\RootSite\CollectorEnv.cs,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 69 public methods
Insufficient Modularization,SIL.FieldWorks.Common.RootSites,CollectorEnv,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\Common\RootSite\CollectorEnv.cs,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 86 methods
Insufficient Modularization,SIL.FieldWorks.Common.RootSites,CollectorEnv,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\Common\RootSite\CollectorEnv.cs,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e.' WMC) is: 124
Insufficient Modularization,SIL.FieldWorks.Common.RootSites,RootSite,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\Common\RootSite\RootSite.cs,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 33 methods
Insufficient Modularization,SIL.FieldWorks.Common.RootSites,RootSiteEditingHelper,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\Common\RootSite\RootSiteEditingHelper.cs,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 41 methods
Insufficient Modularization,SIL.FieldWorks.Common.RootSites,RootSiteEditingHelper,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\Common\RootSite\RootSiteEditingHelper.cs,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e.' WMC) is: 102
Cyclically-dependent Modularization,SIL.FieldWorks.Common.RootSites,IRootSiteGroup,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\Common\RootSite\IRootSiteGroup.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: SIL.FieldWorks.Common.RootSites.IRootSiteGroup' SIL.FieldWorks.Common.RootSites.IRootSiteSlave
Cyclically-dependent Modularization,SIL.FieldWorks.Common.RootSites,RootSite,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\Common\RootSite\RootSite.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: SIL.FieldWorks.Common.RootSites.RootSite' SIL.FieldWorks.Common.RootSites.RootSiteEditingHelper
Cyclically-dependent Modularization,SIL.FieldWorks.Common.RootSites,SpellCheckHelper,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\Common\RootSite\SpellCheckHelper.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: SIL.FieldWorks.Common.RootSites.SpellCheckHelper' SIL.FieldWorks.Common.RootSites.RootSiteEditingHelper
Cyclically-dependent Modularization,SIL.FieldWorks.Common.RootSites,RootSite,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\Common\RootSite\RootSite.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: SIL.FieldWorks.Common.RootSites.RootSite' SIL.FieldWorks.Common.RootSites.RootSiteEditingHelper' SIL.FieldWorks.Common.RootSites.SpellCheckHelper
Rebellious Hierarchy,SIL.FieldWorks.Common.RootSites,TestCollectorEnv,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\Common\RootSite\CollectorEnv.cs,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: AddString
