Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
XInputDotNetPure,Imports,1,2,0,0,2,8,2,0,0,0,2,1,XInputDotNetPure.GamePadState' XInputDotNetPure.RawState,XInputDotNetPure.GamePad
XInputDotNetPure,ButtonState,0,0,0,0,0,5,0,0,0,-1,0,3,,XInputDotNetPure.GamePadButtons' XInputDotNetPure.GamePadDPad' XInputDotNetPure.GamePadState
XInputDotNetPure,GamePadButtons,11,1,11,0,0,64,1,0,0,0,1,1,XInputDotNetPure.ButtonState,XInputDotNetPure.GamePadState
XInputDotNetPure,GamePadDPad,4,1,4,0,0,27,1,0,0,0,1,1,XInputDotNetPure.ButtonState,XInputDotNetPure.GamePadState
XInputDotNetPure,GamePadThumbSticks,2,1,2,0,0,34,1,0,0,0,1,2,XInputDotNetPure.StickValue,XInputDotNetPure.GamePadState' XInputDotNetPure.Utils
XInputDotNetPure,StickValue,2,1,2,0,0,17,1,0,0,0,0,2,,XInputDotNetPure.GamePadThumbSticks' XInputDotNetPure.Utils
XInputDotNetPure,GamePadTriggers,2,1,2,0,0,18,1,0,0,0,0,1,,XInputDotNetPure.GamePadState
XInputDotNetPure,GamePadState,6,1,6,0,0,111,2,0,0,0,10,2,XInputDotNetPure.ButtonState' XInputDotNetPure.GamePadButtons' XInputDotNetPure.GamePadDPad' XInputDotNetPure.GamePadThumbSticks' XInputDotNetPure.GamePadTriggers' XInputDotNetPure.RawState' XInputDotNetPure.GamePad' XInputDotNetPure.ButtonsConstants' XInputDotNetPure.GamePadDeadZone' XInputDotNetPure.Utils,XInputDotNetPure.Imports' XInputDotNetPure.GamePad
XInputDotNetPure,RawState,2,0,0,2,0,17,0,0,0,-1,0,3,,XInputDotNetPure.Imports' XInputDotNetPure.GamePadState' XInputDotNetPure.GamePad
XInputDotNetPure,GamePad,7,3,0,7,3,27,3,0,0,0.67,6,1,XInputDotNetPure.Imports' XInputDotNetPure.GamePadState' XInputDotNetPure.RawState' XInputDotNetPure.PlayerIndex' XInputDotNetPure.GamePadDeadZone' XInputDotNetPure.Utils,XInputDotNetPure.GamePadState
XInputDotNetPure,ButtonsConstants,0,0,0,0,0,18,0,0,0,-1,0,1,,XInputDotNetPure.GamePadState
XInputDotNetPure,PlayerIndex,0,0,0,0,0,7,0,0,0,-1,0,1,,XInputDotNetPure.GamePad
XInputDotNetPure,GamePadDeadZone,0,0,0,0,0,6,0,0,0,-1,0,3,,XInputDotNetPure.GamePadState' XInputDotNetPure.GamePad' XInputDotNetPure.Utils
XInputDotNetPure,Utils,5,6,0,2,3,76,11,0,0,0,3,2,XInputDotNetPure.GamePadThumbSticks' XInputDotNetPure.StickValue' XInputDotNetPure.GamePadDeadZone,XInputDotNetPure.GamePadState' XInputDotNetPure.GamePad
