Method,LOC,CC,PC
ConnectionFactoryUtils:ReleaseConnection,14,2,2
ConnectionParameters:ConnectionParameters,6,1,2
ConnectionParameters:GetOtpSelf,1,1,0
ConnectionParameters:GetOtpPeer,1,1,0
DefaultConnection:DefaultConnection,1,1,1
DefaultConnection:Close,1,1,0
DefaultConnection:SendRPC,1,1,3
DefaultConnection:ReceiveRPC,1,1,0
DefaultConnection:GetTargetConnection,1,1,0
IConnection:Close,0,1,0
IConnection:SendRPC,0,1,3
IConnection:ReceiveRPC,0,1,0
IConnectionFactory:CreateConnection,0,1,0
IConnectionProxy:GetTargetConnection,0,1,0
SimpleConnectionFactory:SimpleConnectionFactory,5,1,3
SimpleConnectionFactory:SimpleConnectionFactory,4,1,2
SimpleConnectionFactory:CreateConnection,10,1,0
SimpleConnectionFactory:AfterPropertiesSet,26,3,0
SingleConnectionFactory:SingleConnectionFactory,5,1,3
SingleConnectionFactory:SingleConnectionFactory,4,1,2
SingleConnectionFactory:CreateConnection,17,1,0
SingleConnectionFactory:InitConnection,18,1,0
SingleConnectionFactory:ResetConnection,11,1,0
SingleConnectionFactory:CloseConnection,14,2,1
SingleConnectionFactory:DoCreateConnection,1,1,0
SingleConnectionFactory:PrepareConnection,1,1,1
SingleConnectionFactory:GetSharedConnectionProxy,21,1,1
SingleConnectionFactory:AfterPropertiesSet,26,3,0
SingleConnectionFactory:Dispose,1,1,0
SharedConnectionInvocationHandler:SharedConnectionInvocationHandler,1,1,1
SharedConnectionInvocationHandler:Invoke,29,2,1
ErlangErrorRpcException:ErlangErrorRpcException,1,1,1
ErlangErrorRpcException:ErlangErrorRpcException,1,1,1
OtpIOException:OtpIOException,1,1,1
OtpIOException:OtpIOException,1,1,2
ErlangBadRpcException:ErlangBadRpcException,1,1,1
ErlangBadRpcException:ErlangBadRpcException,1,1,1
UncategorizedOtpException:UncategorizedOtpException,1,1,0
UncategorizedOtpException:UncategorizedOtpException,1,1,1
Application:Application,5,1,3
Application:ToString,1,1,0
ErlangTemplate:ErlangTemplate,4,1,1
ErlangTemplate:ExecuteErlangRpc,12,1,3
ErlangTemplate:HandleResponseError,34,5,3
ErlangTemplate:ExecuteErlangRpc,1,1,3
ErlangTemplate:ExecuteRpc,1,1,3
ErlangTemplate:ExecuteAndConvertRpc,1,1,4
ErlangTemplate:ExecuteAndConvertRpc,1,1,3
ErlangTemplate:Execute,23,1,1
ErlangTemplate:ConvertOtpAccessException,1,1,1
IErlangOperations:Execute,0,1,1
IErlangOperations:ExecuteErlangRpc,0,1,3
IErlangOperations:ExecuteErlangRpc,0,1,3
IErlangOperations:ExecuteRpc,0,1,3
IErlangOperations:ExecuteAndConvertRpc,0,1,4
IErlangOperations:ExecuteAndConvertRpc,0,1,3
Node:Node,1,1,1
Node:ToString,1,1,0
ErlangAccessor:AfterPropertiesSet,1,1,0
ErlangAccessor:CreateConnection,1,1,0
ErlangUtils:ReleaseConnection,7,2,1
ErlangUtils:ConvertOtpAccessException,5,1,1
ErlangConversionException:ErlangConversionException,1,1,0
ErlangConversionException:ErlangConversionException,1,1,1
IErlangConverter:ToErlang,0,1,1
IErlangConverter:FromErlang,0,1,1
IErlangConverter:FromErlangRpc,0,1,3
SimpleErlangConverter:FromErlang,4,1,1
SimpleErlangConverter:FromErlangRpc,1,1,3
SimpleErlangConverter:ToErlang,29,5,1
SimpleErlangConverter:ConvertBasicTypeToErlang,48,2,1
SimpleErlangConverter:ConvertErlangToBasicType,71,2,1
SimpleErlangConverter:ExtractBoolean,4,1,1
SimpleErlangConverter:ExtractPid,1,1,1
SimpleErlangConverter:ExtractLong,1,1,1
