Implementation smell,Namespace,Class,File,Method,Description
Long Method,MUDServer,Player,C:\repos\sq_Fracture\Squared\Examples\MUDServer\Player.cs,AddPlayerCommands,The method has 183 lines of code.
Long Method,MUDServer,World,C:\repos\sq_Fracture\Squared\Examples\MUDServer\World.cs,Create,The method has 223 lines of code.
Complex Method,MUDServer,AlphaTrie<T>,C:\repos\sq_Fracture\Squared\Examples\MUDServer\AlphaTrie.cs,FindByKeyStart,Cyclomatic complexity of the method is 8
Complex Method,MUDServer,AlphaTrie<T>,C:\repos\sq_Fracture\Squared\Examples\MUDServer\AlphaTrie.cs,Insert,Cyclomatic complexity of the method is 10
Long Statement,MUDServer,CombatEntity,C:\repos\sq_Fracture\Squared\Examples\MUDServer\Entity.cs,CombatTask,The length of the statement  "                    Event.Send(new { Type = EventType.CombatHit' Sender = this' Target = _CombatTarget' WeaponName = "Longsword"' Damage = damage }); " is 129.
Long Statement,MUDServer,Player,C:\repos\sq_Fracture\Squared\Examples\MUDServer\Player.cs,AddExitCommands,The length of the statement  "                            Console.WriteLine("Warning: '{0}' exit '{1}' leads to undefined location '{2}'."' p.Location.Name' ourExit.Description' ourExit.Target); " is 136.
Long Statement,MUDServer,Player,C:\repos\sq_Fracture\Squared\Examples\MUDServer\Player.cs,AddPlayerCommands,The length of the statement  "                            Event.Send(new { Type = EventType.Tell' Sender = p' Recipient = to' Text = string.Join(" "' words' 2' words.Length - 2) }); " is 123.
Long Statement,MUDServer,Player,C:\repos\sq_Fracture\Squared\Examples\MUDServer\Player.cs,AddPlayerCommands,The length of the statement  "                                Console.WriteLine("Warning: '{0}' exit '{1}' leads to undefined location '{2}'."' p.Location.Name' exit.Description' exit.Target); " is 130.
Long Statement,MUDServer,World,C:\repos\sq_Fracture\Squared\Examples\MUDServer\World.cs,Create,The length of the statement  "                "The path leads north into the forest. To the south you see a small path winding through sharp crags and worn stone. The treeline runs to your east and west."' " is 159.
Long Statement,MUDServer,World,C:\repos\sq_Fracture\Squared\Examples\MUDServer\World.cs,Create,The length of the statement  "                "You see thick' overgrown grass and trees to the north. The way south and west is blocked by rocky' impassable terrain."' " is 121.
